role,SHOT_ZONE_RANGE,SHOT_ZONE_AREA,FGM,FGA
Athletic Finisher,16-24 ft.,Center(C),99,267
Athletic Finisher,16-24 ft.,Left Side Center(LC),98,238
Athletic Finisher,16-24 ft.,Left Side(L),110,258
Athletic Finisher,16-24 ft.,Right Side Center(RC),133,346
Athletic Finisher,16-24 ft.,Right Side(R),108,284
Athletic Finisher,24+ ft.,Center(C),210,592
Athletic Finisher,24+ ft.,Left Side Center(LC),342,1080
Athletic Finisher,24+ ft.,Left Side(L),382,1026
Athletic Finisher,24+ ft.,Right Side Center(RC),322,1047
Athletic Finisher,24+ ft.,Right Side(R),355,927
Athletic Finisher,8-16 ft.,Center(C),164,400
Athletic Finisher,8-16 ft.,Left Side(L),137,376
Athletic Finisher,8-16 ft.,Right Side(R),188,482
Athletic Finisher,Back Court Shot,Back Court(BC),0,38
Athletic Finisher,Less Than 8 ft.,Center(C),3395,5861
Movement Shooter,16-24 ft.,Center(C),153,391
Movement Shooter,16-24 ft.,Left Side Center(LC),174,403
Movement Shooter,16-24 ft.,Left Side(L),135,319
Movement Shooter,16-24 ft.,Right Side Center(RC),232,579
Movement Shooter,16-24 ft.,Right Side(R),125,327
Movement Shooter,24+ ft.,Center(C),519,1428
Movement Shooter,24+ ft.,Left Side Center(LC),862,2491
Movement Shooter,24+ ft.,Left Side(L),453,1106
Movement Shooter,24+ ft.,Right Side Center(RC),897,2500
Movement Shooter,24+ ft.,Right Side(R),409,1019
Movement Shooter,8-16 ft.,Center(C),264,579
Movement Shooter,8-16 ft.,Left Side(L),196,535
Movement Shooter,8-16 ft.,Right Side(R),180,509
Movement Shooter,Back Court Shot,Back Court(BC),1,46
Movement Shooter,Less Than 8 ft.,Center(C),2468,4359
Off Screen Shooter,16-24 ft.,Center(C),159,418
Off Screen Shooter,16-24 ft.,Left Side Center(LC),213,491
Off Screen Shooter,16-24 ft.,Left Side(L),146,293
Off Screen Shooter,16-24 ft.,Right Side Center(RC),223,518
Off Screen Shooter,16-24 ft.,Right Side(R),168,350
Off Screen Shooter,24+ ft.,Center(C),404,1139
Off Screen Shooter,24+ ft.,Left Side Center(LC),652,1650
Off Screen Shooter,24+ ft.,Left Side(L),326,679
Off Screen Shooter,24+ ft.,Right Side Center(RC),628,1591
Off Screen Shooter,24+ ft.,Right Side(R),269,644
Off Screen Shooter,8-16 ft.,Center(C),182,422
Off Screen Shooter,8-16 ft.,Left Side(L),128,305
Off Screen Shooter,8-16 ft.,Right Side(R),167,431
Off Screen Shooter,Back Court Shot,Back Court(BC),0,17
Off Screen Shooter,Less Than 8 ft.,Center(C),1291,2250
Post Scorer,16-24 ft.,Center(C),439,1081
Post Scorer,16-24 ft.,Left Side Center(LC),353,855
Post Scorer,16-24 ft.,Left Side(L),247,597
