role,SHOT_ZONE_RANGE,SHOT_ZONE_AREA,FGM,FGA
Athletic Finisher,16-24 ft.,Center(C),229,628
Athletic Finisher,16-24 ft.,Left Side Center(LC),328,842
Athletic Finisher,16-24 ft.,Left Side(L),352,928
Athletic Finisher,16-24 ft.,Right Side Center(RC),321,928
Athletic Finisher,16-24 ft.,Right Side(R),344,909
Athletic Finisher,24+ ft.,Center(C),172,506
Athletic Finisher,24+ ft.,Left Side Center(LC),348,1046
Athletic Finisher,24+ ft.,Left Side(L),324,829
Athletic Finisher,24+ ft.,Right Side Center(RC),358,1090
Athletic Finisher,24+ ft.,Right Side(R),240,689
Athletic Finisher,8-16 ft.,Center(C),331,850
Athletic Finisher,8-16 ft.,Left Side(L),389,1105
Athletic Finisher,8-16 ft.,Right Side(R),353,1080
Athletic Finisher,Back Court Shot,Back Court(BC),1,45
Athletic Finisher,Less Than 8 ft.,Center(C),7079,12829
Movement Shooter,16-24 ft.,Center(C),103,279
Movement Shooter,16-24 ft.,Left Side Center(LC),105,275
Movement Shooter,16-24 ft.,Left Side(L),158,378
Movement Shooter,16-24 ft.,Right Side Center(RC),131,376
Movement Shooter,16-24 ft.,Right Side(R),166,410
Movement Shooter,24+ ft.,Center(C),139,398
Movement Shooter,24+ ft.,Left Side Center(LC),265,808
Movement Shooter,24+ ft.,Left Side(L),319,859
Movement Shooter,24+ ft.,Right Side Center(RC),274,875
Movement Shooter,24+ ft.,Right Side(R),292,809
Movement Shooter,8-16 ft.,Center(C),120,295
Movement Shooter,8-16 ft.,Left Side(L),149,377
Movement Shooter,8-16 ft.,Right Side(R),163,431
Movement Shooter,Back Court Shot,Back Court(BC),0,32
Movement Shooter,Less Than 8 ft.,Center(C),2194,3941
Off Screen Shooter,16-24 ft.,Center(C),180,449
Off Screen Shooter,16-24 ft.,Left Side Center(LC),245,598
Off Screen Shooter,16-24 ft.,Left Side(L),220,522
Off Screen Shooter,16-24 ft.,Right Side Center(RC),261,650
Off Screen Shooter,16-24 ft.,Right Side(R),226,535
Off Screen Shooter,24+ ft.,Center(C),259,742
Off Screen Shooter,24+ ft.,Left Side Center(LC),609,1598
Off Screen Shooter,24+ ft.,Left Side(L),306,755
Off Screen Shooter,24+ ft.,Right Side Center(RC),713,1864
Off Screen Shooter,24+ ft.,Right Side(R),354,859
Off Screen Shooter,8-16 ft.,Center(C),131,355
Off Screen Shooter,8-16 ft.,Left Side(L),140,368
Off Screen Shooter,8-16 ft.,Right Side(R),159,403
Off Screen Shooter,Back Court Shot,Back Court(BC),0,17
Off Screen Shooter,Less Than 8 ft.,Center(C),1229,2254
Post Scorer,16-24 ft.,Center(C),786,1947
Post Scorer,16-24 ft.,Left Side Center(LC),736,1809
Post Scorer,16-24 ft.,Left Side(L),602,1455
Post Scorer,16-24 ft.,Right Side Center(RC),725,1763
Post Scorer,16-24 ft.,Right Side(R),467,1230
Post Scorer,24+ ft.,Center(C),100,298
Post Scorer,24+ ft.,Left Side Center(LC),74,324
Post Scorer,24+ ft.,Left Side(L),36,100
Post Scorer,24+ ft.,Right Side Center(RC),71,251
Post Scorer,24+ ft.,Right Side(R),32,116
Post Scorer,8-16 ft.,Center(C),865,2137
Post Scorer,8-16 ft.,Left Side(L),1381,3520
Post Scorer,8-16 ft.,Right Side(R),1100,2885
Post Scorer,Back Court Shot,Back Court(BC),0,52
Post Scorer,Less Than 8 ft.,Center(C),14610,25810
Primary Ball Handler,16-24 ft.,Center(C),482,1152
Primary Ball Handler,16-24 ft.,Left Side Center(LC),498,1253
Primary Ball Handler,16-24 ft.,Left Side(L),354,890
Primary Ball Handler,16-24 ft.,Right Side Center(RC),562,1450
Primary Ball Handler,16-24 ft.,Right Side(R),286,705
Primary Ball Handler,24+ ft.,Center(C),551,1627
Primary Ball Handler,24+ ft.,Left Side Center(LC),854,2475
Primary Ball Handler,24+ ft.,Left Side(L),294,782
Primary Ball Handler,24+ ft.,Right Side Center(RC),871,2478
Primary Ball Handler,24+ ft.,Right Side(R),290,724
Primary Ball Handler,8-16 ft.,Center(C),525,1268
Primary Ball Handler,8-16 ft.,Left Side(L),446,1114
Primary Ball Handler,8-16 ft.,Right Side(R),481,1208
Primary Ball Handler,Back Court Shot,Back Court(BC),3,94
Primary Ball Handler,Less Than 8 ft.,Center(C),5118,9946
Roll + Cut Big,16-24 ft.,Center(C),94,249
Roll + Cut Big,16-24 ft.,Left Side Center(LC),56,199
Roll + Cut Big,16-24 ft.,Left Side(L),41,119
Roll + Cut Big,16-24 ft.,Right Side Center(RC),61,184
Roll + Cut Big,16-24 ft.,Right Side(R),49,144
Roll + Cut Big,24+ ft.,Center(C),5,15
Roll + Cut Big,24+ ft.,Left Side Center(LC),1,9
Roll + Cut Big,24+ ft.,Left Side(L),1,4
Roll + Cut Big,24+ ft.,Right Side Center(RC),3,15
Roll + Cut Big,24+ ft.,Right Side(R),1,6
Roll + Cut Big,8-16 ft.,Center(C),107,275
Roll + Cut Big,8-16 ft.,Left Side(L),123,325
Roll + Cut Big,8-16 ft.,Right Side(R),121,333
Roll + Cut Big,Back Court Shot,Back Court(BC),0,14
Roll + Cut Big,Less Than 8 ft.,Center(C),3313,5554
Secondary Ball Handler,16-24 ft.,Center(C),367,989
Secondary Ball Handler,16-24 ft.,Left Side Center(LC),434,1186
Secondary Ball Handler,16-24 ft.,Left Side(L),331,864
Secondary Ball Handler,16-24 ft.,Right Side Center(RC),532,1401
Secondary Ball Handler,16-24 ft.,Right Side(R),337,897
Secondary Ball Handler,24+ ft.,Center(C),546,1570
Secondary Ball Handler,24+ ft.,Left Side Center(LC),944,2660
Secondary Ball Handler,24+ ft.,Left Side(L),526,1331
Secondary Ball Handler,24+ ft.,Right Side Center(RC),1043,2793
Secondary Ball Handler,24+ ft.,Right Side(R),480,1197
Secondary Ball Handler,8-16 ft.,Center(C),448,1105
Secondary Ball Handler,8-16 ft.,Left Side(L),376,1027
Secondary Ball Handler,8-16 ft.,Right Side(R),466,1206
Secondary Ball Handler,Back Court Shot,Back Court(BC),2,72
Secondary Ball Handler,Less Than 8 ft.,Center(C),4177,7919
Shot Creator,16-24 ft.,Center(C),504,1334
Shot Creator,16-24 ft.,Left Side Center(LC),672,1703
Shot Creator,16-24 ft.,Left Side(L),495,1190
Shot Creator,16-24 ft.,Right Side Center(RC),838,2003
Shot Creator,16-24 ft.,Right Side(R),480,1164
Shot Creator,24+ ft.,Center(C),655,1873
Shot Creator,24+ ft.,Left Side Center(LC),964,2786
Shot Creator,24+ ft.,Left Side(L),287,813
Shot Creator,24+ ft.,Right Side Center(RC),1086,2821
Shot Creator,24+ ft.,Right Side(R),273,736
Shot Creator,8-16 ft.,Center(C),837,1934
Shot Creator,8-16 ft.,Left Side(L),825,1964
Shot Creator,8-16 ft.,Right Side(R),840,2020
Shot Creator,Back Court Shot,Back Court(BC),4,122
Shot Creator,Less Than 8 ft.,Center(C),7036,12941
Stationary Shooter,16-24 ft.,Center(C),111,338
Stationary Shooter,16-24 ft.,Left Side Center(LC),208,524
Stationary Shooter,16-24 ft.,Left Side(L),269,696
Stationary Shooter,16-24 ft.,Right Side Center(RC),225,610
Stationary Shooter,16-24 ft.,Right Side(R),206,563
Stationary Shooter,24+ ft.,Center(C),302,890
Stationary Shooter,24+ ft.,Left Side Center(LC),850,2413
Stationary Shooter,24+ ft.,Left Side(L),794,1946
Stationary Shooter,24+ ft.,Right Side Center(RC),861,2477
Stationary Shooter,24+ ft.,Right Side(R),721,1690
Stationary Shooter,8-16 ft.,Center(C),154,410
Stationary Shooter,8-16 ft.,Left Side(L),221,563
Stationary Shooter,8-16 ft.,Right Side(R),206,533
Stationary Shooter,Back Court Shot,Back Court(BC),2,65
Stationary Shooter,Less Than 8 ft.,Center(C),2533,4641
Stretch Big,16-24 ft.,Center(C),303,686
Stretch Big,16-24 ft.,Left Side Center(LC),246,684
Stretch Big,16-24 ft.,Left Side(L),240,554
Stretch Big,16-24 ft.,Right Side Center(RC),298,677
Stretch Big,16-24 ft.,Right Side(R),198,503
Stretch Big,24+ ft.,Center(C),106,297
Stretch Big,24+ ft.,Left Side Center(LC),135,411
Stretch Big,24+ ft.,Left Side(L),64,220
Stretch Big,24+ ft.,Right Side Center(RC),120,331
Stretch Big,24+ ft.,Right Side(R),75,205
Stretch Big,8-16 ft.,Center(C),169,403
Stretch Big,8-16 ft.,Left Side(L),248,642
Stretch Big,8-16 ft.,Right Side(R),259,560
Stretch Big,Back Court Shot,Back Court(BC),0,16
Stretch Big,Less Than 8 ft.,Center(C),2411,4292
