role,SHOT_ZONE_RANGE,SHOT_ZONE_AREA,FGM,FGA
Athletic Finisher,16-24 ft.,Center(C),227,696
Athletic Finisher,16-24 ft.,Left Side Center(LC),269,770
Athletic Finisher,16-24 ft.,Left Side(L),297,801
Athletic Finisher,16-24 ft.,Right Side Center(RC),299,943
Athletic Finisher,16-24 ft.,Right Side(R),273,793
Athletic Finisher,24+ ft.,Center(C),144,455
Athletic Finisher,24+ ft.,Left Side Center(LC),286,877
Athletic Finisher,24+ ft.,Left Side(L),163,497
Athletic Finisher,24+ ft.,Right Side Center(RC),290,883
Athletic Finisher,24+ ft.,Right Side(R),167,545
Athletic Finisher,8-16 ft.,Center(C),211,613
Athletic Finisher,8-16 ft.,Left Side(L),303,819
Athletic Finisher,8-16 ft.,Right Side(R),285,853
Athletic Finisher,Back Court Shot,Back Court(BC),1,49
Athletic Finisher,Less Than 8 ft.,Center(C),5870,10686
Movement Shooter,16-24 ft.,Center(C),42,123
Movement Shooter,16-24 ft.,Left Side Center(LC),65,168
Movement Shooter,16-24 ft.,Left Side(L),100,266
Movement Shooter,16-24 ft.,Right Side Center(RC),87,238
Movement Shooter,16-24 ft.,Right Side(R),86,209
Movement Shooter,24+ ft.,Center(C),85,298
Movement Shooter,24+ ft.,Left Side Center(LC),236,699
Movement Shooter,24+ ft.,Left Side(L),165,442
Movement Shooter,24+ ft.,Right Side Center(RC),220,668
Movement Shooter,24+ ft.,Right Side(R),150,404
Movement Shooter,8-16 ft.,Center(C),45,131
Movement Shooter,8-16 ft.,Left Side(L),65,202
Movement Shooter,8-16 ft.,Right Side(R),71,199
Movement Shooter,Back Court Shot,Back Court(BC),2,14
Movement Shooter,Less Than 8 ft.,Center(C),1470,2667
Off Screen Shooter,16-24 ft.,Center(C),124,303
Off Screen Shooter,16-24 ft.,Left Side Center(LC),163,418
Off Screen Shooter,16-24 ft.,Left Side(L),167,409
Off Screen Shooter,16-24 ft.,Right Side Center(RC),209,565
Off Screen Shooter,16-24 ft.,Right Side(R),160,392
Off Screen Shooter,24+ ft.,Center(C),114,333
Off Screen Shooter,24+ ft.,Left Side Center(LC),266,767
Off Screen Shooter,24+ ft.,Left Side(L),213,475
Off Screen Shooter,24+ ft.,Right Side Center(RC),391,975
Off Screen Shooter,24+ ft.,Right Side(R),226,573
Off Screen Shooter,8-16 ft.,Center(C),104,240
Off Screen Shooter,8-16 ft.,Left Side(L),124,307
Off Screen Shooter,8-16 ft.,Right Side(R),133,353
Off Screen Shooter,Back Court Shot,Back Court(BC),0,12
Off Screen Shooter,Less Than 8 ft.,Center(C),1088,1884
Post Scorer,16-24 ft.,Center(C),711,1634
Post Scorer,16-24 ft.,Left Side Center(LC),607,1522
Post Scorer,16-24 ft.,Left Side(L),478,1225
Post Scorer,16-24 ft.,Right Side Center(RC),535,1441
Post Scorer,16-24 ft.,Right Side(R),465,1139
Post Scorer,24+ ft.,Center(C),98,325
Post Scorer,24+ ft.,Left Side Center(LC),137,432
Post Scorer,24+ ft.,Left Side(L),60,185
Post Scorer,24+ ft.,Right Side Center(RC),91,303
Post Scorer,24+ ft.,Right Side(R),41,168
Post Scorer,8-16 ft.,Center(C),756,1827
Post Scorer,8-16 ft.,Left Side(L),1203,3212
Post Scorer,8-16 ft.,Right Side(R),1036,2720
Post Scorer,Back Court Shot,Back Court(BC),0,46
Post Scorer,Less Than 8 ft.,Center(C),12617,22355
Primary Ball Handler,16-24 ft.,Center(C),298,795
Primary Ball Handler,16-24 ft.,Left Side Center(LC),385,993
Primary Ball Handler,16-24 ft.,Left Side(L),257,621
Primary Ball Handler,16-24 ft.,Right Side Center(RC),419,1080
Primary Ball Handler,16-24 ft.,Right Side(R),167,422
Primary Ball Handler,24+ ft.,Center(C),341,987
Primary Ball Handler,24+ ft.,Left Side Center(LC),495,1564
