role,SHOT_ZONE_RANGE,SHOT_ZONE_AREA,FGM,FGA
Athletic Finisher,16-24 ft.,Center(C),3,13
Athletic Finisher,16-24 ft.,Left Side Center(LC),5,14
Athletic Finisher,16-24 ft.,Left Side(L),5,13
Athletic Finisher,16-24 ft.,Right Side Center(RC),5,17
Athletic Finisher,16-24 ft.,Right Side(R),2,6
Athletic Finisher,24+ ft.,Center(C),30,97
Athletic Finisher,24+ ft.,Left Side Center(LC),43,168
Athletic Finisher,24+ ft.,Left Side(L),42,134
Athletic Finisher,24+ ft.,Right Side Center(RC),37,103
Athletic Finisher,24+ ft.,Right Side(R),54,147
Athletic Finisher,8-16 ft.,Center(C),74,203
Athletic Finisher,8-16 ft.,Left Side(L),16,54
Athletic Finisher,8-16 ft.,Right Side(R),21,65
Athletic Finisher,Back Court Shot,Back Court(BC),0,12
Athletic Finisher,Less Than 8 ft.,Center(C),1190,1945
Low Minute,16-24 ft.,Center(C),5,10
Low Minute,16-24 ft.,Left Side Center(LC),3,15
Low Minute,16-24 ft.,Left Side(L),3,9
Low Minute,16-24 ft.,Right Side Center(RC),2,8
Low Minute,16-24 ft.,Right Side(R),1,3
Low Minute,24+ ft.,Center(C),15,72
Low Minute,24+ ft.,Left Side Center(LC),42,174
Low Minute,24+ ft.,Left Side(L),25,85
Low Minute,24+ ft.,Right Side Center(RC),41,147
Low Minute,24+ ft.,Right Side(R),24,81
Low Minute,8-16 ft.,Center(C),19,61
Low Minute,8-16 ft.,Left Side(L),14,32
Low Minute,8-16 ft.,Right Side(R),10,34
Low Minute,Back Court Shot,Back Court(BC),0,5
Low Minute,Less Than 8 ft.,Center(C),221,401
Movement Shooter,16-24 ft.,Center(C),64,179
Movement Shooter,16-24 ft.,Left Side Center(LC),79,209
Movement Shooter,16-24 ft.,Left Side(L),52,116
Movement Shooter,16-24 ft.,Right Side Center(RC),62,170
Movement Shooter,16-24 ft.,Right Side(R),33,97
Movement Shooter,24+ ft.,Center(C),658,1891
Movement Shooter,24+ ft.,Left Side Center(LC),1370,3887
Movement Shooter,24+ ft.,Left Side(L),1005,2531
Movement Shooter,24+ ft.,Right Side Center(RC),1342,3714
Movement Shooter,24+ ft.,Right Side(R),881,2206
Movement Shooter,8-16 ft.,Center(C),423,1037
Movement Shooter,8-16 ft.,Left Side(L),248,556
Movement Shooter,8-16 ft.,Right Side(R),262,613
Movement Shooter,Back Court Shot,Back Court(BC),2,59
Movement Shooter,Less Than 8 ft.,Center(C),4656,8014
Off Screen Shooter,16-24 ft.,Center(C),56,125
Off Screen Shooter,16-24 ft.,Left Side Center(LC),41,103
Off Screen Shooter,16-24 ft.,Left Side(L),26,58
Off Screen Shooter,16-24 ft.,Right Side Center(RC),34,109
Off Screen Shooter,16-24 ft.,Right Side(R),26,61
Off Screen Shooter,24+ ft.,Center(C),358,936
Off Screen Shooter,24+ ft.,Left Side Center(LC),562,1611
Off Screen Shooter,24+ ft.,Left Side(L),254,691
Off Screen Shooter,24+ ft.,Right Side Center(RC),527,1460
Off Screen Shooter,24+ ft.,Right Side(R),279,658
Off Screen Shooter,8-16 ft.,Center(C),137,294
Off Screen Shooter,8-16 ft.,Left Side(L),85,201
Off Screen Shooter,8-16 ft.,Right Side(R),85,196
Off Screen Shooter,Back Court Shot,Back Court(BC),0,17
Off Screen Shooter,Less Than 8 ft.,Center(C),1113,1895
Post Scorer,16-24 ft.,Center(C),21,49
Post Scorer,16-24 ft.,Left Side Center(LC),12,39
Post Scorer,16-24 ft.,Left Side(L),14,31
Post Scorer,16-24 ft.,Right Side Center(RC),19,39
Post Scorer,16-24 ft.,Right Side(R),12,33
Post Scorer,24+ ft.,Center(C),118,266
Post Scorer,24+ ft.,Left Side Center(LC),71,169
Post Scorer,24+ ft.,Left Side(L),15,38
Post Scorer,24+ ft.,Right Side Center(RC),67,181
Post Scorer,24+ ft.,Right Side(R),20,51
Post Scorer,8-16 ft.,Center(C),128,286
Post Scorer,8-16 ft.,Left Side(L),54,137
Post Scorer,8-16 ft.,Right Side(R),69,134
Post Scorer,Back Court Shot,Back Court(BC),1,19
Post Scorer,Less Than 8 ft.,Center(C),1502,2395
Primary Ball Handler,16-24 ft.,Center(C),144,366
Primary Ball Handler,16-24 ft.,Left Side Center(LC),133,346
Primary Ball Handler,16-24 ft.,Left Side(L),43,118
Primary Ball Handler,16-24 ft.,Right Side Center(RC),166,418
Primary Ball Handler,16-24 ft.,Right Side(R),59,139
