role,SHOT_ZONE_RANGE,SHOT_ZONE_AREA,FGM,FGA
Athletic Finisher,16-24 ft.,Center(C),26,75
Athletic Finisher,16-24 ft.,Left Side Center(LC),28,75
Athletic Finisher,16-24 ft.,Left Side(L),19,58
Athletic Finisher,16-24 ft.,Right Side Center(RC),13,51
Athletic Finisher,16-24 ft.,Right Side(R),22,63
Athletic Finisher,24+ ft.,Center(C),147,510
Athletic Finisher,24+ ft.,Left Side Center(LC),338,1055
Athletic Finisher,24+ ft.,Left Side(L),321,852
Athletic Finisher,24+ ft.,Right Side Center(RC),334,1038
Athletic Finisher,24+ ft.,Right Side(R),287,844
Athletic Finisher,8-16 ft.,Center(C),140,345
Athletic Finisher,8-16 ft.,Left Side(L),54,175
Athletic Finisher,8-16 ft.,Right Side(R),66,197
Athletic Finisher,Back Court Shot,Back Court(BC),0,31
Athletic Finisher,Less Than 8 ft.,Center(C),2932,5174
Movement Shooter,16-24 ft.,Center(C),167,416
Movement Shooter,16-24 ft.,Left Side Center(LC),120,354
Movement Shooter,16-24 ft.,Left Side(L),67,165
Movement Shooter,16-24 ft.,Right Side Center(RC),158,407
Movement Shooter,16-24 ft.,Right Side(R),79,185
Movement Shooter,24+ ft.,Center(C),713,2149
Movement Shooter,24+ ft.,Left Side Center(LC),1259,3508
Movement Shooter,24+ ft.,Left Side(L),652,1571
Movement Shooter,24+ ft.,Right Side Center(RC),1191,3309
Movement Shooter,24+ ft.,Right Side(R),638,1569
Movement Shooter,8-16 ft.,Center(C),376,988
Movement Shooter,8-16 ft.,Left Side(L),151,411
Movement Shooter,8-16 ft.,Right Side(R),188,463
Movement Shooter,Back Court Shot,Back Court(BC),1,50
Movement Shooter,Less Than 8 ft.,Center(C),3550,6169
Off Screen Shooter,16-24 ft.,Center(C),68,150
Off Screen Shooter,16-24 ft.,Left Side Center(LC),36,89
Off Screen Shooter,16-24 ft.,Left Side(L),16,45
Off Screen Shooter,16-24 ft.,Right Side Center(RC),63,155
Off Screen Shooter,16-24 ft.,Right Side(R),22,60
Off Screen Shooter,24+ ft.,Center(C),293,801
Off Screen Shooter,24+ ft.,Left Side Center(LC),395,961
Off Screen Shooter,24+ ft.,Left Side(L),168,366
Off Screen Shooter,24+ ft.,Right Side Center(RC),376,965
Off Screen Shooter,24+ ft.,Right Side(R),144,316
Off Screen Shooter,8-16 ft.,Center(C),84,210
Off Screen Shooter,8-16 ft.,Left Side(L),33,81
Off Screen Shooter,8-16 ft.,Right Side(R),32,86
Off Screen Shooter,Back Court Shot,Back Court(BC),0,8
Off Screen Shooter,Less Than 8 ft.,Center(C),607,1044
Post Scorer,16-24 ft.,Center(C),129,327
Post Scorer,16-24 ft.,Left Side Center(LC),96,237
Post Scorer,16-24 ft.,Left Side(L),48,114
Post Scorer,16-24 ft.,Right Side Center(RC),57,166
Post Scorer,16-24 ft.,Right Side(R),21,50
Post Scorer,24+ ft.,Center(C),139,473
Post Scorer,24+ ft.,Left Side Center(LC),124,404
Post Scorer,24+ ft.,Left Side(L),45,105
Post Scorer,24+ ft.,Right Side Center(RC),86,290
Post Scorer,24+ ft.,Right Side(R),22,78
Post Scorer,8-16 ft.,Center(C),299,692
Post Scorer,8-16 ft.,Left Side(L),265,582
Post Scorer,8-16 ft.,Right Side(R),150,410
Post Scorer,Back Court Shot,Back Court(BC),1,24
Post Scorer,Less Than 8 ft.,Center(C),4718,7637
Primary Ball Handler,16-24 ft.,Center(C),314,737
Primary Ball Handler,16-24 ft.,Left Side Center(LC),269,661
Primary Ball Handler,16-24 ft.,Left Side(L),99,227
Primary Ball Handler,16-24 ft.,Right Side Center(RC),299,673
Primary Ball Handler,16-24 ft.,Right Side(R),68,180
Primary Ball Handler,24+ ft.,Center(C),865,2454
Primary Ball Handler,24+ ft.,Left Side Center(LC),1277,3545
Primary Ball Handler,24+ ft.,Left Side(L),434,1073
Primary Ball Handler,24+ ft.,Right Side Center(RC),1113,3136
Primary Ball Handler,24+ ft.,Right Side(R),322,816
Primary Ball Handler,8-16 ft.,Center(C),809,1971
Primary Ball Handler,8-16 ft.,Left Side(L),363,920
Primary Ball Handler,8-16 ft.,Right Side(R),382,909
Primary Ball Handler,Back Court Shot,Back Court(BC),3,73
Primary Ball Handler,Less Than 8 ft.,Center(C),4903,9278
Roll + Cut Big,16-24 ft.,Center(C),99,240
Roll + Cut Big,16-24 ft.,Left Side Center(LC),55,157
Roll + Cut Big,16-24 ft.,Left Side(L),16,59
Roll + Cut Big,16-24 ft.,Right Side Center(RC),60,173
Roll + Cut Big,16-24 ft.,Right Side(R),17,55
Roll + Cut Big,24+ ft.,Center(C),123,381
Roll + Cut Big,24+ ft.,Left Side Center(LC),80,302
Roll + Cut Big,24+ ft.,Left Side(L),52,176
Roll + Cut Big,24+ ft.,Right Side Center(RC),82,292
Roll + Cut Big,24+ ft.,Right Side(R),66,216
Roll + Cut Big,8-16 ft.,Center(C),400,1011
Roll + Cut Big,8-16 ft.,Left Side(L),129,324
Roll + Cut Big,8-16 ft.,Right Side(R),168,433
Roll + Cut Big,Back Court Shot,Back Court(BC),0,23
Roll + Cut Big,Less Than 8 ft.,Center(C),8795,13465
Secondary Ball Handler,16-24 ft.,Center(C),392,944
Secondary Ball Handler,16-24 ft.,Left Side Center(LC),390,904
Secondary Ball Handler,16-24 ft.,Left Side(L),108,300
Secondary Ball Handler,16-24 ft.,Right Side Center(RC),383,965
Secondary Ball Handler,16-24 ft.,Right Side(R),127,282
Secondary Ball Handler,24+ ft.,Center(C),1006,2907
Secondary Ball Handler,24+ ft.,Left Side Center(LC),1608,4400
Secondary Ball Handler,24+ ft.,Left Side(L),602,1463
Secondary Ball Handler,24+ ft.,Right Side Center(RC),1504,4198
Secondary Ball Handler,24+ ft.,Right Side(R),457,1187
Secondary Ball Handler,8-16 ft.,Center(C),1032,2418
Secondary Ball Handler,8-16 ft.,Left Side(L),462,1122
Secondary Ball Handler,8-16 ft.,Right Side(R),498,1233
Secondary Ball Handler,Back Court Shot,Back Court(BC),2,98
Secondary Ball Handler,Less Than 8 ft.,Center(C),4978,9400
Shot Creator,16-24 ft.,Center(C),245,574
Shot Creator,16-24 ft.,Left Side Center(LC),268,632
Shot Creator,16-24 ft.,Left Side(L),107,262
Shot Creator,16-24 ft.,Right Side Center(RC),304,726
Shot Creator,16-24 ft.,Right Side(R),102,248
Shot Creator,24+ ft.,Center(C),820,2301
