role,SHOT_ZONE_RANGE,SHOT_ZONE_AREA,FGM,FGA
Athletic Finisher,16-24 ft.,Center(C),42,102
Athletic Finisher,16-24 ft.,Left Side Center(LC),24,77
Athletic Finisher,16-24 ft.,Left Side(L),21,61
Athletic Finisher,16-24 ft.,Right Side Center(RC),41,103
Athletic Finisher,16-24 ft.,Right Side(R),16,52
Athletic Finisher,24+ ft.,Center(C),143,465
Athletic Finisher,24+ ft.,Left Side Center(LC),314,941
Athletic Finisher,24+ ft.,Left Side(L),231,700
Athletic Finisher,24+ ft.,Right Side Center(RC),285,948
Athletic Finisher,24+ ft.,Right Side(R),241,689
Athletic Finisher,8-16 ft.,Center(C),96,279
Athletic Finisher,8-16 ft.,Left Side(L),59,152
Athletic Finisher,8-16 ft.,Right Side(R),61,173
Athletic Finisher,Back Court Shot,Back Court(BC),1,24
Athletic Finisher,Less Than 8 ft.,Center(C),2489,4225
Low Minutes,24+ ft.,Left Side Center(LC),0,2
Movement Shooter,16-24 ft.,Center(C),317,799
Movement Shooter,16-24 ft.,Left Side Center(LC),233,626
Movement Shooter,16-24 ft.,Left Side(L),144,368
Movement Shooter,16-24 ft.,Right Side Center(RC),283,722
Movement Shooter,16-24 ft.,Right Side(R),153,369
Movement Shooter,24+ ft.,Center(C),964,2829
Movement Shooter,24+ ft.,Left Side Center(LC),1814,4997
Movement Shooter,24+ ft.,Left Side(L),999,2460
Movement Shooter,24+ ft.,Right Side Center(RC),1879,5279
Movement Shooter,24+ ft.,Right Side(R),967,2485
Movement Shooter,8-16 ft.,Center(C),611,1575
Movement Shooter,8-16 ft.,Left Side(L),286,813
Movement Shooter,8-16 ft.,Right Side(R),393,971
Movement Shooter,Back Court Shot,Back Court(BC),0,69
Movement Shooter,Less Than 8 ft.,Center(C),4810,8623
Off Screen Shooter,16-24 ft.,Center(C),138,343
Off Screen Shooter,16-24 ft.,Left Side Center(LC),95,247
Off Screen Shooter,16-24 ft.,Left Side(L),52,134
Off Screen Shooter,16-24 ft.,Right Side Center(RC),172,370
Off Screen Shooter,16-24 ft.,Right Side(R),71,147
Off Screen Shooter,24+ ft.,Center(C),405,1067
Off Screen Shooter,24+ ft.,Left Side Center(LC),595,1560
Off Screen Shooter,24+ ft.,Left Side(L),321,698
Off Screen Shooter,24+ ft.,Right Side Center(RC),609,1659
Off Screen Shooter,24+ ft.,Right Side(R),268,613
Off Screen Shooter,8-16 ft.,Center(C),193,455
Off Screen Shooter,8-16 ft.,Left Side(L),86,222
Off Screen Shooter,8-16 ft.,Right Side(R),130,310
Off Screen Shooter,Back Court Shot,Back Court(BC),0,15
Off Screen Shooter,Less Than 8 ft.,Center(C),1151,1978
Post Scorer,16-24 ft.,Center(C),209,549
Post Scorer,16-24 ft.,Left Side Center(LC),156,428
Post Scorer,16-24 ft.,Left Side(L),66,175
Post Scorer,16-24 ft.,Right Side Center(RC),117,307
Post Scorer,16-24 ft.,Right Side(R),32,116
Post Scorer,24+ ft.,Center(C),264,869
Post Scorer,24+ ft.,Left Side Center(LC),180,519
Post Scorer,24+ ft.,Left Side(L),58,183
Post Scorer,24+ ft.,Right Side Center(RC),135,432
Post Scorer,24+ ft.,Right Side(R),46,139
Post Scorer,8-16 ft.,Center(C),698,1634
Post Scorer,8-16 ft.,Left Side(L),474,1169
Post Scorer,8-16 ft.,Right Side(R),322,788
Post Scorer,Back Court Shot,Back Court(BC),1,31
Post Scorer,Less Than 8 ft.,Center(C),9883,16176
Primary Ball Handler,16-24 ft.,Center(C),393,945
Primary Ball Handler,16-24 ft.,Left Side Center(LC),427,1014
Primary Ball Handler,16-24 ft.,Left Side(L),140,309
Primary Ball Handler,16-24 ft.,Right Side Center(RC),419,975
Primary Ball Handler,16-24 ft.,Right Side(R),119,293
Primary Ball Handler,24+ ft.,Center(C),1080,3015
Primary Ball Handler,24+ ft.,Left Side Center(LC),1435,3978
Primary Ball Handler,24+ ft.,Left Side(L),459,1119
Primary Ball Handler,24+ ft.,Right Side Center(RC),1366,3835
Primary Ball Handler,24+ ft.,Right Side(R),393,961
Primary Ball Handler,8-16 ft.,Center(C),1165,2549
Primary Ball Handler,8-16 ft.,Left Side(L),459,1140
Primary Ball Handler,8-16 ft.,Right Side(R),548,1237
Primary Ball Handler,Back Court Shot,Back Court(BC),4,78
Primary Ball Handler,Less Than 8 ft.,Center(C),5967,11010
Roll + Cut Big,16-24 ft.,Center(C),117,301
Roll + Cut Big,16-24 ft.,Left Side Center(LC),95,209
Roll + Cut Big,16-24 ft.,Left Side(L),30,89
Roll + Cut Big,16-24 ft.,Right Side Center(RC),90,247
Roll + Cut Big,16-24 ft.,Right Side(R),28,77
Roll + Cut Big,24+ ft.,Center(C),82,289
Roll + Cut Big,24+ ft.,Left Side Center(LC),73,254
Roll + Cut Big,24+ ft.,Left Side(L),69,232
Roll + Cut Big,24+ ft.,Right Side Center(RC),76,258
Roll + Cut Big,24+ ft.,Right Side(R),55,198
Roll + Cut Big,8-16 ft.,Center(C),409,1012
Roll + Cut Big,8-16 ft.,Left Side(L),169,439
Roll + Cut Big,8-16 ft.,Right Side(R),191,505
Roll + Cut Big,Back Court Shot,Back Court(BC),0,28
Roll + Cut Big,Less Than 8 ft.,Center(C),8756,13856
Secondary Ball Handler,16-24 ft.,Center(C),414,1024
Secondary Ball Handler,16-24 ft.,Left Side Center(LC),346,830
Secondary Ball Handler,16-24 ft.,Left Side(L),102,267
Secondary Ball Handler,16-24 ft.,Right Side Center(RC),410,1038
Secondary Ball Handler,16-24 ft.,Right Side(R),100,257
Secondary Ball Handler,24+ ft.,Center(C),909,2730
Secondary Ball Handler,24+ ft.,Left Side Center(LC),1363,4005
Secondary Ball Handler,24+ ft.,Left Side(L),504,1297
Secondary Ball Handler,24+ ft.,Right Side Center(RC),1306,3746
Secondary Ball Handler,24+ ft.,Right Side(R),472,1282
Secondary Ball Handler,8-16 ft.,Center(C),910,2200
Secondary Ball Handler,8-16 ft.,Left Side(L),355,912
Secondary Ball Handler,8-16 ft.,Right Side(R),375,965
Secondary Ball Handler,Back Court Shot,Back Court(BC),1,111
Secondary Ball Handler,Less Than 8 ft.,Center(C),5596,10758
Shot Creator,16-24 ft.,Center(C),448,1062
Shot Creator,16-24 ft.,Left Side Center(LC),427,1049
Shot Creator,16-24 ft.,Left Side(L),185,486
Shot Creator,16-24 ft.,Right Side Center(RC),483,1194
Shot Creator,16-24 ft.,Right Side(R),182,433
Shot Creator,24+ ft.,Center(C),918,2690
Shot Creator,24+ ft.,Left Side Center(LC),1286,3749
Shot Creator,24+ ft.,Left Side(L),452,1163
Shot Creator,24+ ft.,Right Side Center(RC),1280,3639
Shot Creator,24+ ft.,Right Side(R),408,1074
Shot Creator,8-16 ft.,Center(C),1232,2824
Shot Creator,8-16 ft.,Left Side(L),715,1750
Shot Creator,8-16 ft.,Right Side(R),788,1831
Shot Creator,Back Court Shot,Back Court(BC),7,92
Shot Creator,Less Than 8 ft.,Center(C),8672,14719
Slasher,16-24 ft.,Center(C),149,431
Slasher,16-24 ft.,Left Side Center(LC),228,528
Slasher,16-24 ft.,Left Side(L),51,124
Slasher,16-24 ft.,Right Side Center(RC),182,453
Slasher,16-24 ft.,Right Side(R),34,91
Slasher,24+ ft.,Center(C),174,539
Slasher,24+ ft.,Left Side Center(LC),310,880
Slasher,24+ ft.,Left Side(L),97,260
Slasher,24+ ft.,Right Side Center(RC),241,655
Slasher,24+ ft.,Right Side(R),86,234
Slasher,8-16 ft.,Center(C),483,1166
Slasher,8-16 ft.,Left Side(L),227,553
Slasher,8-16 ft.,Right Side(R),195,492
Slasher,Back Court Shot,Back Court(BC),0,26
Slasher,Less Than 8 ft.,Center(C),2526,4840
Stationary Shooter,16-24 ft.,Center(C),158,354
Stationary Shooter,16-24 ft.,Left Side Center(LC),128,345
Stationary Shooter,16-24 ft.,Left Side(L),76,221
Stationary Shooter,16-24 ft.,Right Side Center(RC),106,299
Stationary Shooter,16-24 ft.,Right Side(R),72,178
Stationary Shooter,24+ ft.,Center(C),419,1272
Stationary Shooter,24+ ft.,Left Side Center(LC),920,2657
Stationary Shooter,24+ ft.,Left Side(L),559,1553
Stationary Shooter,24+ ft.,Right Side Center(RC),856,2512
Stationary Shooter,24+ ft.,Right Side(R),576,1576
Stationary Shooter,8-16 ft.,Center(C),320,814
Stationary Shooter,8-16 ft.,Left Side(L),145,408
Stationary Shooter,8-16 ft.,Right Side(R),185,526
Stationary Shooter,Back Court Shot,Back Court(BC),3,70
Stationary Shooter,Less Than 8 ft.,Center(C),3676,6884
Stretch Big,16-24 ft.,Center(C),106,278
Stretch Big,16-24 ft.,Left Side Center(LC),62,197
Stretch Big,16-24 ft.,Left Side(L),38,121
Stretch Big,16-24 ft.,Right Side Center(RC),93,254
Stretch Big,16-24 ft.,Right Side(R),42,123
Stretch Big,24+ ft.,Center(C),552,1639
Stretch Big,24+ ft.,Left Side Center(LC),615,1815
Stretch Big,24+ ft.,Left Side(L),341,921
Stretch Big,24+ ft.,Right Side Center(RC),661,1813
Stretch Big,24+ ft.,Right Side(R),363,975
Stretch Big,8-16 ft.,Center(C),231,592
Stretch Big,8-16 ft.,Left Side(L),119,323
Stretch Big,8-16 ft.,Right Side(R),153,397
Stretch Big,Back Court Shot,Back Court(BC),0,24
Stretch Big,Less Than 8 ft.,Center(C),4322,7262
Versatile Big,16-24 ft.,Center(C),75,190
Versatile Big,16-24 ft.,Left Side Center(LC),94,200
Versatile Big,16-24 ft.,Left Side(L),47,131
Versatile Big,16-24 ft.,Right Side Center(RC),68,169
Versatile Big,16-24 ft.,Right Side(R),32,93
Versatile Big,24+ ft.,Center(C),387,1068
Versatile Big,24+ ft.,Left Side Center(LC),333,899
Versatile Big,24+ ft.,Left Side(L),94,234
Versatile Big,24+ ft.,Right Side Center(RC),238,680
Versatile Big,24+ ft.,Right Side(R),54,186
Versatile Big,8-16 ft.,Center(C),187,523
Versatile Big,8-16 ft.,Left Side(L),172,429
Versatile Big,8-16 ft.,Right Side(R),184,396
Versatile Big,Back Court Shot,Back Court(BC),0,8
Versatile Big,Less Than 8 ft.,Center(C),2201,3818
