role,SHOT_ZONE_RANGE,SHOT_ZONE_AREA,FGM,FGA
Athletic Finisher,16-24 ft.,Center(C),40,94
Athletic Finisher,16-24 ft.,Left Side Center(LC),25,65
Athletic Finisher,16-24 ft.,Left Side(L),16,47
Athletic Finisher,16-24 ft.,Right Side Center(RC),32,93
Athletic Finisher,16-24 ft.,Right Side(R),18,46
Athletic Finisher,24+ ft.,Center(C),135,361
Athletic Finisher,24+ ft.,Left Side Center(LC),263,731
Athletic Finisher,24+ ft.,Left Side(L),218,566
Athletic Finisher,24+ ft.,Right Side Center(RC),213,693
Athletic Finisher,24+ ft.,Right Side(R),186,521
Athletic Finisher,8-16 ft.,Center(C),115,294
Athletic Finisher,8-16 ft.,Left Side(L),47,120
Athletic Finisher,8-16 ft.,Right Side(R),55,154
Athletic Finisher,Back Court Shot,Back Court(BC),1,10
Athletic Finisher,Less Than 8 ft.,Center(C),1952,3269
Low Minutes,16-24 ft.,Center(C),0,2
Low Minutes,24+ ft.,Center(C),0,2
Low Minutes,24+ ft.,Left Side Center(LC),0,2
Low Minutes,24+ ft.,Left Side(L),1,2
Low Minutes,24+ ft.,Right Side Center(RC),1,3
Low Minutes,24+ ft.,Right Side(R),0,1
Low Minutes,8-16 ft.,Center(C),0,1
Low Minutes,Less Than 8 ft.,Center(C),2,6
Movement Shooter,16-24 ft.,Center(C),209,523
Movement Shooter,16-24 ft.,Left Side Center(LC),166,422
Movement Shooter,16-24 ft.,Left Side(L),83,181
Movement Shooter,16-24 ft.,Right Side Center(RC),186,427
Movement Shooter,16-24 ft.,Right Side(R),84,215
Movement Shooter,24+ ft.,Center(C),875,2512
Movement Shooter,24+ ft.,Left Side Center(LC),1700,4624
Movement Shooter,24+ ft.,Left Side(L),955,2218
Movement Shooter,24+ ft.,Right Side Center(RC),1574,4265
Movement Shooter,24+ ft.,Right Side(R),837,1986
Movement Shooter,8-16 ft.,Center(C),523,1254
Movement Shooter,8-16 ft.,Left Side(L),245,568
Movement Shooter,8-16 ft.,Right Side(R),217,585
Movement Shooter,Back Court Shot,Back Court(BC),2,51
Movement Shooter,Less Than 8 ft.,Center(C),3701,6855
Off Screen Shooter,16-24 ft.,Center(C),17,52
Off Screen Shooter,16-24 ft.,Left Side Center(LC),21,45
Off Screen Shooter,16-24 ft.,Left Side(L),7,29
Off Screen Shooter,16-24 ft.,Right Side Center(RC),23,51
Off Screen Shooter,16-24 ft.,Right Side(R),8,18
Off Screen Shooter,24+ ft.,Center(C),125,339
Off Screen Shooter,24+ ft.,Left Side Center(LC),162,335
Off Screen Shooter,24+ ft.,Left Side(L),46,111
Off Screen Shooter,24+ ft.,Right Side Center(RC),198,488
Off Screen Shooter,24+ ft.,Right Side(R),56,142
Off Screen Shooter,8-16 ft.,Center(C),51,101
Off Screen Shooter,8-16 ft.,Left Side(L),30,54
Off Screen Shooter,8-16 ft.,Right Side(R),20,48
Off Screen Shooter,Back Court Shot,Back Court(BC),0,4
Off Screen Shooter,Less Than 8 ft.,Center(C),191,332
Post Scorer,16-24 ft.,Center(C),85,181
Post Scorer,16-24 ft.,Left Side Center(LC),53,142
Post Scorer,16-24 ft.,Left Side(L),25,71
Post Scorer,16-24 ft.,Right Side Center(RC),46,118
Post Scorer,16-24 ft.,Right Side(R),20,44
Post Scorer,24+ ft.,Center(C),119,361
Post Scorer,24+ ft.,Left Side Center(LC),80,219
Post Scorer,24+ ft.,Left Side(L),25,64
Post Scorer,24+ ft.,Right Side Center(RC),63,226
Post Scorer,24+ ft.,Right Side(R),14,35
Post Scorer,8-16 ft.,Center(C),337,718
Post Scorer,8-16 ft.,Left Side(L),186,442
Post Scorer,8-16 ft.,Right Side(R),153,357
Post Scorer,Back Court Shot,Back Court(BC),0,13
Post Scorer,Less Than 8 ft.,Center(C),4363,7006
Primary Ball Handler,16-24 ft.,Center(C),248,582
Primary Ball Handler,16-24 ft.,Left Side Center(LC),241,556
Primary Ball Handler,16-24 ft.,Left Side(L),71,189
Primary Ball Handler,16-24 ft.,Right Side Center(RC),243,573
Primary Ball Handler,16-24 ft.,Right Side(R),78,161
