GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021200017,104,202327,Ekpe Udoh,1610612749,Milwaukee Bucks,1,0,57,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,14,-75,121,1,0,20121102,BOS,MIL
Shot Chart Detail,0021200017,118,202327,Ekpe Udoh,1610612749,Milwaukee Bucks,2,11,27,Made Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,8,83,30,1,1,20121102,BOS,MIL
Shot Chart Detail,0021200017,395,202327,Ekpe Udoh,1610612749,Milwaukee Bucks,4,10,55,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-62,31,1,1,20121102,BOS,MIL
Shot Chart Detail,0021200017,403,202327,Ekpe Udoh,1610612749,Milwaukee Bucks,4,9,23,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,31,15,1,1,20121102,BOS,MIL
Shot Chart Detail,0021200017,479,202327,Ekpe Udoh,1610612749,Milwaukee Bucks,4,1,6,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-4,66,1,0,20121102,BOS,MIL
Shot Chart Detail,0021200033,102,202327,Ekpe Udoh,1610612749,Milwaukee Bucks,1,1,50,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-35,39,1,0,20121103,MIL,CLE
Shot Chart Detail,0021200033,145,202327,Ekpe Udoh,1610612749,Milwaukee Bucks,2,8,6,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-21,25,1,1,20121103,MIL,CLE
Shot Chart Detail,0021200033,219,202327,Ekpe Udoh,1610612749,Milwaukee Bucks,2,2,38,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,97,119,1,1,20121103,MIL,CLE
Shot Chart Detail,0021200033,319,202327,Ekpe Udoh,1610612749,Milwaukee Bucks,3,3,51,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,92,126,1,0,20121103,MIL,CLE
Shot Chart Detail,0021200057,130,202327,Ekpe Udoh,1610612749,Milwaukee Bucks,2,10,1,Missed Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,3,1,0,20121107,MIL,MEM
Shot Chart Detail,0021200068,151,202327,Ekpe Udoh,1610612749,Milwaukee Bucks,2,8,12,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-153,75,1,1,20121109,WAS,MIL
Shot Chart Detail,0021200068,363,202327,Ekpe Udoh,1610612749,Milwaukee Bucks,3,0,4,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-54,0,1,1,20121109,WAS,MIL
Shot Chart Detail,0021200068,392,202327,Ekpe Udoh,1610612749,Milwaukee Bucks,4,9,42,Made Shot,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-68,20,1,1,20121109,WAS,MIL
Shot Chart Detail,0021200068,407,202327,Ekpe Udoh,1610612749,Milwaukee Bucks,4,8,18,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,11,1,1,20121109,WAS,MIL
Shot Chart Detail,0021200086,108,202327,Ekpe Udoh,1610612749,Milwaukee Bucks,1,2,42,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-40,41,1,1,20121110,MIL,BOS
Shot Chart Detail,0021200086,138,202327,Ekpe Udoh,1610612749,Milwaukee Bucks,2,11,6,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,132,80,1,1,20121110,MIL,BOS
Shot Chart Detail,0021200086,194,202327,Ekpe Udoh,1610612749,Milwaukee Bucks,2,5,22,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,136,88,1,0,20121110,MIL,BOS
Shot Chart Detail,0021200086,398,202327,Ekpe Udoh,1610612749,Milwaukee Bucks,4,10,3,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,59,30,1,0,20121110,MIL,BOS
Shot Chart Detail,0021200086,410,202327,Ekpe Udoh,1610612749,Milwaukee Bucks,4,8,46,Missed Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,17,1,0,20121110,MIL,BOS
Shot Chart Detail,0021200096,131,202327,Ekpe Udoh,1610612749,Milwaukee Bucks,2,11,13,Missed Shot,Hook Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,8,-82,11,1,0,20121112,PHI,MIL
Shot Chart Detail,0021200096,135,202327,Ekpe Udoh,1610612749,Milwaukee Bucks,2,10,43,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-34,34,1,0,20121112,PHI,MIL
Shot Chart Detail,0021200096,164,202327,Ekpe Udoh,1610612749,Milwaukee Bucks,2,7,28,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,1,1,1,20121112,PHI,MIL
Shot Chart Detail,0021200096,358,202327,Ekpe Udoh,1610612749,Milwaukee Bucks,3,2,14,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-35,-8,1,1,20121112,PHI,MIL
Shot Chart Detail,0021200096,415,202327,Ekpe Udoh,1610612749,Milwaukee Bucks,4,8,31,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-10,20,1,0,20121112,PHI,MIL
Shot Chart Detail,0021200111,122,202327,Ekpe Udoh,1610612749,Milwaukee Bucks,1,0,4,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,-2,1,1,20121114,MIL,IND
Shot Chart Detail,0021200111,149,202327,Ekpe Udoh,1610612749,Milwaukee Bucks,2,10,39,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-123,88,1,0,20121114,MIL,IND
