GRID_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,FGA,FGM,FG_PCT
League Averages,Above the Break 3,Back Court(BC),Back Court Shot,60,1,0.017
League Averages,Above the Break 3,Center(C),24+ ft.,5594,1858,0.332
League Averages,Above the Break 3,Left Side Center(LC),24+ ft.,10272,3496,0.34
League Averages,Above the Break 3,Right Side Center(RC),24+ ft.,10361,3639,0.351
League Averages,Backcourt,Back Court(BC),Back Court Shot,304,10,0.033
League Averages,In The Paint (Non-RA),Center(C),8-16 ft.,5041,1981,0.393
League Averages,In The Paint (Non-RA),Center(C),Less Than 8 ft.,15642,5855,0.374
League Averages,In The Paint (Non-RA),Left Side(L),8-16 ft.,1568,629,0.401
League Averages,In The Paint (Non-RA),Right Side(R),8-16 ft.,1692,654,0.387
League Averages,Left Corner 3,Left Side(L),24+ ft.,4998,1880,0.376
League Averages,Mid-Range,Center(C),16-24 ft.,6418,2545,0.397
League Averages,Mid-Range,Center(C),8-16 ft.,1558,682,0.438
League Averages,Mid-Range,Left Side Center(LC),16-24 ft.,7129,2773,0.389
League Averages,Mid-Range,Left Side(L),16-24 ft.,6159,2366,0.384
League Averages,Mid-Range,Left Side(L),8-16 ft.,7044,2667,0.379
League Averages,Mid-Range,Right Side Center(RC),16-24 ft.,8164,3075,0.377
League Averages,Mid-Range,Right Side(R),16-24 ft.,5682,2252,0.396
League Averages,Mid-Range,Right Side(R),8-16 ft.,6629,2533,0.382
League Averages,Restricted Area,Center(C),Less Than 8 ft.,52099,31512,0.605
League Averages,Right Corner 3,Right Side(R),24+ ft.,4791,1799,0.375
