GRID_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,FGA,FGM,FG_PCT
League Averages,Above the Break 3,Back Court(BC),Back Court Shot,2,1,0.5
League Averages,Above the Break 3,Center(C),24+ ft.,1018,341,0.335
League Averages,Above the Break 3,Left Side Center(LC),24+ ft.,1712,591,0.345
League Averages,Above the Break 3,Right Side Center(RC),24+ ft.,1542,546,0.354
League Averages,Backcourt,Back Court(BC),Back Court Shot,32,1,0.031
League Averages,In The Paint (Non-RA),Center(C),8-16 ft.,970,433,0.446
League Averages,In The Paint (Non-RA),Center(C),Less Than 8 ft.,1885,857,0.455
League Averages,In The Paint (Non-RA),Left Side(L),8-16 ft.,189,80,0.423
League Averages,In The Paint (Non-RA),Right Side(R),8-16 ft.,196,96,0.49
League Averages,Left Corner 3,Left Side(L),24+ ft.,775,290,0.374
League Averages,Mid-Range,Center(C),8-16 ft.,168,78,0.464
League Averages,Mid-Range,Center(C),16-24 ft.,259,105,0.405
League Averages,Mid-Range,Left Side Center(LC),16-24 ft.,297,122,0.411
League Averages,Mid-Range,Left Side(L),16-24 ft.,95,45,0.474
League Averages,Mid-Range,Left Side(L),8-16 ft.,356,167,0.469
League Averages,Mid-Range,Right Side Center(RC),16-24 ft.,259,114,0.44
League Averages,Mid-Range,Right Side(R),8-16 ft.,381,158,0.415
League Averages,Mid-Range,Right Side(R),16-24 ft.,103,41,0.398
League Averages,Restricted Area,Center(C),Less Than 8 ft.,3731,2431,0.652
League Averages,Right Corner 3,Right Side(R),24+ ft.,681,253,0.372
