GRID_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,FGA,FGM,FG_PCT
League Averages,Above the Break 3,Back Court(BC),Back Court Shot,8,0,0.0
League Averages,Above the Break 3,Center(C),24+ ft.,868,290,0.334
League Averages,Above the Break 3,Left Side Center(LC),24+ ft.,1274,467,0.367
League Averages,Above the Break 3,Right Side Center(RC),24+ ft.,1260,457,0.363
League Averages,Backcourt,Back Court(BC),Back Court Shot,42,0,0.0
League Averages,In The Paint (Non-RA),Center(C),8-16 ft.,440,202,0.459
League Averages,In The Paint (Non-RA),Center(C),Less Than 8 ft.,1063,476,0.448
League Averages,In The Paint (Non-RA),Left Side(L),8-16 ft.,119,55,0.462
League Averages,In The Paint (Non-RA),Right Side(R),8-16 ft.,136,56,0.412
League Averages,Left Corner 3,Left Side(L),24+ ft.,591,249,0.421
League Averages,Mid-Range,Center(C),16-24 ft.,318,139,0.437
League Averages,Mid-Range,Center(C),8-16 ft.,115,50,0.435
League Averages,Mid-Range,Left Side Center(LC),16-24 ft.,317,135,0.426
League Averages,Mid-Range,Left Side(L),16-24 ft.,259,95,0.367
League Averages,Mid-Range,Left Side(L),8-16 ft.,439,157,0.358
League Averages,Mid-Range,Right Side Center(RC),16-24 ft.,436,184,0.422
League Averages,Mid-Range,Right Side(R),16-24 ft.,233,86,0.369
League Averages,Mid-Range,Right Side(R),8-16 ft.,475,185,0.389
League Averages,Restricted Area,Center(C),Less Than 8 ft.,4271,2606,0.61
League Averages,Right Corner 3,Right Side(R),24+ ft.,539,191,0.354
