GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0029700025,14,63,Michael Smith,1610612758,Sacramento Kings,1,10,20,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,25,40,1,1,19971101,VAN,SAC
Shot Chart Detail,0029700025,68,63,Michael Smith,1610612758,Sacramento Kings,1,4,15,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19971101,VAN,SAC
Shot Chart Detail,0029700025,155,63,Michael Smith,1610612758,Sacramento Kings,2,6,31,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19971101,VAN,SAC
Shot Chart Detail,0029700025,177,63,Michael Smith,1610612758,Sacramento Kings,2,4,6,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19971101,VAN,SAC
Shot Chart Detail,0029700025,241,63,Michael Smith,1610612758,Sacramento Kings,3,9,26,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19971101,VAN,SAC
Shot Chart Detail,0029700025,417,63,Michael Smith,1610612758,Sacramento Kings,4,5,19,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-42,46,1,0,19971101,VAN,SAC
Shot Chart Detail,0029700025,483,63,Michael Smith,1610612758,Sacramento Kings,4,0,13,Made Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,20,35,1,1,19971101,VAN,SAC
Shot Chart Detail,0029700028,56,63,Michael Smith,1610612758,Sacramento Kings,1,4,56,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,141,72,1,0,19971102,SAC,HOU
Shot Chart Detail,0029700028,218,63,Michael Smith,1610612758,Sacramento Kings,2,0,44,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19971102,SAC,HOU
Shot Chart Detail,0029700028,237,63,Michael Smith,1610612758,Sacramento Kings,3,11,26,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,19971102,SAC,HOU
Shot Chart Detail,0029700028,266,63,Michael Smith,1610612758,Sacramento Kings,3,8,17,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,19971102,SAC,HOU
Shot Chart Detail,0029700028,301,63,Michael Smith,1610612758,Sacramento Kings,3,4,21,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,19971102,SAC,HOU
Shot Chart Detail,0029700028,353,63,Michael Smith,1610612758,Sacramento Kings,3,0,2,Missed Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,19971102,SAC,HOU
Shot Chart Detail,0029700028,447,63,Michael Smith,1610612758,Sacramento Kings,4,2,31,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,19971102,SAC,HOU
Shot Chart Detail,0029700040,22,63,Michael Smith,1610612758,Sacramento Kings,1,9,0,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,19971104,SAC,LAL
Shot Chart Detail,0029700040,34,63,Michael Smith,1610612758,Sacramento Kings,1,8,7,Missed Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,19971104,SAC,LAL
Shot Chart Detail,0029700040,46,63,Michael Smith,1610612758,Sacramento Kings,1,6,46,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19971104,SAC,LAL
Shot Chart Detail,0029700040,240,63,Michael Smith,1610612758,Sacramento Kings,2,0,5,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,19971104,SAC,LAL
Shot Chart Detail,0029700040,252,63,Michael Smith,1610612758,Sacramento Kings,3,11,47,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,106,63,1,0,19971104,SAC,LAL
Shot Chart Detail,0029700040,282,63,Michael Smith,1610612758,Sacramento Kings,3,8,29,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19971104,SAC,LAL
Shot Chart Detail,0029700063,28,63,Michael Smith,1610612758,Sacramento Kings,1,9,53,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19971107,SAC,LAC
Shot Chart Detail,0029700063,48,63,Michael Smith,1610612758,Sacramento Kings,1,7,26,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,72,18,1,0,19971107,SAC,LAC
Shot Chart Detail,0029700063,58,63,Michael Smith,1610612758,Sacramento Kings,1,6,16,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19971107,SAC,LAC
Shot Chart Detail,0029700063,62,63,Michael Smith,1610612758,Sacramento Kings,1,5,44,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-96,-12,1,0,19971107,SAC,LAC
Shot Chart Detail,0029700552,128,63,Michael Smith,1610612758,Sacramento Kings,2,10,49,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,10,-68,74,1,0,19980119,PHI,SAC
Shot Chart Detail,0029700552,138,63,Michael Smith,1610612758,Sacramento Kings,2,10,3,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,98,-31,1,0,19980119,PHI,SAC
Shot Chart Detail,0029700552,307,63,Michael Smith,1610612758,Sacramento Kings,3,4,59,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,19980119,PHI,SAC
Shot Chart Detail,0029700552,337,63,Michael Smith,1610612758,Sacramento Kings,3,2,5,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,19980119,PHI,SAC
Shot Chart Detail,0029700552,388,63,Michael Smith,1610612758,Sacramento Kings,4,8,20,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,19980119,PHI,SAC
Shot Chart Detail,0029700568,139,63,Michael Smith,1610612758,Sacramento Kings,2,9,44,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,19980121,TOR,SAC
Shot Chart Detail,0029700568,147,63,Michael Smith,1610612758,Sacramento Kings,2,9,3,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,19980121,TOR,SAC
Shot Chart Detail,0029700568,162,63,Michael Smith,1610612758,Sacramento Kings,2,8,13,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,19980121,TOR,SAC
Shot Chart Detail,0029700568,176,63,Michael Smith,1610612758,Sacramento Kings,2,6,22,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19980121,TOR,SAC
Shot Chart Detail,0029700568,391,63,Michael Smith,1610612758,Sacramento Kings,4,11,5,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19980121,TOR,SAC
Shot Chart Detail,0029700576,156,63,Michael Smith,1610612758,Sacramento Kings,2,7,43,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,-1,1,1,19980122,CLE,SAC
Shot Chart Detail,0029700576,363,63,Michael Smith,1610612758,Sacramento Kings,4,11,32,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,23,-1,1,0,19980122,CLE,SAC
Shot Chart Detail,0029700604,98,63,Michael Smith,1610612758,Sacramento Kings,1,2,8,Missed Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,19980126,SAC,SEA
Shot Chart Detail,0029700604,105,63,Michael Smith,1610612758,Sacramento Kings,1,1,24,Missed Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,19980126,SAC,SEA
Shot Chart Detail,0029700604,163,63,Michael Smith,1610612758,Sacramento Kings,2,7,4,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,19980126,SAC,SEA
Shot Chart Detail,0029700636,187,63,Michael Smith,1610612758,Sacramento Kings,2,4,43,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-136,74,1,1,19980130,SAC,TOR
Shot Chart Detail,0029700636,342,63,Michael Smith,1610612758,Sacramento Kings,3,2,2,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,19980130,SAC,TOR
Shot Chart Detail,0029700649,142,63,Michael Smith,1610612758,Sacramento Kings,2,8,13,Missed Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,78,5,1,0,19980201,SAC,SAS
Shot Chart Detail,0029700665,451,63,Michael Smith,1610612758,Sacramento Kings,4,0,51,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-182,21,1,1,19980203,SAC,IND
Shot Chart Detail,0029700671,151,63,Michael Smith,1610612758,Sacramento Kings,2,7,40,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19980204,DEN,SAC
Shot Chart Detail,0029700691,398,63,Michael Smith,1610612758,Sacramento Kings,4,6,59,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,8,89,-1,1,0,19980210,PHX,SAC
Shot Chart Detail,0029700691,421,63,Michael Smith,1610612758,Sacramento Kings,4,5,9,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19980210,PHX,SAC
Shot Chart Detail,0029700691,425,63,Michael Smith,1610612758,Sacramento Kings,4,4,38,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19980210,PHX,SAC
Shot Chart Detail,0029700705,126,63,Michael Smith,1610612758,Sacramento Kings,2,9,45,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,19980212,SAC,DEN
Shot Chart Detail,0029700705,127,63,Michael Smith,1610612758,Sacramento Kings,2,9,43,Missed Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,19980212,SAC,DEN
Shot Chart Detail,0029700705,129,63,Michael Smith,1610612758,Sacramento Kings,2,9,40,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19980212,SAC,DEN
Shot Chart Detail,0029700705,141,63,Michael Smith,1610612758,Sacramento Kings,2,8,19,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,19980212,SAC,DEN
Shot Chart Detail,0029700705,150,63,Michael Smith,1610612758,Sacramento Kings,2,7,20,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19980212,SAC,DEN
Shot Chart Detail,0029700716,119,63,Michael Smith,1610612758,Sacramento Kings,2,11,9,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19980213,GSW,SAC
Shot Chart Detail,0029700716,173,63,Michael Smith,1610612758,Sacramento Kings,2,4,58,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19980213,GSW,SAC
Shot Chart Detail,0029700716,345,63,Michael Smith,1610612758,Sacramento Kings,4,11,0,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-57,14,1,0,19980213,GSW,SAC
Shot Chart Detail,0029700716,347,63,Michael Smith,1610612758,Sacramento Kings,4,10,56,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-18,91,1,0,19980213,GSW,SAC
Shot Chart Detail,0029700716,380,63,Michael Smith,1610612758,Sacramento Kings,4,8,22,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19980213,GSW,SAC
Shot Chart Detail,0029700716,408,63,Michael Smith,1610612758,Sacramento Kings,4,5,37,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19980213,GSW,SAC
Shot Chart Detail,0029700730,167,63,Michael Smith,1610612758,Sacramento Kings,2,8,15,Missed Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,19980215,SAC,WAS
Shot Chart Detail,0029700730,176,63,Michael Smith,1610612758,Sacramento Kings,2,6,46,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19980215,SAC,WAS
Shot Chart Detail,0029700742,163,63,Michael Smith,1610612758,Sacramento Kings,2,7,31,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-3,61,1,0,19980217,SAC,BOS
Shot Chart Detail,0029700760,179,63,Michael Smith,1610612763,Vancouver Grizzlies,2,7,12,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,8,85,5,1,0,19980220,ATL,VAN
