GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,21400012,65,202344,Trevor Booker,1610612762,Utah Jazz,1,3,18,Made Shot,Jump Hook Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-26,50,1,1,20141029,0,UTA,HOU
Shot Chart Detail,21400012,71,202344,Trevor Booker,1610612762,Utah Jazz,1,2,53,Missed Shot,Jump Shot,,Mid-Range,Center(C),16-24 ft.,16,34,159,1,0,20141029,0,UTA,HOU
Shot Chart Detail,21400012,93,202344,Trevor Booker,1610612762,Utah Jazz,1,0,22,Missed Shot,Fadeaway Jump Shot,,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,-65,71,1,0,20141029,0,UTA,HOU
Shot Chart Detail,21400012,116,202344,Trevor Booker,1610612762,Utah Jazz,2,9,22,Made Shot,Turnaround Bank shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-70,20,1,1,20141029,1,UTA,HOU
Shot Chart Detail,21400012,144,202344,Trevor Booker,1610612762,Utah Jazz,2,6,23,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,182,170,1,0,20141029,0,UTA,HOU
Shot Chart Detail,21400012,146,202344,Trevor Booker,1610612762,Utah Jazz,2,6,18,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,0,30,1,1,20141029,1,UTA,HOU
Shot Chart Detail,21400012,295,202344,Trevor Booker,1610612762,Utah Jazz,3,2,52,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,4,11,1,1,20141029,1,UTA,HOU
Shot Chart Detail,21400012,313,202344,Trevor Booker,1610612762,Utah Jazz,3,1,30,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,13,9,1,0,20141029,0,UTA,HOU
Shot Chart Detail,21400012,315,202344,Trevor Booker,1610612762,Utah Jazz,3,1,22,Made Shot,Jump Hook Shot,,Restricted Area,Center(C),Less Than 8 ft.,3,13,30,1,1,20141029,1,UTA,HOU
Shot Chart Detail,21400012,330,202344,Trevor Booker,1610612762,Utah Jazz,4,11,10,Made Shot,Turnaround Jump Shot,,In The Paint (Non-RA),Center(C),8-16 ft.,8,-2,88,1,1,20141029,0,UTA,HOU
Shot Chart Detail,21400019,119,202344,Trevor Booker,1610612762,Utah Jazz,2,11,49,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-103,224,1,0,20141030,0,DAL,UTA
Shot Chart Detail,21400019,317,202344,Trevor Booker,1610612762,Utah Jazz,3,6,12,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,18,9,1,0,20141030,0,DAL,UTA
Shot Chart Detail,21400019,327,202344,Trevor Booker,1610612762,Utah Jazz,3,4,52,Made Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,24,32,244,1,1,20141030,1,DAL,UTA
Shot Chart Detail,21400019,401,202344,Trevor Booker,1610612762,Utah Jazz,4,10,48,Missed Shot,Jump Shot,,Mid-Range,Left Side(L),8-16 ft.,13,-106,86,1,0,20141030,0,DAL,UTA
