GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,time,extra,PLAYERS_ON,assisted
Shot Chart Detail,42500161,9,203932,Aaron Gordon,1610612743,Denver Nuggets,1,11,26,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,56,27,1,0,20260418,DEN,MIN,425001619,340,0,203932|203999|1627750|1629661|1631128,0
Shot Chart Detail,42500161,19,1629661,Cameron Johnson,1610612743,Denver Nuggets,1,10,51,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,225,62,1,0,20260418,DEN,MIN,4250016119,690,0,203932|203999|1627750|1629661|1631128,0
Shot Chart Detail,42500161,24,1629661,Cameron Johnson,1610612743,Denver Nuggets,1,10,44,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,7,21,1,1,20260418,DEN,MIN,4250016124,760,0,203932|203999|1627750|1629661|1631128,1
Shot Chart Detail,42500161,28,1629661,Cameron Johnson,1610612743,Denver Nuggets,1,10,24,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-146,222,1,0,20260418,DEN,MIN,4250016128,960,0,203932|203999|1627750|1629661|1631128,0
Shot Chart Detail,42500161,32,1631128,Christian Braun,1610612743,Denver Nuggets,1,10,6,Missed Shot,Running Pull-Up Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,5,46,1,0,20260418,DEN,MIN,4250016132,1140,0,203932|203999|1627750|1629661|1631128,0
Shot Chart Detail,42500161,38,203932,Aaron Gordon,1610612743,Denver Nuggets,1,9,41,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-142,206,1,0,20260418,DEN,MIN,4250016138,1390,0,203932|203999|1627750|1629661|1631128,0
Shot Chart Detail,42500161,51,1629661,Cameron Johnson,1610612743,Denver Nuggets,1,8,39,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,104,243,1,1,20260418,DEN,MIN,4250016151,2010,0,203932|203999|1627750|1629661|1631128,1
Shot Chart Detail,42500161,62,203999,Nikola Jokić,1610612743,Denver Nuggets,1,8,6,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,85,253,1,0,20260418,DEN,MIN,4250016162,2340,0,203932|203999|1627750|1629661|1631128,0
Shot Chart Detail,42500161,66,203932,Aaron Gordon,1610612743,Denver Nuggets,1,7,47,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,233,35,1,0,20260418,DEN,MIN,4250016166,2530,0,203932|203999|1627750|1629661|1631128,0
Shot Chart Detail,42500161,80,1629661,Cameron Johnson,1610612743,Denver Nuggets,1,6,46,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-235,36,1,0,20260418,DEN,MIN,4250016180,3140,0,203932|203999|1627750|1629661|1631128,0
Shot Chart Detail,42500161,90,1627750,Jamal Murray,1610612743,Denver Nuggets,1,6,6,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-141,218,1,0,20260418,DEN,MIN,4250016190,3540,0,203501|203932|203999|1627750|1631128,0
Shot Chart Detail,42500161,101,1627750,Jamal Murray,1610612743,Denver Nuggets,1,5,25,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-92,183,1,0,20260418,DEN,MIN,42500161101,3950,0,203501|203932|203999|1627750|1631128,0
Shot Chart Detail,42500161,105,203999,Nikola Jokić,1610612743,Denver Nuggets,1,5,1,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,11,246,1,1,20260418,DEN,MIN,42500161105,4190,0,203501|203932|203999|1627750|1631128,1
Shot Chart Detail,42500161,114,1631128,Christian Braun,1610612743,Denver Nuggets,1,4,5,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-233,52,1,1,20260418,DEN,MIN,42500161114,4750,0,203501|203932|203999|1627750|1631128,1
Shot Chart Detail,42500161,118,1631128,Christian Braun,1610612743,Denver Nuggets,1,3,41,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,23,9,1,1,20260418,DEN,MIN,42500161118,4990,0,203501|203932|203999|1627750|1631128,1
Shot Chart Detail,42500161,156,1631128,Christian Braun,1610612743,Denver Nuggets,1,3,21,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,11,1,0,20260418,DEN,MIN,42500161156,5190,0,203501|203932|203999|1627750|1631128,0
Shot Chart Detail,42500161,122,203501,Tim Hardaway Jr.,1610612743,Denver Nuggets,1,3,17,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,144,118,1,0,20260418,DEN,MIN,42500161122,5230,0,203501|203932|203999|1627750|1631128,0
