GRID_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,FGA,FGM,FG_PCT
League Averages,Above the Break 3,Back Court(BC),Back Court Shot,1,0,0.0
League Averages,Above the Break 3,Center(C),24+ ft.,1017,345,0.339
League Averages,Above the Break 3,Left Side Center(LC),24+ ft.,1656,553,0.334
League Averages,Above the Break 3,Right Side Center(RC),24+ ft.,1588,547,0.344
League Averages,Backcourt,Back Court(BC),Back Court Shot,5,2,0.4
League Averages,In The Paint (Non-RA),Center(C),8-16 ft.,879,379,0.431
League Averages,In The Paint (Non-RA),Center(C),Less Than 8 ft.,1591,628,0.395
League Averages,In The Paint (Non-RA),Left Side(L),8-16 ft.,172,74,0.43
League Averages,In The Paint (Non-RA),Right Side(R),8-16 ft.,200,86,0.43
League Averages,Left Corner 3,Left Side(L),24+ ft.,814,315,0.387
League Averages,Mid-Range,Center(C),8-16 ft.,154,62,0.403
League Averages,Mid-Range,Center(C),16-24 ft.,176,66,0.375
League Averages,Mid-Range,Left Side Center(LC),16-24 ft.,189,71,0.376
League Averages,Mid-Range,Left Side(L),16-24 ft.,80,29,0.363
League Averages,Mid-Range,Left Side(L),8-16 ft.,389,165,0.424
League Averages,Mid-Range,Right Side Center(RC),16-24 ft.,223,90,0.404
League Averages,Mid-Range,Right Side(R),8-16 ft.,409,189,0.462
League Averages,Mid-Range,Right Side(R),16-24 ft.,57,18,0.316
League Averages,Restricted Area,Center(C),Less Than 8 ft.,4111,2650,0.645
League Averages,Right Corner 3,Right Side(R),24+ ft.,762,269,0.353
