GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,time,extra,PLAYERS_ON,assisted
Shot Chart Detail,42500161,7,1630183,Jaden McDaniels,1610612750,Minnesota Timberwolves,1,11,37,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,127,235,1,0,20260418,DEN,MIN,425001617,230,0,203497|203944|1628978|1630162|1630183,0
Shot Chart Detail,42500161,15,1628978,Donte DiVincenzo,1610612750,Minnesota Timberwolves,1,11,13,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,178,191,1,1,20260418,DEN,MIN,4250016115,470,0,203497|203944|1628978|1630162|1630183,1
Shot Chart Detail,42500161,26,1628978,Donte DiVincenzo,1610612750,Minnesota Timberwolves,1,10,33,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-222,162,1,1,20260418,DEN,MIN,4250016126,870,0,203497|203944|1628978|1630162|1630183,1
Shot Chart Detail,42500161,30,1630162,Anthony Edwards,1610612750,Minnesota Timberwolves,1,10,12,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,23,-21,235,1,0,20260418,DEN,MIN,4250016130,1080,0,203497|203944|1628978|1630162|1630183,0
Shot Chart Detail,42500161,40,1630183,Jaden McDaniels,1610612750,Minnesota Timberwolves,1,9,26,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,33,13,1,1,20260418,DEN,MIN,4250016140,1540,0,203497|203944|1628978|1630162|1630183,1
Shot Chart Detail,42500161,50,203944,Julius Randle,1610612750,Minnesota Timberwolves,1,8,54,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-110,111,1,1,20260418,DEN,MIN,4250016150,1860,0,203497|203944|1628978|1630162|1630183,0
Shot Chart Detail,42500161,64,203944,Julius Randle,1610612750,Minnesota Timberwolves,1,7,56,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,137,10,1,0,20260418,DEN,MIN,4250016164,2440,0,203497|203944|1628978|1630162|1630183,0
Shot Chart Detail,42500161,68,1630162,Anthony Edwards,1610612750,Minnesota Timberwolves,1,7,29,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,110,164,1,0,20260418,DEN,MIN,4250016168,2710,0,203497|203944|1628978|1630162|1630183,0
Shot Chart Detail,42500161,76,1630183,Jaden McDaniels,1610612750,Minnesota Timberwolves,1,7,7,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,116,152,1,1,20260418,DEN,MIN,4250016176,2930,0,203497|1628978|1629675|1630162|1630183,0
Shot Chart Detail,42500161,79,1630183,Jaden McDaniels,1610612750,Minnesota Timberwolves,1,6,55,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,5,1,1,20260418,DEN,MIN,4250016179,3050,0,203497|1628978|1629675|1630162|1630183,1
