GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,time,extra,PLAYERS_ON,assisted
Shot Chart Detail,42500171,15,1641708,Amen Thompson,1610612745,Houston Rockets,1,10,59,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20260418,LAL,HOU,4250017115,610,0,1629006|1630578|1631095|1641708|1642263,0
Shot Chart Detail,42500171,19,1641708,Amen Thompson,1610612745,Houston Rockets,1,10,27,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-44,25,1,0,20260418,LAL,HOU,4250017119,930,0,1629006|1630578|1631095|1641708|1642263,0
Shot Chart Detail,42500171,23,1642263,Reed Sheppard,1610612745,Houston Rockets,1,9,53,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,60,256,1,0,20260418,LAL,HOU,4250017123,1270,0,1629006|1630578|1631095|1641708|1642263,0
Shot Chart Detail,42500171,28,1631095,Jabari Smith Jr.,1610612745,Houston Rockets,1,9,38,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,181,213,1,0,20260418,LAL,HOU,4250017128,1420,0,1629006|1630578|1631095|1641708|1642263,0
Shot Chart Detail,42500171,36,1630578,Alperen Sengun,1610612745,Houston Rockets,1,8,37,Missed Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,55,74,1,0,20260418,LAL,HOU,4250017136,2030,0,1629006|1630578|1631095|1641708|1642263,0
Shot Chart Detail,42500171,40,1631095,Jabari Smith Jr.,1610612745,Houston Rockets,1,8,19,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,235,69,1,1,20260418,LAL,HOU,4250017140,2210,0,1629006|1630578|1631095|1641708|1642263,1
Shot Chart Detail,42500171,45,1641708,Amen Thompson,1610612745,Houston Rockets,1,7,57,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-7,24,1,0,20260418,LAL,HOU,4250017145,2430,0,1629006|1630578|1631095|1641708|1642263,0
Shot Chart Detail,42500171,53,1630578,Alperen Sengun,1610612745,Houston Rockets,1,7,24,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,38,129,1,1,20260418,LAL,HOU,4250017153,2760,0,1629006|1630578|1631095|1641708|1642263,0
Shot Chart Detail,42500171,56,1629006,Josh Okogie,1610612745,Houston Rockets,1,6,50,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-167,214,1,1,20260418,LAL,HOU,4250017156,3100,0,1629006|1630578|1631095|1641708|1642263,1
Shot Chart Detail,42500171,60,1630578,Alperen Sengun,1610612745,Houston Rockets,1,6,18,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,1,1,1,20260418,LAL,HOU,4250017160,3420,0,1629006|1630578|1631095|1641708|1642263,1
Shot Chart Detail,42500171,69,1642263,Reed Sheppard,1610612745,Houston Rockets,1,5,42,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,86,83,1,1,20260418,LAL,HOU,4250017169,3780,0,203991|1629006|1631095|1641708|1642263,0
Shot Chart Detail,42500171,72,1642263,Reed Sheppard,1610612745,Houston Rockets,1,5,15,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,98,241,1,1,20260418,LAL,HOU,4250017172,4050,0,203991|1629006|1631095|1641708|1642263,1
Shot Chart Detail,42500171,76,203991,Clint Capela,1610612745,Houston Rockets,1,4,33,Made Shot,Turnaround Bank Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-11,40,1,1,20260418,LAL,HOU,4250017176,4470,0,203991|1629006|1631095|1641708|1642263,1
