PLAYER_NAME,PLAYER_ID,Isolation_POSS_PCT,Isolation_EFG_PCT,Isolation_PTS,PRBallHandler_POSS_PCT,PRBallHandler_EFG_PCT,PRBallHandler_PTS,PRRollMan_POSS_PCT,PRRollMan_EFG_PCT,PRRollMan_PTS,Spotup_POSS_PCT,Spotup_EFG_PCT,Spotup_PTS,Postup_POSS_PCT,Postup_EFG_PCT,Postup_PTS,Transition_POSS_PCT,Transition_EFG_PCT,Transition_PTS,Handoff_POSS_PCT,Handoff_EFG_PCT,Handoff_PTS,Cut_POSS_PCT,Cut_EFG_PCT,Cut_PTS,OffScreen_POSS_PCT,OffScreen_EFG_PCT,OffScreen_PTS,Misc_POSS_PCT,Misc_EFG_PCT,Misc_PTS,SEASON
Aaron Brooks,201166,0.114,0.32,81.0,0.459,0.501,436.0,0.0,0.0,0.0,0.141,0.592,170.0,0.0,0.0,0.0,0.13,0.53,119.0,0.067,0.591,71.0,0.011,0.444,9.0,0.023000000000000003,0.6,28.0,0.047,0.238,26.0,2014-15
Aaron Gordon,203932,0.074,0.471,16.0,0.063,0.625,13.0,0.092,0.455,22.0,0.298,0.371,55.0,0.04,0.25,5.0,0.17600000000000002,0.676,58.0,0.0,0.0,0.0,0.07,0.615,28.0,0.0,0.0,0.0,0.044000000000000004,0.6,8.0,2014-15
Adreian Payne,203940,0.094,0.4,18.0,0.0,0.0,0.0,0.158,0.486,37.0,0.252,0.373,48.0,0.129,0.4,28.0,0.05,0.625,10.0,0.0,0.0,0.0,0.104,0.458,27.0,0.0,0.0,0.0,0.079,0.25,6.0,2014-15
Al Horford,201143,0.055,0.491,59.0,0.0,0.0,0.0,0.24600000000000002,0.49,277.0,0.175,0.478,182.0,0.164,0.493,160.0,0.084,0.731,124.0,0.01,0.545,12.0,0.15,0.647,219.0,0.026,0.63,36.0,0.047,0.417,22.0,2014-15
Al Jefferson,2744,0.02,0.261,13.0,0.0,0.0,0.0,0.153,0.5,173.0,0.049,0.352,39.0,0.571,0.469,611.0,0.022,0.65,31.0,0.0,0.0,0.0,0.101,0.51,114.0,0.0,0.0,0.0,0.027,0.8,28.0,2014-15
Al-Farouq Aminu,202329,0.05,0.4,22.0,0.03,0.375,8.0,0.067,0.25,18.0,0.305,0.431,117.0,0.0,0.0,0.0,0.21000000000000002,0.696,122.0,0.0,0.0,0.0,0.09499999999999999,0.629,53.0,0.032,0.071,4.0,0.069,0.571,20.0,2014-15
Alan Anderson,101187,0.104,0.465,48.0,0.12,0.404,54.0,0.0,0.0,0.0,0.376,0.596,240.0,0.0,0.0,0.0,0.146,0.445,73.0,0.022000000000000002,0.4000000000000001,10.0,0.082,0.7180000000000001,62.0,0.048999999999999995,0.396,19.0,0.069,0.294,19.0,2014-15
Alec Burks,202692,0.086,0.31,25.0,0.291,0.368,82.0,0.0,0.0,0.0,0.23999999999999996,0.482,92.0,0.0,0.0,0.0,0.17,0.603,86.0,0.086,0.48300000000000004,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.3,16.0,2014-15
Alex Len,203458,0.03,0.35699999999999993,10.0,0.0,0.0,0.0,0.139,0.492,69.0,0.069,0.317,21.0,0.103,0.37799999999999995,31.0,0.075,0.552,34.0,0.0,0.0,0.0,0.268,0.576,141.0,0.0,0.0,0.0,0.127,0.556,18.0,2014-15
Alexey Shved,203144,0.11167391304347825,0.47119565217391307,44.0,0.2857796610169492,0.40188135593220337,100.0,0.0,0.0,0.0,0.16586764705882354,0.5071029411764706,68.0,0.0,0.0,0.0,0.196325,0.5662499999999999,83.0,0.07625806451612903,0.4639677419354839,33.0,0.0,0.0,0.0,0.06828571428571428,0.5291428571428571,34.0,0.051190476190476196,0.0,11.0,2014-15
