,shot_description,shot_count,shot_makes,year,shot_group
0,2PT Jump Shot,181610,70352,1997,TWO_POINT_JUMPERS
1,2PT Running Jump Shot,7258,4878,1997,TWO_POINT_JUMPERS
2,3PT Jump Shot,40598,14210,1997,THREE_POINT_JUMPERS
3,3PT Running Jump Shot,68,20,1997,THREE_POINT_JUMPERS
4,Driving Dunk,2082,2028,1997,DUNKS
5,Driving Layup,23824,18712,1997,LAYUPS
6,Hook Shot,11882,7036,1997,POST_MOVES
7,Standard Dunk,16010,15046,1997,DUNKS
8,Standard Layup,86012,35158,1997,LAYUPS
9,Tip Shot,7834,4108,1997,TIP_SHOTS
0,2PT Jump Shot,178602,64426,1998,TWO_POINT_JUMPERS
1,2PT Running Jump Shot,8762,5360,1998,TWO_POINT_JUMPERS
2,3PT Jump Shot,59736,20620,1998,THREE_POINT_JUMPERS
3,3PT Running Jump Shot,82,42,1998,THREE_POINT_JUMPERS
4,Driving Dunk,2080,2008,1998,DUNKS
5,Driving Layup,26492,18436,1998,LAYUPS
6,Hook Shot,12246,6428,1998,POST_MOVES
7,No Shot,52,12,1998,NO_SHOT
8,Standard Dunk,17966,16646,1998,DUNKS
9,Standard Layup,63458,32292,1998,LAYUPS
10,Tip Shot,9596,4496,1998,TIP_SHOTS
0,2PT Jump Shot,108832,38274,1999,TWO_POINT_JUMPERS
1,2PT Running Jump Shot,5550,3232,1999,TWO_POINT_JUMPERS
2,3PT Jump Shot,38004,12868,1999,THREE_POINT_JUMPERS
3,3PT Running Jump Shot,40,10,1999,THREE_POINT_JUMPERS
4,Driving Dunk,974,906,1999,DUNKS
5,Driving Layup,16220,10488,1999,LAYUPS
6,Hook Shot,7560,4110,1999,POST_MOVES
7,No Shot,4,0,1999,NO_SHOT
8,Standard Dunk,9174,8460,1999,DUNKS
9,Standard Layup,35260,18456,1999,LAYUPS
10,Tip Shot,5136,2294,1999,TIP_SHOTS
0,2PT Jump Shot,191516,69978,2000,TWO_POINT_JUMPERS
1,2PT Running Jump Shot,9718,5804,2000,TWO_POINT_JUMPERS
2,3PT Jump Shot,64856,22894,2000,THREE_POINT_JUMPERS
3,3PT Running Jump Shot,98,26,2000,THREE_POINT_JUMPERS
4,Driving Dunk,1924,1784,2000,DUNKS
5,Driving Layup,27412,18344,2000,LAYUPS
