OPP,OPP_ID,TEAM_ID,TEAM,Round,year
HOU,1610612745,1610612750,MIN,1,1997
CHA,1610612766,1610612752,NYK,1,1997
LAC,1610612746,1610612762,UTA,1,1997
MIA,1610612748,1610612753,ORL,1,1997
DET,1610612765,1610612737,ATL,1,1997
POR,1610612757,1610612747,LAL,1,1997
OKC,1610612760,1610612756,PHX,1,1997
CHI,1610612741,1610612764,WAS,1,1997
MIN,1610612750,1610612745,HOU,1,1997
NYK,1610612752,1610612766,CHA,1,1997
UTA,1610612762,1610612746,LAC,1,1997
ORL,1610612753,1610612748,MIA,1,1997
ATL,1610612737,1610612765,DET,1,1997
LAL,1610612747,1610612757,POR,1,1997
PHX,1610612756,1610612760,OKC,1,1997
WAS,1610612764,1610612741,CHI,1,1997
LAL,1610612747,1610612762,UTA,2,1997
HOU,1610612745,1610612760,OKC,2,1997
ATL,1610612737,1610612741,CHI,2,1997
NYK,1610612752,1610612748,MIA,2,1997
UTA,1610612762,1610612747,LAL,2,1997
OKC,1610612760,1610612745,HOU,2,1997
CHI,1610612741,1610612737,ATL,2,1997
MIA,1610612748,1610612752,NYK,2,1997
UTA,1610612762,1610612745,HOU,3,1997
MIA,1610612748,1610612741,CHI,3,1997
HOU,1610612745,1610612762,UTA,3,1997
CHI,1610612741,1610612748,MIA,3,1997
UTA,1610612762,1610612741,CHI,4,1997
CHI,1610612741,1610612762,UTA,4,1997
UTA,1610612762,1610612745,HOU,1,1998
CLE,1610612739,1610612754,IND,1,1998
ATL,1610612737,1610612766,CHA,1,1998
SAS,1610612759,1610612756,PHX,1,1998
MIN,1610612750,1610612760,OKC,1,1998
POR,1610612757,1610612747,LAL,1,1998
MIA,1610612748,1610612752,NYK,1,1998
BKN,1610612751,1610612741,CHI,1,1998
HOU,1610612745,1610612762,UTA,1,1998
IND,1610612754,1610612739,CLE,1,1998
CHA,1610612766,1610612737,ATL,1,1998
PHX,1610612756,1610612759,SAS,1,1998
OKC,1610612760,1610612750,MIN,1,1998
LAL,1610612747,1610612757,POR,1,1998
