shot_type,count
Alley Oop Dunk Shot,57634
Alley Oop Layup shot,30608
Cutting Dunk Shot,42932
Cutting Finger Roll Layup Shot,8866
Cutting Layup Shot,75474
Driving Bank Hook Shot,3062
Driving Bank shot,6680
Driving Dunk Shot,63658
Driving Finger Roll Layup Shot,78622
Driving Finger Roll Shot,8186
Driving Floating Bank Jump Shot,31572
Driving Floating Jump Shot,109778
Driving Hook Shot,26146
Driving Jump shot,15528
Driving Layup Shot,688444
Driving Reverse Dunk Shot,640
Driving Reverse Layup Shot,45630
Driving Slam Dunk Shot,7360
Dunk Shot,188372
Fadeaway Bank shot,2414
Fadeaway Jump Shot,129144
Finger Roll Layup Shot,16768
Finger Roll Shot,6132
Floating Jump shot,108216
Follow Up Dunk Shot,6202
Hook Bank Shot,4462
Hook Shot,197582
Jump Bank Hook Shot,562
Jump Bank Shot,55620
Jump Hook Shot,36110
Jump Shot,5472810
Layup Shot,1279618
No Shot,228
Pullup Bank shot,2734
Pullup Jump shot,412068
Putback Dunk Shot,18554
Putback Layup Shot,62656
Putback Reverse Dunk Shot,20
Putback Slam Dunk Shot,2294
Reverse Dunk Shot,6718
Reverse Layup Shot,95134
Reverse Slam Dunk Shot,858
Running Alley Oop Dunk Shot,3476
Running Alley Oop Layup Shot,1268
Running Bank Hook Shot,358
Running Bank shot,10980
Running Dunk Shot,32612
Running Finger Roll Layup Shot,15328
Running Finger Roll Shot,1142
Running Hook Shot,18120
Running Jump Shot,184516
Running Layup Shot,99598
Running Pull-Up Jump Shot,19282
Running Reverse Dunk Shot,328
Running Reverse Layup Shot,7522
Running Slam Dunk Shot,2218
Running Tip Shot,646
Slam Dunk Shot,91408
Step Back Bank Jump Shot,962
Step Back Jump shot,148040
Tip Dunk Shot,9024
Tip Layup Shot,68976
Tip Shot,148474
Turnaround Bank Hook Shot,3292
Turnaround Bank shot,6682
Turnaround Fadeaway Bank Jump Shot,5666
Turnaround Fadeaway shot,54142
Turnaround Finger Roll Shot,238
Turnaround Hook Shot,53576
Turnaround Jump Shot,158640
