,shot_description,shot_count,shot_makes,year,shot_group
16,Running Hook Shot,58,32,2003,POST_MOVES
17,Specialty Dunk,58,52,2003,DUNKS
18,Standard Dunk,918,820,2003,DUNKS
19,Standard Layup,4484,2026,2003,LAYUPS
20,Tip Shot,518,258,2003,TIP_SHOTS
21,Turnaround Hook Shot,26,20,2003,POST_MOVES
0,2PT Fadeaway Jump Shot,372,202,2004,TWO_POINT_JUMPERS
1,2PT Jump Shot,10224,3358,2004,TWO_POINT_JUMPERS
2,2PT Running Jump Shot,490,308,2004,TWO_POINT_JUMPERS
3,2PT Turnaround Jump Shot,626,356,2004,TWO_POINT_JUMPERS
4,3PT Fadeaway Jump Shot,2,0,2004,THREE_POINT_JUMPERS
5,3PT Jump Shot,5108,1656,2004,THREE_POINT_JUMPERS
6,3PT Running Jump Shot,10,4,2004,THREE_POINT_JUMPERS
7,3PT Turnaround Jump Shot,2,0,2004,THREE_POINT_JUMPERS
8,Alley Oop Dunk,82,72,2004,DUNKS
9,Alley Oop Layup,40,30,2004,LAYUPS
10,Driving Dunk,134,126,2004,DUNKS
11,Driving Hook Shot,4,4,2004,POST_MOVES
12,Driving Layup,1274,928,2004,LAYUPS
13,Finger Roll,214,162,2004,LAYUPS
14,Hook Shot,670,294,2004,POST_MOVES
15,Reverse Dunk,42,40,2004,DUNKS
16,Reverse Layup,284,190,2004,LAYUPS
17,Running Hook Shot,54,32,2004,POST_MOVES
18,Specialty Dunk,62,58,2004,DUNKS
19,Standard Dunk,910,832,2004,DUNKS
20,Standard Layup,4126,1720,2004,LAYUPS
21,Tip Shot,474,232,2004,TIP_SHOTS
22,Turnaround Hook Shot,30,14,2004,POST_MOVES
0,2PT Fadeaway Jump Shot,380,226,2005,TWO_POINT_JUMPERS
1,2PT Jump Shot,9998,3578,2005,TWO_POINT_JUMPERS
2,2PT Running Jump Shot,660,426,2005,TWO_POINT_JUMPERS
3,2PT Turnaround Jump Shot,674,350,2005,TWO_POINT_JUMPERS
4,3PT Fadeaway Jump Shot,6,4,2005,THREE_POINT_JUMPERS
5,3PT Jump Shot,5750,2054,2005,THREE_POINT_JUMPERS
6,3PT Running Jump Shot,14,0,2005,THREE_POINT_JUMPERS
7,3PT Turnaround Jump Shot,2,0,2005,THREE_POINT_JUMPERS
8,Alley Oop Dunk,96,88,2005,DUNKS
9,Alley Oop Layup,46,30,2005,LAYUPS
10,Driving Dunk,158,154,2005,DUNKS
11,Driving Hook Shot,6,4,2005,POST_MOVES
12,Driving Layup,1358,1036,2005,LAYUPS
13,Finger Roll,158,122,2005,LAYUPS
14,Hook Shot,704,332,2005,POST_MOVES
15,Reverse Dunk,32,30,2005,DUNKS
16,Reverse Layup,306,208,2005,LAYUPS
