PLAYER_NAME,PLAYER_ID,SIMILAR_1_NAME,SIMILAR_1_ID,SIMILAR_1_DISTANCE,SIMILAR_2_NAME,SIMILAR_2_ID,SIMILAR_2_DISTANCE,SIMILAR_3_NAME,SIMILAR_3_ID,SIMILAR_3_DISTANCE,SIMILAR_4_NAME,SIMILAR_4_ID,SIMILAR_4_DISTANCE,SIMILAR_5_NAME,SIMILAR_5_ID,SIMILAR_5_DISTANCE
Terance Mann,1629611,Cody Martin,1628998,9.444727129198373,Peyton Watson,1631212,9.809052062612484,Caleb Martin,1628997,10.044414463884213,Javonte Green,1629750,10.803449861909833,Kris Murray,1631200,10.996966781824128
Terry Rozier,1626179,Bilal Coulibaly,1641731,9.082455879043886,Brandon Boston,1630527,9.684483159821067,Keon Johnson,1630553,9.997156378632598,Shake Milton,1629003,10.133049426813717,Keldon Johnson,1629640,10.15788010961206
Thomas Bryant,1628418,Mo Bamba,1628964,13.232234915751542,DaQuan Jeffries,1629610,16.601993909587804,Justin Edwards,1642348,17.542535189394414,,,,,,
Tidjane Salaun,1642275,Tristan da Silva,1641783,9.796020670274348,Kyshawn George,1642273,10.073814043020844,Jalen Wilson,1630592,11.776325942609624,Matas Buzelis,1641824,12.014893453943488,Cody Williams,1642262,12.206570548878654
Tim Hardaway Jr.,203501,Amir Coffey,1629599,9.912501817241921,Jerami Grant,203924,10.179813293440299,Gary Trent Jr.,1629018,10.864097347692743,Eric Gordon,201569,11.230066638330534,Kentavious Caldwell-Pope,203484,11.337875517052916
Tobias Harris,202699,Jabari Smith Jr.,1631095,9.900900598446732,Dillon Brooks,1628415,10.288766316921592,Jrue Holiday,201950,10.346977588455633,Harrison Barnes,203084,10.954414651541502,Jerami Grant,203924,11.47515318504303
Tosan Evbuomwan,1641787,Bruce Brown,1628971,15.236794480826324,Keldon Johnson,1629640,15.57887978781375,Jordan Miller,1641757,15.681993170816392,Bilal Coulibaly,1641731,15.767183457592564,Ricky Council IV,1641741,16.066388185735793
Toumani Camara,1641739,Jaden McDaniels,1630183,9.490045502746451,Haywood Highsmith,1629312,10.135552713547183,Josh Green,1630182,10.506296146699032,Ochai Agbaji,1630534,10.670572183151057,Max Christie,1631108,11.013827676739322
Trae Young,1629027,Damian Lillard,203081,13.164522406235871,Cade Cunningham,1630595,13.603240057322504,Jalen Brunson,1628973,13.718353804608125,Darius Garland,1629636,14.08023344699533,Tyrese Maxey,1630178,14.186102302379684
Trayce Jackson-Davis,1631218,Clint Capela,203991,11.344474336191698,Onyeka Okongwu,1630168,11.604251917475231,Kevon Looney,1626172,13.247364955724725,Day'Ron Sharpe,1630549,15.401070613163586,Andre Drummond,203083,17.648938188330916
