GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,22500949,160,1643158,Andersson Garcia,1610612762,Utah Jazz,1,0,54,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,29,21,1,1,20260311,1,UTA,NYK
Shot Chart Detail,22500949,185,1643158,Andersson Garcia,1610612762,Utah Jazz,2,10,39,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,23,11,1,0,20260311,0,UTA,NYK
Shot Chart Detail,22500949,553,1643158,Andersson Garcia,1610612762,Utah Jazz,4,9,17,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,9,1,0,20260311,0,UTA,NYK
Shot Chart Detail,22500949,588,1643158,Andersson Garcia,1610612762,Utah Jazz,4,6,33,Made Shot,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,39,19,1,1,20260311,1,UTA,NYK
Shot Chart Detail,22500949,616,1643158,Andersson Garcia,1610612762,Utah Jazz,4,4,24,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,9,1,0,20260311,0,UTA,NYK
Shot Chart Detail,22500967,155,1643158,Andersson Garcia,1610612762,Utah Jazz,1,2,44,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,28,34,1,1,20260313,0,POR,UTA
Shot Chart Detail,22500967,270,1643158,Andersson Garcia,1610612762,Utah Jazz,2,4,56,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-69,258,1,0,20260313,0,POR,UTA
Shot Chart Detail,22500967,551,1643158,Andersson Garcia,1610612762,Utah Jazz,4,10,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-92,230,1,0,20260313,0,POR,UTA
Shot Chart Detail,22500967,576,1643158,Andersson Garcia,1610612762,Utah Jazz,4,8,41,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,16,16,1,0,20260313,0,POR,UTA
Shot Chart Detail,22500967,585,1643158,Andersson Garcia,1610612762,Utah Jazz,4,8,16,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,8,1,1,20260313,0,POR,UTA
Shot Chart Detail,22500967,609,1643158,Andersson Garcia,1610612762,Utah Jazz,4,6,23,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-94,222,1,0,20260313,0,POR,UTA
