GRID_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,FGA,FGM,FG_PCT
League Averages,Above the Break 3,Back Court(BC),Back Court Shot,2,0,0.0
League Averages,Above the Break 3,Center(C),24+ ft.,984,372,0.378
League Averages,Above the Break 3,Left Side Center(LC),24+ ft.,1413,477,0.338
League Averages,Above the Break 3,Right Side Center(RC),24+ ft.,1384,492,0.355
League Averages,Backcourt,Back Court(BC),Back Court Shot,44,2,0.045
League Averages,In The Paint (Non-RA),Center(C),8-16 ft.,840,384,0.457
League Averages,In The Paint (Non-RA),Center(C),Less Than 8 ft.,1386,588,0.424
League Averages,In The Paint (Non-RA),Left Side(L),8-16 ft.,153,64,0.418
League Averages,In The Paint (Non-RA),Right Side(R),8-16 ft.,180,81,0.45
League Averages,Left Corner 3,Left Side(L),24+ ft.,687,242,0.352
League Averages,Mid-Range,Center(C),16-24 ft.,232,108,0.466
League Averages,Mid-Range,Center(C),8-16 ft.,155,71,0.458
League Averages,Mid-Range,Left Side Center(LC),16-24 ft.,208,78,0.375
League Averages,Mid-Range,Left Side(L),16-24 ft.,69,28,0.406
League Averages,Mid-Range,Left Side(L),8-16 ft.,369,172,0.466
League Averages,Mid-Range,Right Side Center(RC),16-24 ft.,235,108,0.46
League Averages,Mid-Range,Right Side(R),16-24 ft.,72,34,0.472
League Averages,Mid-Range,Right Side(R),8-16 ft.,330,147,0.445
League Averages,Restricted Area,Center(C),Less Than 8 ft.,3755,2409,0.642
League Averages,Right Corner 3,Right Side(R),24+ ft.,672,242,0.36
