GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,PLAYERS_ON
Shot Chart Detail,40100151,3,120,Steven Smith,1610612759,San Antonio Spurs,1,11,19,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,11,4,1,1,20020420,SAS,SEA,401001513,|120|1477|1495|2225|764
Shot Chart Detail,40100151,5,120,Steven Smith,1610612759,San Antonio Spurs,1,10,36,Made Shot,Jump Shot,,In The Paint (Non-RA),Center(C),8-16 ft.,10,-1,108,1,1,20020420,SAS,SEA,401001515,|120|1477|1495|2225|764
Shot Chart Detail,40100151,9,120,Steven Smith,1610612759,San Antonio Spurs,1,10,0,Made Shot,Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,70,26,1,1,20020420,SAS,SEA,401001519,|120|1477|1495|2225|764
Shot Chart Detail,40100151,13,120,Steven Smith,1610612759,San Antonio Spurs,1,9,30,Made Shot,Jump Shot,,Mid-Range,Left Side(L),8-16 ft.,14,-147,15,1,1,20020420,SAS,SEA,4010015113,|120|1477|1495|2225|764
Shot Chart Detail,40100151,17,120,Steven Smith,1610612759,San Antonio Spurs,1,8,43,Missed Shot,Fadeaway Jump Shot,,In The Paint (Non-RA),Right Side(R),8-16 ft.,14,77,125,1,0,20020420,SAS,SEA,4010015117,|120|1477|1495|2225|764
Shot Chart Detail,40100151,25,120,Steven Smith,1610612759,San Antonio Spurs,1,8,21,Missed Shot,Running Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,56,53,1,0,20020420,SAS,SEA,4010015125,|120|1477|1495|2225|764
Shot Chart Detail,40100151,29,120,Steven Smith,1610612759,San Antonio Spurs,1,7,53,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-23,241,1,1,20020420,SAS,SEA,4010015129,|120|1477|1495|2225|764
Shot Chart Detail,40100151,32,120,Steven Smith,1610612759,San Antonio Spurs,1,7,24,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-10,9,1,1,20020420,SAS,SEA,4010015132,|120|1477|1495|2225|764
Shot Chart Detail,40100151,38,120,Steven Smith,1610612759,San Antonio Spurs,1,6,27,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,148,213,1,0,20020420,SAS,SEA,4010015138,|120|1477|1495|2225|764
Shot Chart Detail,40100151,40,120,Steven Smith,1610612759,San Antonio Spurs,1,6,9,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,228,4,1,0,20020420,SAS,SEA,4010015140,|120|1477|1495|2225|764
Shot Chart Detail,40100151,44,120,Steven Smith,1610612759,San Antonio Spurs,1,5,46,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,-1,0,1,1,20020420,SAS,SEA,4010015144,|120|1477|1495|2225|764
Shot Chart Detail,40100151,58,120,Steven Smith,1610612759,San Antonio Spurs,1,4,5,Made Shot,Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,-1,4,1,1,20020420,SAS,SEA,4010015158,|120|1495|1498|2225|990
Shot Chart Detail,40100151,64,120,Steven Smith,1610612759,San Antonio Spurs,1,3,27,Missed Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-1,70,1,0,20020420,SAS,SEA,4010015164,|120|1495|1498|345|990
Shot Chart Detail,40100151,70,120,Steven Smith,1610612759,San Antonio Spurs,1,2,56,Missed Shot,Jump Shot,,Mid-Range,Right Side(R),16-24 ft.,16,169,0,1,0,20020420,SAS,SEA,4010015170,|120|1495|1498|345|990
Shot Chart Detail,40100151,78,120,Steven Smith,1610612759,San Antonio Spurs,1,2,4,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,24,-153,190,1,0,20020420,SAS,SEA,4010015178,|120|1495|1498|345|990
Shot Chart Detail,40100151,156,120,Steven Smith,1610612759,San Antonio Spurs,2,5,31,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-168,9,1,1,20020420,SAS,SEA,40100151156,|120|1495|198|2225|990
