GRID_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,FGA,FGM,FG_PCT
League Averages,Above the Break 3,Back Court(BC),Back Court Shot,14,2,0.143
League Averages,Above the Break 3,Center(C),24+ ft.,6580,2354,0.358
League Averages,Above the Break 3,Left Side Center(LC),24+ ft.,10235,3653,0.357
League Averages,Above the Break 3,Right Side Center(RC),24+ ft.,9545,3449,0.361
League Averages,Backcourt,Back Court(BC),Back Court Shot,187,2,0.011
League Averages,In The Paint (Non-RA),Center(C),8-16 ft.,5004,2283,0.456
League Averages,In The Paint (Non-RA),Center(C),Less Than 8 ft.,10694,4677,0.437
League Averages,In The Paint (Non-RA),Left Side(L),8-16 ft.,930,406,0.437
League Averages,In The Paint (Non-RA),Right Side(R),8-16 ft.,1063,446,0.42
League Averages,Left Corner 3,Left Side(L),24+ ft.,4620,1818,0.394
League Averages,Mid-Range,Center(C),16-24 ft.,1449,626,0.432
League Averages,Mid-Range,Center(C),8-16 ft.,891,417,0.468
League Averages,Mid-Range,Left Side Center(LC),16-24 ft.,1310,518,0.395
League Averages,Mid-Range,Left Side(L),16-24 ft.,524,198,0.378
League Averages,Mid-Range,Left Side(L),8-16 ft.,2017,817,0.405
League Averages,Mid-Range,Right Side Center(RC),16-24 ft.,1524,602,0.395
League Averages,Mid-Range,Right Side(R),16-24 ft.,530,220,0.415
League Averages,Mid-Range,Right Side(R),8-16 ft.,2168,929,0.429
League Averages,Restricted Area,Center(C),Less Than 8 ft.,26858,17690,0.659
League Averages,Right Corner 3,Right Side(R),24+ ft.,4277,1683,0.394
