GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,40900131,138,2748,Dorell Wright,1610612748,Miami Heat,2,10,0,Missed Shot,Jump Shot,,Mid-Range,Left Side(L),16-24 ft.,19,-172,102,1,0,20100417,0,BOS,MIA
Shot Chart Detail,40900131,178,2748,Dorell Wright,1610612748,Miami Heat,2,5,54,Missed Shot,Jump Shot,,Mid-Range,Left Side Center(LC),16-24 ft.,22,-90,201,1,0,20100417,0,BOS,MIA
Shot Chart Detail,40900131,213,2748,Dorell Wright,1610612748,Miami Heat,2,2,12,Missed Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,23,-232,23,1,0,20100417,0,BOS,MIA
Shot Chart Detail,40900131,226,2748,Dorell Wright,1610612748,Miami Heat,2,0,18,Missed Shot,Jump Shot,,Mid-Range,Left Side Center(LC),16-24 ft.,20,-146,142,1,0,20100417,0,BOS,MIA
Shot Chart Detail,40900131,330,2748,Dorell Wright,1610612748,Miami Heat,3,0,26,Missed Shot,Jump Shot,,Mid-Range,Right Side(R),16-24 ft.,18,187,1,1,0,20100417,0,BOS,MIA
Shot Chart Detail,40900131,342,2748,Dorell Wright,1610612748,Miami Heat,4,11,17,Made Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,4,15,1,1,20100417,1,BOS,MIA
Shot Chart Detail,40900131,483,2748,Dorell Wright,1610612748,Miami Heat,4,0,31,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,27,196,186,1,0,20100417,0,BOS,MIA
Shot Chart Detail,40900132,154,2748,Dorell Wright,1610612748,Miami Heat,2,7,42,Missed Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,23,-229,31,1,0,20100420,0,BOS,MIA
Shot Chart Detail,40900132,352,2748,Dorell Wright,1610612748,Miami Heat,3,0,16,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,15,-19,1,0,20100420,0,BOS,MIA
Shot Chart Detail,40900132,421,2748,Dorell Wright,1610612748,Miami Heat,4,7,23,Made Shot,Jump Shot,,Mid-Range,Right Side Center(RC),16-24 ft.,16,53,160,1,1,20100420,0,BOS,MIA
Shot Chart Detail,40900133,65,2748,Dorell Wright,1610612748,Miami Heat,1,4,48,Made Shot,Jump Bank Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-15,9,1,1,20100423,0,MIA,BOS
Shot Chart Detail,40900133,114,2748,Dorell Wright,1610612748,Miami Heat,1,0,28,Made Shot,Reverse Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20100423,1,MIA,BOS
Shot Chart Detail,40900133,256,2748,Dorell Wright,1610612748,Miami Heat,2,0,35,Made Shot,Jump Shot,,Right Corner 3,Right Side(R),24+ ft.,23,233,20,1,1,20100423,1,MIA,BOS
