GRID_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,FGA,FGM,FG_PCT
League Averages,Above the Break 3,Back Court(BC),Back Court Shot,111,5,0.045
League Averages,Above the Break 3,Center(C),24+ ft.,5355,1865,0.348
League Averages,Above the Break 3,Left Side Center(LC),24+ ft.,9882,3416,0.346
League Averages,Above the Break 3,Right Side Center(RC),24+ ft.,9876,3465,0.351
League Averages,Backcourt,Back Court(BC),Back Court Shot,347,6,0.017
League Averages,In The Paint (Non-RA),Center(C),8-16 ft.,5847,2317,0.396
League Averages,In The Paint (Non-RA),Center(C),Less Than 8 ft.,18195,7023,0.386
League Averages,In The Paint (Non-RA),Left Side(L),8-16 ft.,2245,898,0.4
League Averages,In The Paint (Non-RA),Right Side(R),8-16 ft.,2106,806,0.383
League Averages,Left Corner 3,Left Side(L),24+ ft.,4716,1725,0.366
League Averages,Mid-Range,Center(C),16-24 ft.,6243,2459,0.394
League Averages,Mid-Range,Center(C),8-16 ft.,1977,843,0.426
League Averages,Mid-Range,Left Side Center(LC),16-24 ft.,8973,3467,0.386
League Averages,Mid-Range,Left Side(L),16-24 ft.,10655,4147,0.389
League Averages,Mid-Range,Left Side(L),8-16 ft.,12525,4796,0.383
League Averages,Mid-Range,Right Side Center(RC),16-24 ft.,9880,3878,0.393
League Averages,Mid-Range,Right Side(R),16-24 ft.,9678,3744,0.387
League Averages,Mid-Range,Right Side(R),8-16 ft.,11027,4121,0.374
League Averages,Restricted Area,Center(C),Less Than 8 ft.,57911,34267,0.592
League Averages,Right Corner 3,Right Side(R),24+ ft.,4560,1689,0.37
