PLAYER_ID,PLAYER_NAME,SHOT_ID,GRID_TYPE,GAME_ID,GAME_EVENT_ID,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,PLAYERS_ON
1508,Maurice Taylor,299000128,Shot Chart Detail,29900012,8,1610612746,Los Angeles Clippers,1,11,20,Made Shot,Jump Shot,,Mid-Range,Right Side(R),8-16 ft.,15,121,96,1,1,19991102,LAC,SEA,|1507|1508|1709|1885|785
1508,Maurice Taylor,2990001211,Shot Chart Detail,29900012,11,1610612746,Los Angeles Clippers,1,10,48,Missed Shot,Jump Shot,,Mid-Range,Left Side(L),16-24 ft.,17,-171,-10,1,0,19991102,LAC,SEA,|1507|1508|1709|1885|785
1508,Maurice Taylor,2990001214,Shot Chart Detail,29900012,14,1610612746,Los Angeles Clippers,1,10,41,Made Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19991102,LAC,SEA,|1507|1508|1709|1885|785
785,Eric Murdock,2990001220,Shot Chart Detail,29900012,20,1610612746,Los Angeles Clippers,1,10,8,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,14,12,1,0,19991102,LAC,SEA,|1507|1508|1709|1885|785
1885,Lamar Odom,2990001222,Shot Chart Detail,29900012,22,1610612746,Los Angeles Clippers,1,10,0,Made Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19991102,LAC,SEA,|1507|1508|1709|1885|785
1885,Lamar Odom,2990001224,Shot Chart Detail,29900012,24,1610612746,Los Angeles Clippers,1,9,40,Missed Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,19991102,LAC,SEA,|1507|1508|1709|1885|785
1507,Derek Anderson,2990001226,Shot Chart Detail,29900012,26,1610612746,Los Angeles Clippers,1,9,36,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,19991102,LAC,SEA,|1507|1508|1709|1885|785
1507,Derek Anderson,2990001233,Shot Chart Detail,29900012,33,1610612746,Los Angeles Clippers,1,9,13,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,19991102,LAC,SEA,|1507|1508|1709|1885|785
1709,Michael Olowokandi,2990001237,Shot Chart Detail,29900012,37,1610612746,Los Angeles Clippers,1,8,48,Made Shot,Jump Shot,,Mid-Range,Right Side(R),8-16 ft.,11,100,57,1,1,19991102,LAC,SEA,|1507|1508|1709|1885|785
1507,Derek Anderson,2990001239,Shot Chart Detail,29900012,39,1610612746,Los Angeles Clippers,1,8,15,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,8,85,23,1,0,19991102,LAC,SEA,|1507|1508|1709|1885|785
1508,Maurice Taylor,2990001245,Shot Chart Detail,29900012,45,1610612746,Los Angeles Clippers,1,7,42,Missed Shot,Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-42,-10,1,0,19991102,LAC,SEA,|1507|1508|1709|1885|785
1885,Lamar Odom,2990001257,Shot Chart Detail,29900012,57,1610612746,Los Angeles Clippers,1,6,37,Missed Shot,Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-63,-3,1,0,19991102,LAC,SEA,|1507|1508|1709|1885|785
1508,Maurice Taylor,2990001263,Shot Chart Detail,29900012,63,1610612746,Los Angeles Clippers,1,6,16,Missed Shot,Jump Shot,,Mid-Range,Left Side(L),8-16 ft.,14,-143,-25,1,0,19991102,LAC,SEA,|1507|1508|1709|1885|785
1885,Lamar Odom,2990001267,Shot Chart Detail,29900012,67,1610612746,Los Angeles Clippers,1,5,51,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,25,136,214,1,0,19991102,LAC,SEA,|1507|1508|1709|1885|785
1507,Derek Anderson,2990001270,Shot Chart Detail,29900012,70,1610612746,Los Angeles Clippers,1,5,22,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19991102,LAC,SEA,|1507|1508|1709|1885|785
1508,Maurice Taylor,2990001277,Shot Chart Detail,29900012,77,1610612746,Los Angeles Clippers,1,4,22,Missed Shot,Jump Shot,,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,78,57,1,0,19991102,LAC,SEA,|1507|1508|1607|1709|1838
1838,Tyrone Nesby,2990001284,Shot Chart Detail,29900012,84,1610612746,Los Angeles Clippers,1,4,1,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,26,-186,186,1,0,19991102,LAC,SEA,|1507|1508|1607|1709|1838
1838,Tyrone Nesby,2990001286,Shot Chart Detail,29900012,86,1610612746,Los Angeles Clippers,1,3,58,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19991102,LAC,SEA,|1507|1508|1607|1709|1838
1709,Michael Olowokandi,2990001288,Shot Chart Detail,29900012,88,1610612746,Los Angeles Clippers,1,3,26,Missed Shot,Jump Shot,,Mid-Range,Left Side(L),8-16 ft.,9,-98,1,1,0,19991102,LAC,SEA,|1507|1508|1607|1709|1838
1838,Tyrone Nesby,2990001292,Shot Chart Detail,29900012,92,1610612746,Los Angeles Clippers,1,3,9,Missed Shot,Jump Shot,,Mid-Range,Right Side(R),16-24 ft.,22,216,68,1,0,19991102,LAC,SEA,|1507|1508|1607|1709|1838
1507,Derek Anderson,29900012102,Shot Chart Detail,29900012,102,1610612746,Los Angeles Clippers,1,2,45,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-119,106,1,0,19991102,LAC,SEA,|1507|1607|1709|1730|1838
