GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,22400065,632,1641724,Jett Howard,1610612753,Orlando Magic,4,5,2,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,91,-21,1,0,20241023,MIA,ORL
Shot Chart Detail,22400065,647,1641724,Jett Howard,1610612753,Orlando Magic,4,3,54,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-229,100,1,0,20241023,MIA,ORL
Shot Chart Detail,22400065,653,1641724,Jett Howard,1610612753,Orlando Magic,4,3,15,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-228,-11,1,0,20241023,MIA,ORL
Shot Chart Detail,22400077,686,1641724,Jett Howard,1610612753,Orlando Magic,4,1,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,225,91,1,1,20241025,ORL,BKN
Shot Chart Detail,22400092,257,1641724,Jett Howard,1610612753,Orlando Magic,2,8,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,98,230,1,0,20241026,MEM,ORL
Shot Chart Detail,22400092,686,1641724,Jett Howard,1610612753,Orlando Magic,4,4,38,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-104,125,1,1,20241026,MEM,ORL
Shot Chart Detail,22400092,707,1641724,Jett Howard,1610612753,Orlando Magic,4,2,24,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,135,220,1,0,20241026,MEM,ORL
Shot Chart Detail,22400092,721,1641724,Jett Howard,1610612753,Orlando Magic,4,1,53,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,188,157,1,1,20241026,MEM,ORL
Shot Chart Detail,22400092,723,1641724,Jett Howard,1610612753,Orlando Magic,4,1,31,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-62,250,1,1,20241026,MEM,ORL
Shot Chart Detail,22400092,726,1641724,Jett Howard,1610612753,Orlando Magic,4,1,11,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-22,260,1,1,20241026,MEM,ORL
Shot Chart Detail,22400102,515,1641724,Jett Howard,1610612753,Orlando Magic,3,1,4,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-228,-8,1,0,20241028,ORL,IND
Shot Chart Detail,22400123,159,1641724,Jett Howard,1610612753,Orlando Magic,2,10,57,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,218,123,1,0,20241030,CHI,ORL
