GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,22400019,158,203937,Kyle Anderson,1610612744,Golden State Warriors,1,0,58,Made Shot,Cutting Dunk Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,39,46,1,1,20241115,GSW,MEM
Shot Chart Detail,22400019,161,203937,Kyle Anderson,1610612744,Golden State Warriors,1,0,40,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-196,157,1,0,20241115,GSW,MEM
Shot Chart Detail,22400019,186,203937,Kyle Anderson,1610612744,Golden State Warriors,2,11,49,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-223,5,1,1,20241115,GSW,MEM
Shot Chart Detail,22400019,599,203937,Kyle Anderson,1610612744,Golden State Warriors,3,0,26,Missed Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-51,16,1,0,20241115,GSW,MEM
Shot Chart Detail,22400019,654,203937,Kyle Anderson,1610612744,Golden State Warriors,4,9,57,Missed Shot,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,45,-3,1,0,20241115,GSW,MEM
Shot Chart Detail,22400019,658,203937,Kyle Anderson,1610612744,Golden State Warriors,4,9,54,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-229,12,1,1,20241115,GSW,MEM
Shot Chart Detail,22400019,709,203937,Kyle Anderson,1610612744,Golden State Warriors,4,6,51,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,42,122,1,0,20241115,GSW,MEM
Shot Chart Detail,22400032,180,203937,Kyle Anderson,1610612744,Golden State Warriors,2,11,4,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,5,25,1,1,20241122,NOP,GSW
Shot Chart Detail,22400058,136,203937,Kyle Anderson,1610612744,Golden State Warriors,1,2,59,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-31,101,1,1,20241203,DEN,GSW
Shot Chart Detail,22400058,294,203937,Kyle Anderson,1610612744,Golden State Warriors,2,4,1,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-20,101,1,0,20241203,DEN,GSW
Shot Chart Detail,22400058,305,203937,Kyle Anderson,1610612744,Golden State Warriors,2,3,30,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-9,88,1,0,20241203,DEN,GSW
Shot Chart Detail,22400058,594,203937,Kyle Anderson,1610612744,Golden State Warriors,4,9,37,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,0,1,1,20241203,DEN,GSW
Shot Chart Detail,22400072,537,203937,Kyle Anderson,1610612744,Golden State Warriors,3,1,52,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20241023,POR,GSW
Shot Chart Detail,22400072,686,203937,Kyle Anderson,1610612744,Golden State Warriors,4,5,10,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,154,221,1,0,20241023,POR,GSW
Shot Chart Detail,22400084,194,203937,Kyle Anderson,1610612744,Golden State Warriors,2,11,28,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,20,251,1,0,20241025,UTA,GSW
Shot Chart Detail,22400084,202,203937,Kyle Anderson,1610612744,Golden State Warriors,2,11,5,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20241025,UTA,GSW
Shot Chart Detail,22400084,247,203937,Kyle Anderson,1610612744,Golden State Warriors,2,7,41,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,8,82,20,1,1,20241025,UTA,GSW
Shot Chart Detail,22400084,262,203937,Kyle Anderson,1610612744,Golden State Warriors,2,6,42,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-20,251,1,0,20241025,UTA,GSW
Shot Chart Detail,22400084,571,203937,Kyle Anderson,1610612744,Golden State Warriors,4,11,25,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,234,29,1,0,20241025,UTA,GSW
Shot Chart Detail,22400084,637,203937,Kyle Anderson,1610612744,Golden State Warriors,4,7,44,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,9,88,1,1,20241025,UTA,GSW
Shot Chart Detail,22400084,640,203937,Kyle Anderson,1610612744,Golden State Warriors,4,7,10,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,26,250,1,1,20241025,UTA,GSW
Shot Chart Detail,22400116,132,203937,Kyle Anderson,1610612744,Golden State Warriors,1,1,12,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,227,35,1,0,20241029,GSW,NOP
Shot Chart Detail,22400116,153,203937,Kyle Anderson,1610612744,Golden State Warriors,1,0,0,Missed Shot,Jump Shot,3PT Field Goal,Backcourt,Back Court(BC),Back Court Shot,49,105,484,1,0,20241029,GSW,NOP
Shot Chart Detail,22400116,234,203937,Kyle Anderson,1610612744,Golden State Warriors,2,7,48,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,140,36,1,0,20241029,GSW,NOP
