Unnamed: 0,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,PLAYERS_ON
0,Shot Chart Detail,40000012,74,0,Opponent,1610612742,Dallas Mavericks,1,2,11,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20010424,UTA,DAL,4000001274,|137|1717|436|714|762
1,Shot Chart Detail,40000012,82,0,Opponent,1610612742,Dallas Mavericks,1,1,16,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20010424,UTA,DAL,4000001282,|137|1717|436|714|762
2,Shot Chart Detail,40000012,88,0,Opponent,1610612742,Dallas Mavericks,1,0,50,Missed Shot,Jump Shot,,Mid-Range,Left Side(L),16-24 ft.,19,-162,104,1,0,20010424,UTA,DAL,4000001288,|137|1717|436|714|762
3,Shot Chart Detail,40000012,89,0,Opponent,1610612742,Dallas Mavericks,1,0,48,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20010424,UTA,DAL,4000001289,|137|1717|436|714|762
4,Shot Chart Detail,40000012,91,0,Opponent,1610612742,Dallas Mavericks,1,0,47,Missed Shot,Tip Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20010424,UTA,DAL,4000001291,|137|1717|436|714|762
5,Shot Chart Detail,40000012,108,0,Opponent,1610612742,Dallas Mavericks,1,0,0,Made Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,28,127,251,1,1,20010424,UTA,DAL,40000012108,|137|1717|436|714|959
6,Shot Chart Detail,40000012,113,0,Opponent,1610612742,Dallas Mavericks,2,11,31,Missed Shot,Jump Shot,,Mid-Range,Right Side(R),8-16 ft.,10,83,61,1,0,20010424,UTA,DAL,40000012113,|137|1717|436|762|959
7,Shot Chart Detail,40000012,119,0,Opponent,1610612742,Dallas Mavericks,2,11,2,Missed Shot,Jump Shot,,In The Paint (Non-RA),Center(C),8-16 ft.,12,9,120,1,0,20010424,UTA,DAL,40000012119,|137|1717|436|762|959
8,Shot Chart Detail,40000012,125,0,Opponent,1610612742,Dallas Mavericks,2,10,22,Made Shot,Jump Shot,,Mid-Range,Left Side Center(LC),16-24 ft.,18,-126,137,1,1,20010424,UTA,DAL,40000012125,|137|1717|1916|436|959
9,Shot Chart Detail,40000012,137,0,Opponent,1610612742,Dallas Mavericks,2,9,43,Missed Shot,Jump Shot,,Mid-Range,Left Side(L),8-16 ft.,10,-94,38,1,0,20010424,UTA,DAL,40000012137,|137|1916|436|714|959
10,Shot Chart Detail,40000012,362,0,Opponent,1610612742,Dallas Mavericks,3,1,41,Made Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,22,-223,11,1,1,20010424,UTA,DAL,40000012362,|137|1717|1916|436|714
11,Shot Chart Detail,40000012,369,0,Opponent,1610612742,Dallas Mavericks,3,1,6,Made Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,24,203,133,1,1,20010424,UTA,DAL,40000012369,|137|1717|436|714|762
12,Shot Chart Detail,40000012,376,0,Opponent,1610612742,Dallas Mavericks,3,0,33,Missed Shot,Jump Shot,,Mid-Range,Center(C),8-16 ft.,14,1,144,1,0,20010424,UTA,DAL,40000012376,|137|436|714|762|959
13,Shot Chart Detail,40000028,399,0,Opponent,1610612742,Dallas Mavericks,4,6,2,Made Shot,Jump Shot,,Mid-Range,Left Side(L),8-16 ft.,9,-84,36,1,1,20010501,DAL,UTA,40000028399,|137|1916|2059|458|95
