GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,21001197,433,201607,Patrick Ewing,1610612740,New Orleans Hornets,4,5,29,Missed Shot,Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,59,33,1,0,20110410,0,MEM,NOH
Shot Chart Detail,21001197,458,201607,Patrick Ewing,1610612740,New Orleans Hornets,4,4,4,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,24,-191,157,1,0,20110410,0,MEM,NOH
Shot Chart Detail,21001197,482,201607,Patrick Ewing,1610612740,New Orleans Hornets,4,1,36,Missed Shot,Pullup Jump shot,,Mid-Range,Right Side(R),8-16 ft.,15,157,12,1,0,20110410,0,MEM,NOH
Shot Chart Detail,21001223,477,201607,Patrick Ewing,1610612740,New Orleans Hornets,4,3,27,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,24,-187,162,1,0,20110413,0,DAL,NOH
Shot Chart Detail,21001223,503,201607,Patrick Ewing,1610612740,New Orleans Hornets,4,0,46,Missed Shot,Jump Shot,,Mid-Range,Left Side Center(LC),16-24 ft.,19,-128,146,1,0,20110413,0,DAL,NOH
