PLAYER_NAME,PLAYER_ID,SIMILAR_1_NAME,SIMILAR_1_ID,SIMILAR_2_NAME,SIMILAR_2_ID,SIMILAR_3_NAME,SIMILAR_3_ID,SIMILAR_4_NAME,SIMILAR_4_ID,SIMILAR_5_NAME,SIMILAR_5_ID
AJ Green,0,Julian Champagnie,181,Isaiah Joe,121,Sam Hauser,291,Grayson Allen,113,Sam Merrill,292
Aaron Gordon,1,Tobias Harris,315,Harrison Barnes,115,Keldon Johnson,194,P.J. Washington,268,Michael Porter Jr.,239
Aaron Wiggins,2,Ochai Agbaji,265,Jaden McDaniels,130,Christian Braun,53,Derrick Jones Jr.,83,Peyton Watson,277
Ajay Mitchell,3,Shake Milton,300,Keaton Wallace,191,Quenton Jackson,280,Pelle Larsson,276,Ryan Rollins,290
Al Horford,4,Dean Wade,76,Nicolas Batum,257,Alec Burks,5,Micah Potter,238,Pat Connaughton,271
Alec Burks,5,Gary Harris,105,Nicolas Batum,257,Al Horford,4,Caleb Houstan,42,Pat Connaughton,271
Alex Caruso,6,Kris Dunn,208,Cason Wallace,50,Terance Mann,310,Cody Martin,56,Dyson Daniels,98
Alex Sarr,7,Kyle Filipowski,212,Jonathan Mogbo,170,Jalen Smith,138,Myles Turner,249,Nic Claxton,253
Alperen Sengun,8,Anthony Davis,17,Bam Adebayo,22,Domantas Sabonis,89,Evan Mobley,100,Karl-Anthony Towns,190
Amen Thompson,9,Josh Hart,178,Tari Eason,308,Ausar Thompson,19,KJ Martin,188,Brandon Clarke,32
Amir Coffey,10,Dillon Brooks,88,Tim Hardaway Jr.,314,Taurean Prince,309,Moses Moody,247,Luguentz Dort,223
Andre Drummond,11,Day'Ron Sharpe,72,Nick Richards,254,Yves Missi,339,Moussa Diabate,248,Rudy Gobert,286
Andre Jackson Jr.,12,Josh Green,177,Julian Phillips,182,Ben Sheppard,23,Jeremiah Robinson-Earl,159,Dalen Terry,63
Andrew Nembhard,13,Terry Rozier,311,Brandin Podziemski,30,Shake Milton,300,Jaime Jaquez Jr.,131,Brandon Boston,31
Andrew Wiggins,14,De'Andre Hunter,74,Bennedict Mathurin,25,Cameron Johnson,47,Shaedon Sharpe,298,Miles Bridges,242
Anfernee Simons,15,Keyonte George,205,Coby White,55,Austin Reaves,20,Dennis Schröder,81,Jamal Murray,143
Anthony Black,16,Stephon Castle,304,Davion Mitchell,71,Kevin Porter Jr.,203,Jamal Shead,144,Vasilije Micić,333
Anthony Davis,17,Alperen Sengun,8,Karl-Anthony Towns,190,Evan Mobley,100,Bam Adebayo,22,Domantas Sabonis,89
Anthony Edwards,18,Donovan Mitchell,91,Kyrie Irving,215,Jalen Green,136,De'Aaron Fox,73,Tyrese Maxey,331
Ausar Thompson,19,Tari Eason,308,Amen Thompson,9,Gary Payton II,106,Brandon Clarke,32,KJ Martin,188
Austin Reaves,20,Malik Monk,229,Coby White,55,Keyonte George,205,Jamal Murray,143,Anfernee Simons,15
Ayo Dosunmu,21,Shake Milton,300,Terry Rozier,311,Bilal Coulibaly,26,Andrew Nembhard,13,Talen Horton-Tucker,307
Bam Adebayo,22,Alperen Sengun,8,Evan Mobley,100,Bobby Portis,27,Pascal Siakam,270,Anthony Davis,17
Ben Sheppard,23,Josh Green,177,Andre Jackson Jr.,12,Julian Phillips,182,Isaac Okoro,118,Javonte Green,151
Ben Simmons,24,Josh Giddey,176,Kyle Anderson,211,Tre Jones,320,Draymond Green,94,Scotty Pippen Jr.,296
Bennedict Mathurin,25,Shaedon Sharpe,298,Andrew Wiggins,14,De'Andre Hunter,74,Bradley Beal,29,Miles Bridges,242
Bilal Coulibaly,26,Jaime Jaquez Jr.,131,Terry Rozier,311,Ricky Council IV,282,Brandon Boston,31,Keon Johnson,200
Bobby Portis,27,Pascal Siakam,270,John Collins,164,Bam Adebayo,22,Evan Mobley,100,Karl-Anthony Towns,190
Bogdan Bogdanović,28,Nick Smith Jr.,255,Patty Mills,273,Svi Mykhailiuk,305,Marcus Smart,231,,
Bradley Beal,29,Devin Vassell,87,CJ McCollum,40,Shaedon Sharpe,298,Jaden Ivey,129,Brandon Miller,34
Brandin Podziemski,30,Andrew Nembhard,13,Shake Milton,300,Terry Rozier,311,Brandon Boston,31,Jaime Jaquez Jr.,131
Brandon Boston,31,Terry Rozier,311,Bilal Coulibaly,26,Shake Milton,300,Ricky Council IV,282,Keon Johnson,200
Brandon Clarke,32,KJ Martin,188,Gary Payton II,106,Amen Thompson,9,Tari Eason,308,Ausar Thompson,19
Brandon Ingram,33,Cam Thomas,45,Jordan Clarkson,171,Paolo Banchero,269,Tre Mann,321,Luka Dončić,224
Brandon Miller,34,Devin Vassell,87,Miles Bridges,242,Shaedon Sharpe,298,Trey Murphy III,325,CJ McCollum,40
Brice Sensabaugh,35,Quentin Grimes,279,Moses Moody,247,Corey Kispert,60,Julian Strawther,183,Julian Champagnie,181
Brook Lopez,36,Myles Turner,249,Guerschon Yabusele,114,Wendell Carter Jr.,337,Daniel Theis,67,Isaiah Stewart,122
Bruce Brown,37,Kyle Kuzma,213,Tosan Evbuomwan,316,Trendon Watford,322,Malcolm Brogdon,227,,
Bub Carrington,38,Jamal Shead,144,Davion Mitchell,71,Stephon Castle,304,Isaiah Collier,119,Monté Morris,245
Buddy Hield,39,Duncan Robinson,97,Julian Champagnie,181,Kevin Huerter,202,Moses Moody,247,Julian Strawther,183
CJ McCollum,40,Bradley Beal,29,Shaedon Sharpe,298,Devin Vassell,87,Brandon Miller,34,Jaden Ivey,129
Cade Cunningham,41,De'Aaron Fox,73,LaMelo Ball,217,Trae Young,318,Tyrese Maxey,331,Jalen Brunson,134
Caleb Houstan,42,Gary Harris,105,Nicolas Batum,257,Alec Burks,5,Micah Potter,238,Pat Connaughton,271
Caleb Martin,43,Cody Martin,56,Nikola Jović,259,Terance Mann,310,Nickeil Alexander-Walker,256,Miles McBride,243
Cam Reddish,44,Josh Green,177,Javonte Green,151,Kris Murray,209,Julian Phillips,182,Jamal Cain,142
Cam Thomas,45,Jordan Clarkson,171,Brandon Ingram,33,Tre Mann,321,Paolo Banchero,269,Luka Dončić,224
Cam Whitmore,46,Devin Vassell,87,Miles Bridges,242,De'Andre Hunter,74,Shaedon Sharpe,298,Bennedict Mathurin,25
Cameron Johnson,47,Trey Murphy III,325,De'Andre Hunter,74,Andrew Wiggins,14,Lauri Markkanen,219,Devin Vassell,87
Cameron Payne,48,Jose Alvarado,175,Fred VanVleet,102,Marcus Sasser,230,Tyrese Haliburton,329,Payton Pritchard,275
Caris LeVert,49,Miles McBride,243,Jrue Holiday,180,Nickeil Alexander-Walker,256,Nikola Jović,259,Terance Mann,310
Cason Wallace,50,Kris Dunn,208,Cody Martin,56,Terance Mann,310,Jrue Holiday,180,Dyson Daniels,98
Chris Boucher,51,Naz Reid,251,Obi Toppin,264,Keldon Johnson,194,Rui Hachimura,287,Derrick Jones Jr.,83
Chris Paul,52,Fred VanVleet,102,Tyrese Haliburton,329,Tyus Jones,332,Derrick White,84,Marcus Sasser,230
Christian Braun,53,Peyton Watson,277,Ochai Agbaji,265,Derrick Jones Jr.,83,Aaron Wiggins,2,OG Anunoby,263
Clint Capela,54,Onyeka Okongwu,266,Jakob Poeltl,133,Trayce Jackson-Davis,319,Goga Bitadze,110,Dereck Lively II,82
Coby White,55,Malik Monk,229,Austin Reaves,20,Keyonte George,205,Anfernee Simons,15,Jamal Murray,143
Cody Martin,56,Caleb Martin,43,Terance Mann,310,Nikola Jović,259,Kris Dunn,208,Cason Wallace,50
Cody Williams,57,Kyshawn George,216,Tidjane Salaun,313,Ja'Kobe Walter,126,Matas Buzelis,234,Zaccharie Risacher,340
Cole Anthony,58,Jalen Suggs,139,Scoot Henderson,294,Dalano Banton,62,Malik Monk,229,Dejounte Murray,78
Collin Sexton,59,De'Aaron Fox,73,Jordan Poole,174,Devin Booker,86,Kyrie Irving,215,Jalen Green,136
Corey Kispert,60,Gradey Dick,111,Julian Strawther,183,Jalen Wilson,141,Simone Fontecchio,301,Duncan Robinson,97
D'Angelo Russell,61,Malik Monk,229,Austin Reaves,20,Keyonte George,205,Jamal Murray,143,Coby White,55
Dalano Banton,62,Cole Anthony,58,Malik Monk,229,Jalen Suggs,139,Scoot Henderson,294,Coby White,55
Dalen Terry,63,Julian Phillips,182,Herbert Jones,117,Josh Green,177,Toumani Camara,317,Andre Jackson Jr.,12
Dalton Knecht,64,Jaylen Wells,155,Tristan da Silva,326,Jamison Battle,146,Tyrese Martin,330,Ryan Dunn,289
Damian Lillard,65,Darius Garland,69,De'Aaron Fox,73,Jalen Brunson,134,Stephen Curry,303,Trae Young,318
Daniel Gafford,66,Jalen Duren,135,Dereck Lively II,82,Jakob Poeltl,133,Jarrett Allen,150,Onyeka Okongwu,266
Daniel Theis,67,Wendell Carter Jr.,337,Isaiah Stewart,122,Precious Achiuwa,278,Nic Claxton,253,Jalen Smith,138
Dario Šarić,68,Zach Collins,341,Jusuf Nurkić,187,Kelly Olynyk,195,,,,
Darius Garland,69,Tyler Herro,328,Donovan Mitchell,91,De'Aaron Fox,73,Stephen Curry,303,Damian Lillard,65
David Roddy,70,Pat Connaughton,271,John Konchar,165,Max Strus,236,Dean Wade,76,Alec Burks,5
Davion Mitchell,71,Jamal Shead,144,Anthony Black,16,Bub Carrington,38,Monté Morris,245,Stephon Castle,304
Day'Ron Sharpe,72,Andre Drummond,11,Zach Edey,342,Nick Richards,254,Yves Missi,339,Donovan Clingan,90
De'Aaron Fox,73,Tyrese Maxey,331,Collin Sexton,59,Donovan Mitchell,91,Jalen Green,136,Anthony Edwards,18
De'Andre Hunter,74,Trey Murphy III,325,Lauri Markkanen,219,Cameron Johnson,47,Andrew Wiggins,14,Bennedict Mathurin,25
DeMar DeRozan,75,Jaylen Brown,154,Kevin Durant,201,Julius Randle,184,Jalen Williams,140,Scottie Barnes,295
Dean Wade,76,Al Horford,4,Nicolas Batum,257,John Konchar,165,Pat Connaughton,271,David Roddy,70
Deandre Ayton,77,Nic Claxton,253,Precious Achiuwa,278,Kel'el Ware,193,Daniel Theis,67,Myles Turner,249
Dejounte Murray,78,Cole Anthony,58,Scoot Henderson,294,Dalano Banton,62,Keyonte George,205,Jamal Murray,143
Delon Wright,79,Kris Dunn,208,Kyle Lowry,214,Caleb Martin,43,Mike Conley,241,Vít Krejčí,335
