shot_type,count,year
Jump Shot,222208,1997
Layup Shot,86012,1997
Driving Layup Shot,23824,1997
Hook Shot,11882,1997
Slam Dunk Shot,8028,1997
Dunk Shot,7982,1997
Tip Shot,7834,1997
Running Jump Shot,7326,1997
Driving Dunk Shot,2082,1997
Jump Shot,238338,1998
Layup Shot,63458,1998
Driving Layup Shot,26492,1998
Hook Shot,12246,1998
Dunk Shot,9596,1998
Tip Shot,9596,1998
Running Jump Shot,8844,1998
Slam Dunk Shot,8370,1998
Driving Dunk Shot,2080,1998
No Shot,52,1998
Jump Shot,146836,1999
Layup Shot,35260,1999
Driving Layup Shot,16220,1999
Hook Shot,7560,1999
Running Jump Shot,5590,1999
Tip Shot,5136,1999
Dunk Shot,4938,1999
Slam Dunk Shot,4236,1999
Driving Dunk Shot,974,1999
No Shot,4,1999
Jump Shot,256372,2000
Layup Shot,57662,2000
Driving Layup Shot,27412,2000
Hook Shot,12412,2000
Running Jump Shot,9816,2000
Dunk Shot,8896,2000
Tip Shot,8586,2000
Slam Dunk Shot,7356,2000
Driving Dunk Shot,1924,2000
No Shot,4,2000
Jump Shot,249732,2001
Layup Shot,55404,2001
Driving Layup Shot,19274,2001
Hook Shot,9752,2001
Running Jump Shot,9318,2001
Tip Shot,8096,2001
Dunk Shot,7962,2001
Slam Dunk Shot,5826,2001
Turnaround Jump Shot,5668,2001
Reverse Layup Shot,3334,2001
Driving Dunk Shot,1842,2001
Running Layup Shot,1376,2001
Alley Oop Dunk Shot,1320,2001
Turnaround Hook Shot,940,2001
Running Hook Shot,890,2001
Finger Roll Shot,642,2001
Driving Finger Roll Shot,526,2001
Alley Oop Layup shot,492,2001
Reverse Dunk Shot,316,2001
Running Dunk Shot,288,2001
Driving Hook Shot,210,2001
Running Finger Roll Shot,80,2001
Turnaround Finger Roll Shot,16,2001
Running Tip Shot,14,2001
No Shot,6,2001
Jump Shot,242812,2002
Layup Shot,58184,2002
Driving Layup Shot,18720,2002
Dunk Shot,8594,2002
Running Jump Shot,8580,2002
Tip Shot,8176,2002
Turnaround Jump Shot,7906,2002
Hook Shot,7776,2002
Slam Dunk Shot,5258,2002
Reverse Layup Shot,4384,2002
Fadeaway Jump Shot,4210,2002
Driving Dunk Shot,1924,2002
Jump Hook Shot,1664,2002
Alley Oop Dunk Shot,1490,2002
Running Hook Shot,1000,2002
Running Layup Shot,960,2002
Finger Roll Shot,920,2002
Turnaround Hook Shot,784,2002
Alley Oop Layup shot,780,2002
Follow Up Dunk Shot,742,2002
Driving Finger Roll Shot,672,2002
Reverse Dunk Shot,402,2002
Running Dunk Shot,236,2002
Driving Hook Shot,212,2002
Running Finger Roll Shot,84,2002
Turnaround Finger Roll Shot,26,2002
Running Tip Shot,6,2002
Jump Shot,237788,2003
Layup Shot,58776,2003
Driving Layup Shot,18166,2003
Running Jump Shot,9318,2003
Turnaround Jump Shot,9068,2003
Dunk Shot,7640,2003
Tip Shot,7594,2003
Hook Shot,7084,2003
Slam Dunk Shot,5210,2003
Fadeaway Jump Shot,4964,2003
Reverse Layup Shot,4764,2003
Jump Hook Shot,2100,2003
Driving Dunk Shot,1948,2003
Alley Oop Dunk Shot,1660,2003
Driving Finger Roll Shot,1134,2003
Running Layup Shot,1114,2003
Finger Roll Shot,1004,2003
Running Hook Shot,956,2003
Follow Up Dunk Shot,950,2003
Turnaround Hook Shot,884,2003
Alley Oop Layup shot,770,2003
Reverse Dunk Shot,420,2003
Driving Hook Shot,368,2003
Running Dunk Shot,264,2003
Running Finger Roll Shot,220,2003
Running Tip Shot,28,2003
Turnaround Finger Roll Shot,26,2003
Jump Shot,228472,2004
Layup Shot,61082,2004
Driving Layup Shot,18328,2004
