GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,21100018,6,2207,Joe Johnson,1610612737,Atlanta Hawks,1,10,58,Missed Shot,Jump Shot,,Right Corner 3,Right Side(R),24+ ft.,23,231,19,1,0,20111227,0,NJN,ATL
Shot Chart Detail,21100018,46,2207,Joe Johnson,1610612737,Atlanta Hawks,1,6,9,Missed Shot,Jump Shot,,Mid-Range,Center(C),16-24 ft.,20,2,203,1,0,20111227,0,NJN,ATL
Shot Chart Detail,21100018,96,2207,Joe Johnson,1610612737,Atlanta Hawks,1,1,32,Missed Shot,Jump Shot,,Mid-Range,Left Side(L),16-24 ft.,21,-201,85,1,0,20111227,0,NJN,ATL
Shot Chart Detail,21100018,193,2207,Joe Johnson,1610612737,Atlanta Hawks,2,5,55,Made Shot,Jump Shot,,Mid-Range,Left Side Center(LC),16-24 ft.,18,-95,157,1,1,20111227,1,NJN,ATL
Shot Chart Detail,21100018,212,2207,Joe Johnson,1610612737,Atlanta Hawks,2,3,46,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,3,-35,15,1,1,20111227,1,NJN,ATL
Shot Chart Detail,21100018,244,2207,Joe Johnson,1610612737,Atlanta Hawks,2,1,22,Missed Shot,Turnaround Jump Shot,,Mid-Range,Left Side(L),8-16 ft.,13,-131,3,1,0,20111227,0,NJN,ATL
Shot Chart Detail,21100018,258,2207,Joe Johnson,1610612737,Atlanta Hawks,2,0,32,Missed Shot,Jump Shot,,Mid-Range,Left Side(L),8-16 ft.,15,-149,48,1,0,20111227,0,NJN,ATL
Shot Chart Detail,21100018,317,2207,Joe Johnson,1610612737,Atlanta Hawks,3,7,27,Made Shot,Fadeaway Jump Shot,,Mid-Range,Center(C),16-24 ft.,20,4,200,1,1,20111227,0,NJN,ATL
Shot Chart Detail,21100018,326,2207,Joe Johnson,1610612737,Atlanta Hawks,3,6,10,Missed Shot,Running Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,37,67,1,0,20111227,0,NJN,ATL
Shot Chart Detail,21100018,337,2207,Joe Johnson,1610612737,Atlanta Hawks,3,5,21,Made Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,23,-232,-3,1,1,20111227,1,NJN,ATL
Shot Chart Detail,21100018,348,2207,Joe Johnson,1610612737,Atlanta Hawks,3,4,15,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,24,-226,102,1,0,20111227,0,NJN,ATL
Shot Chart Detail,21100025,17,2207,Joe Johnson,1610612737,Atlanta Hawks,1,9,59,Made Shot,Jump Shot,,Right Corner 3,Right Side(R),24+ ft.,23,226,66,1,1,20111228,1,ATL,WAS
Shot Chart Detail,21100025,25,2207,Joe Johnson,1610612737,Atlanta Hawks,1,9,35,Made Shot,Jump Shot,,Right Corner 3,Right Side(R),24+ ft.,23,230,17,1,1,20111228,1,ATL,WAS
Shot Chart Detail,21100025,56,2207,Joe Johnson,1610612737,Atlanta Hawks,1,6,41,Made Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,25,-147,209,1,1,20111228,1,ATL,WAS
Shot Chart Detail,21100025,61,2207,Joe Johnson,1610612737,Atlanta Hawks,1,6,3,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,27,-182,200,1,0,20111228,0,ATL,WAS
Shot Chart Detail,21100025,210,2207,Joe Johnson,1610612737,Atlanta Hawks,2,5,34,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,25,130,220,1,0,20111228,0,ATL,WAS
Shot Chart Detail,21100025,249,2207,Joe Johnson,1610612737,Atlanta Hawks,2,2,25,Made Shot,Running Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,13,77,1,1,20111228,0,ATL,WAS
Shot Chart Detail,21100025,255,2207,Joe Johnson,1610612737,Atlanta Hawks,2,1,51,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,25,-231,116,1,0,20111228,0,ATL,WAS
Shot Chart Detail,21100025,301,2207,Joe Johnson,1610612737,Atlanta Hawks,3,11,10,Missed Shot,Fadeaway Jump Shot,,Mid-Range,Center(C),16-24 ft.,18,7,184,1,0,20111228,0,ATL,WAS
Shot Chart Detail,21100025,318,2207,Joe Johnson,1610612737,Atlanta Hawks,3,9,35,Made Shot,Jump Shot,,Mid-Range,Right Side(R),16-24 ft.,17,173,12,1,1,20111228,1,ATL,WAS
Shot Chart Detail,21100025,324,2207,Joe Johnson,1610612737,Atlanta Hawks,3,8,22,Made Shot,Jump Shot,,Right Corner 3,Right Side(R),24+ ft.,23,233,47,1,1,20111228,1,ATL,WAS
Shot Chart Detail,21100025,334,2207,Joe Johnson,1610612737,Atlanta Hawks,3,7,14,Missed Shot,Jump Shot,,Mid-Range,Left Side(L),8-16 ft.,14,-82,121,1,0,20111228,0,ATL,WAS
Shot Chart Detail,21100025,373,2207,Joe Johnson,1610612737,Atlanta Hawks,3,3,33,Made Shot,Putback Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,12,4,1,1,20111228,0,ATL,WAS
Shot Chart Detail,21100025,482,2207,Joe Johnson,1610612737,Atlanta Hawks,4,7,19,Missed Shot,Fadeaway Jump Shot,,Mid-Range,Right Side(R),16-24 ft.,19,179,89,1,0,20111228,0,ATL,WAS
Shot Chart Detail,21100025,494,2207,Joe Johnson,1610612737,Atlanta Hawks,4,5,57,Missed Shot,Fadeaway Jump Shot,,Mid-Range,Right Side(R),16-24 ft.,19,159,112,1,0,20111228,0,ATL,WAS
Shot Chart Detail,21100025,503,2207,Joe Johnson,1610612737,Atlanta Hawks,4,5,8,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,24,-194,148,1,0,20111228,0,ATL,WAS
Shot Chart Detail,21100025,531,2207,Joe Johnson,1610612737,Atlanta Hawks,4,3,5,Missed Shot,Turnaround Fadeaway shot,,Mid-Range,Right Side Center(RC),16-24 ft.,16,124,108,1,0,20111228,0,ATL,WAS
Shot Chart Detail,21100042,2,2207,Joe Johnson,1610612737,Atlanta Hawks,1,11,45,Missed Shot,Turnaround Jump Shot,,Mid-Range,Left Side Center(LC),16-24 ft.,16,-108,119,1,0,20111230,0,ATL,NJN
Shot Chart Detail,21100042,11,2207,Joe Johnson,1610612737,Atlanta Hawks,1,10,16,Missed Shot,Tip Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,9,4,1,0,20111230,0,ATL,NJN
Shot Chart Detail,21100042,26,2207,Joe Johnson,1610612737,Atlanta Hawks,1,8,49,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,-26,7,1,0,20111230,0,ATL,NJN
Shot Chart Detail,21100042,28,2207,Joe Johnson,1610612737,Atlanta Hawks,1,8,46,Made Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,23,-229,45,1,1,20111230,1,ATL,NJN
Shot Chart Detail,21100042,49,2207,Joe Johnson,1610612737,Atlanta Hawks,1,6,53,Missed Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,22,-228,23,1,0,20111230,0,ATL,NJN
Shot Chart Detail,21100042,90,2207,Joe Johnson,1610612737,Atlanta Hawks,1,2,10,Made Shot,Turnaround Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-21,37,1,1,20111230,1,ATL,NJN
Shot Chart Detail,21100042,192,2207,Joe Johnson,1610612737,Atlanta Hawks,2,3,53,Missed Shot,Fadeaway Jump Shot,,Mid-Range,Right Side(R),16-24 ft.,19,166,110,1,0,20111230,0,ATL,NJN
Shot Chart Detail,21100042,259,2207,Joe Johnson,1610612737,Atlanta Hawks,3,11,19,Made Shot,Turnaround Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,17,66,1,1,20111230,1,ATL,NJN
Shot Chart Detail,21100042,320,2207,Joe Johnson,1610612737,Atlanta Hawks,3,5,29,Missed Shot,Jump Shot,,Mid-Range,Right Side(R),16-24 ft.,20,173,102,1,0,20111230,0,ATL,NJN
Shot Chart Detail,21100042,324,2207,Joe Johnson,1610612737,Atlanta Hawks,3,4,35,Made Shot,Turnaround Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,26,204,172,1,1,20111230,0,ATL,NJN
Shot Chart Detail,21100042,333,2207,Joe Johnson,1610612737,Atlanta Hawks,3,3,41,Made Shot,Running Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,17,1,1,1,20111230,1,ATL,NJN
Shot Chart Detail,21100042,460,2207,Joe Johnson,1610612737,Atlanta Hawks,4,5,19,Missed Shot,Jump Shot,,Right Corner 3,Right Side(R),24+ ft.,23,237,36,1,0,20111230,0,ATL,NJN
