GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021100032,367,200779,Steve Novak,1610612752,New York Knicks,3,2,15,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-234,0,1,1,20111228,GSW,NYK
Shot Chart Detail,0021100038,215,200779,Steve Novak,1610612752,New York Knicks,2,5,39,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-202,159,1,1,20111229,LAL,NYK
Shot Chart Detail,0021100038,427,200779,Steve Novak,1610612752,New York Knicks,3,0,38,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,185,190,1,0,20111229,LAL,NYK
Shot Chart Detail,0021100038,439,200779,Steve Novak,1610612752,New York Knicks,3,0,2,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,239,-3,1,1,20111229,LAL,NYK
Shot Chart Detail,0021100054,184,200779,Steve Novak,1610612752,New York Knicks,2,7,40,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,239,23,1,0,20111231,SAC,NYK
Shot Chart Detail,0021100054,595,200779,Steve Novak,1610612752,New York Knicks,4,1,2,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,198,1,1,1,20111231,SAC,NYK
Shot Chart Detail,0021100054,607,200779,Steve Novak,1610612752,New York Knicks,4,0,6,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,234,99,1,0,20111231,SAC,NYK
Shot Chart Detail,0021100069,109,200779,Steve Novak,1610612752,New York Knicks,1,0,46,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-226,115,1,1,20120102,NYK,TOR
Shot Chart Detail,0021100069,111,200779,Steve Novak,1610612752,New York Knicks,1,0,25,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-224,28,1,0,20120102,NYK,TOR
Shot Chart Detail,0021100069,250,200779,Steve Novak,1610612752,New York Knicks,2,1,24,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-172,187,1,0,20120102,NYK,TOR
Shot Chart Detail,0021100113,482,200779,Steve Novak,1610612752,New York Knicks,4,2,2,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,176,203,1,0,20120107,DET,NYK
Shot Chart Detail,0021100113,485,200779,Steve Novak,1610612752,New York Knicks,4,1,40,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-235,48,1,0,20120107,DET,NYK
Shot Chart Detail,0021100156,162,200779,Steve Novak,1610612752,New York Knicks,2,7,44,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-133,162,1,1,20120112,MEM,NYK
Shot Chart Detail,0021100156,439,200779,Steve Novak,1610612752,New York Knicks,4,5,40,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,152,217,1,0,20120112,MEM,NYK
