index,SHOT_ZONE_RANGE,SHOT_DISTANCE,FGA,FGM
1160,16-24 ft.,16,6838,2859
1161,16-24 ft.,17,8010,3261
1162,16-24 ft.,18,8447,3515
1163,16-24 ft.,19,8241,3362
1164,16-24 ft.,20,6565,2580
1165,16-24 ft.,21,4252,1683
1166,16-24 ft.,22,2227,903
1167,16-24 ft.,23,562,207
1168,24+ ft.,22,3798,1528
1169,24+ ft.,23,7487,2984
1170,24+ ft.,24,12474,4753
1171,24+ ft.,25,11792,4292
1172,24+ ft.,26,5127,1841
1173,24+ ft.,27,1819,599
1174,24+ ft.,28,685,205
1175,24+ ft.,29,243,60
1176,24+ ft.,30,80,15
1177,24+ ft.,31,37,5
1178,24+ ft.,32,48,7
1179,24+ ft.,33,19,2
1180,24+ ft.,34,21,1
1181,24+ ft.,35,35,0
1182,24+ ft.,36,35,1
1183,24+ ft.,37,22,4
1184,24+ ft.,38,34,1
1185,24+ ft.,39,41,1
1186,24+ ft.,40,39,1
1187,24+ ft.,41,22,0
1188,24+ ft.,42,25,4
1189,24+ ft.,43,24,1
1190,24+ ft.,44,8,0
1191,24+ ft.,45,2,1
1192,8-16 ft.,8,3946,1578
1193,8-16 ft.,9,3362,1247
1194,8-16 ft.,10,3165,1178
1195,8-16 ft.,11,3090,1202
1196,8-16 ft.,12,3119,1227
1197,8-16 ft.,13,3331,1320
1198,8-16 ft.,14,4165,1676
1199,8-16 ft.,15,5166,2100
1200,8-16 ft.,16,20,11
1201,Back Court Shot,39,3,0
1202,Back Court Shot,40,29,1
1203,Back Court Shot,41,26,2
1204,Back Court Shot,42,15,0
1205,Back Court Shot,43,16,1
1206,Back Court Shot,44,19,1
1207,Back Court Shot,45,23,1
1208,Back Court Shot,46,22,0
1209,Back Court Shot,47,20,1
1210,Back Court Shot,48,25,1
1211,Back Court Shot,49,28,1
1212,Back Court Shot,50,28,0
1213,Back Court Shot,51,12,0
1214,Back Court Shot,52,19,1
1215,Back Court Shot,53,18,0
1216,Back Court Shot,54,12,0
1217,Back Court Shot,55,24,0
1218,Back Court Shot,56,16,1
1219,Back Court Shot,57,14,0
1220,Back Court Shot,58,13,0
1221,Back Court Shot,59,14,0
1222,Back Court Shot,60,8,0
1223,Back Court Shot,61,17,1
1224,Back Court Shot,62,20,0
1225,Back Court Shot,63,5,0
1226,Back Court Shot,64,8,0
1227,Back Court Shot,65,9,1
1228,Back Court Shot,66,8,0
1229,Back Court Shot,67,8,0
1230,Back Court Shot,68,8,0
1231,Back Court Shot,69,10,0
1232,Back Court Shot,70,15,1
1233,Back Court Shot,71,7,0
1234,Back Court Shot,72,3,0
1235,Back Court Shot,73,6,0
1236,Back Court Shot,74,1,0
1237,Back Court Shot,77,1,0
1238,Back Court Shot,78,4,0
1239,Back Court Shot,79,3,0
1240,Back Court Shot,80,5,0
1241,Back Court Shot,81,5,0
1242,Back Court Shot,82,1,0
1243,Back Court Shot,83,4,0
1244,Back Court Shot,84,2,0
1245,Back Court Shot,86,1,0
1246,Back Court Shot,87,2,0
1247,Less Than 8 ft.,0,54195,32699
1248,Less Than 8 ft.,1,4878,3127
1249,Less Than 8 ft.,2,3520,1872
1250,Less Than 8 ft.,3,2559,1120
1251,Less Than 8 ft.,4,2930,1236
1252,Less Than 8 ft.,5,3599,1545
1253,Less Than 8 ft.,6,4081,1690
1254,Less Than 8 ft.,7,4250,1764
1255,Less Than 8 ft.,8,38,20
