PLAYER_NAME,Isolation_POSS_PCT,Isolation_EFG_PCT,Isolation_PTS,PRBallHandler_POSS_PCT,PRBallHandler_EFG_PCT,PRBallHandler_PTS,PRRollMan_POSS_PCT,PRRollMan_EFG_PCT,PRRollMan_PTS,Spotup_POSS_PCT,Spotup_EFG_PCT,Spotup_PTS,Postup_POSS_PCT,Postup_EFG_PCT,Postup_PTS,Transition_POSS_PCT,Transition_EFG_PCT,Transition_PTS,Handoff_POSS_PCT,Handoff_EFG_PCT,Handoff_PTS,Cut_POSS_PCT,Cut_EFG_PCT,Cut_PTS,OffScreen_POSS_PCT,OffScreen_EFG_PCT,OffScreen_PTS,Misc_POSS_PCT,Misc_EFG_PCT,Misc_PTS,SEASON,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11,PCA_12,PCA_13,PCA_14,PCA_15,PCA_16,PCA_17,PCA_18,PCA_19,PCA_20,PCA_21,PCA_22,PCA_23,PCA_24,PCA_25,Cluster
Aaron Brooks,0.11,0.379,32.0,0.441,0.5,144.0,0.0,0.0,0.0,0.188,0.531,73.0,0.0,0.0,0.0,0.102,0.4630000000000001,28.0,0.05,0.538,14.0,0.0,0.0,0.0,0.037,0.591,16.0,0.055,0.227,9.0,2016-17,-2.339554310702784,-2.013843534866817,1.9657698870589124,0.8426683179333464,-0.8548118493557243,1.2647788029105185,0.5861149151106969,-0.14221536740777377,0.8201993859288266,0.29646756118781303,0.5204528435408252,0.5604511109830267,0.2136979264117382,0.48328991887053263,0.7483787004177839,0.817544358475112,-0.20984767847882624,-0.4164415928716418,0.33412981480829684,0.12110210483614293,0.10013729410076781,-0.31589187756593173,-0.20038571672378355,-0.09257220600354482,-0.25354214003739467,8
Aaron Gordon,0.068,0.525,82.0,0.111,0.384,87.0,0.045,0.585,55.0,0.222,0.4,183.0,0.074,0.406,62.0,0.199,0.565,215.0,0.049,0.3929999999999999,40.0,0.075,0.879,138.0,0.038,0.389,30.0,0.039,0.469,27.0,2016-17,-0.5793116956223843,2.2198188630203473,-0.5159871626213431,-0.163237545544703,0.9251783047455356,-0.8390740015603982,0.34466793763895076,1.4047354591500865,-0.34819092444116906,0.001204834266959249,0.4588709000084032,-0.8085312079251756,-0.17486601208263763,0.05313326634234076,0.3769178581613234,-0.5235744083910191,-0.27262765319362714,-0.472569006410015,0.3768883055439254,-0.43795592443372305,-0.9242826859714404,-0.0754815963703111,-0.04076173866012748,0.028358900881288653,0.03525461174673468,0
Al Horford,0.04,0.5,44.0,0.0,0.0,0.0,0.244,0.548,242.0,0.184,0.518,183.0,0.282,0.4819999999999999,255.0,0.05,0.721,54.0,0.0,0.0,0.0,0.067,0.596,74.0,0.035,0.468,30.0,0.052,0.667,26.0,2016-17,3.3746207492718026,3.728476790453141,-0.752272600183631,2.8632093871373496,-1.0670443120845665,1.0704526520748872,0.698009987625678,-0.8969201544370298,0.4552433618731906,-0.264320085736041,-0.1978896900324923,0.3357103559656512,-1.3282610509674733,-0.36796580004453566,0.000449743680811354,-0.7103199809132463,0.03838111319904318,-0.292603243002209,0.03419392934098246,-0.23524621466920356,0.25478726829897774,0.24263256126107072,0.11227134818061793,-0.14019590382416314,0.16500967508406764,6
Al Jefferson,0.018,0.222,6.0,0.0,0.0,0.0,0.224,0.491,118.0,0.018,0.4,8.0,0.462,0.475,246.0,0.018,0.5,11.0,0.0,0.0,0.0,0.122,0.607,78.0,0.0,0.0,0.0,0.039,0.8,10.0,2016-17,5.253019968372522,2.3785033635946755,0.897421213081029,1.7284781276867647,-2.531712542711859,1.1114841445049577,1.4392907110670436,-0.008658313977434844,-1.5535102426957401,-1.012950840545728,-1.1857347922075108,-0.4017375040088485,-1.4686117063533495,-0.7901870011476944,-0.9291923097187461,-0.711764938897637,0.5664141828446063,-1.0096180392463805,0.923093823490807,0.027907906784287253,0.5201869491922302,0.5919825364791008,0.18804022090796738,0.18355044246278712,-0.881352799405285,6
Al-Farouq Aminu,0.049,0.435,24.0,0.023,0.692,19.0,0.075,0.412,36.0,0.4589999999999999,0.467,249.0,0.016,0.429,9.0,0.141,0.4519999999999999,72.0,0.028,0.192,6.0,0.08,0.677,56.0,0.0,0.0,0.0,0.054,0.333,9.0,2016-17,0.2915451137991416,-0.6579916411218164,-0.6101690481420861,1.3095186546374213,1.0446996415319838,-0.022228013957596344,-0.7716048722991345,1.8947919918821627,0.020467209230346218,-0.1546109012929124,0.33876063408134593,-1.3786111730474304,1.3054502447927774,-0.7932369204457719,0.6285381582321985,-0.7254096297772609,0.5473276398449145,0.8188043322651009,-0.21410138382096272,-0.6106068453106548,-0.09458473987296875,0.6195888826747871,0.35141035865333636,-0.39647548940703364,0.14587091191471027,0
Alan Anderson,0.191,0.467,15.0,0.117,0.611,11.0,0.0,0.0,0.0,0.5,0.476,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,-0.49514330390209754,-3.6748435071335317,2.6318144139647015,3.3336395304704474,-1.7364177363115705,-0.08274710402156332,-1.5409777801425801,1.438094823390498,0.4203081391043,1.5671839569798474,0.5149783148625421,-1.9969279887268079,0.5017905790406885,-0.004633480404244089,-0.2965309591139624,0.5905813278925122,-0.3778020155572799,1.8400178452160845,0.14614527118925655,-0.5610329941572352,-0.16500818098835807,0.3012975311405498,-0.347451801555362,0.08786780626665092,-1.237612043778572,10
Alec Burks,0.0829999999999999,0.235,16.0,0.299,0.464,89.0,0.0,0.0,0.0,0.2289999999999999,0.454,62.0,0.0,0.0,0.0,0.153,0.526,45.0,0.07,0.525,23.0,0.035,0.3,9.0,0.054,0.563,18.0,0.041,0.5,13.0,2016-17,-1.9745486949341515,-1.7666173044245386,0.5244515805449331,-0.04273067454984112,-0.4001363212347816,1.0809007515369429,0.8827469598227661,0.13057241503082814,-0.15101005454086822,-0.18233124162443692,0.25076991950640654,0.11938779576562109,-0.632022857698083,0.904817073539915,0.6832219065218014,0.5339895135907214,0.13309689865098015,-0.18034003932010917,0.05706353749795761,-0.1654572680099576,-0.08923050137296892,-0.3125959878806528,0.0781908960479707,-0.18507474830781104,-0.34122870546248696,8
Alex Len,0.023,0.25,12.0,0.0,0.0,0.0,0.183,0.448,114.0,0.058,0.382,26.0,0.195,0.372,88.0,0.068,0.567,51.0,0.0,0.0,0.0,0.177,0.621,142.0,0.0,0.0,0.0,0.119,0.4,28.0,2016-17,4.4947668188793415,1.4394033101545896,0.6666367441729916,-0.6353213176867757,-0.21315653876098015,0.7083694361705807,0.14756055184194866,-0.019368542107932887,-0.10042537935429796,-0.07450206781478398,0.17387598195760293,0.4769480252592267,0.34096731089494287,-0.35278881278821117,-1.04921989638564,0.18738468237114203,-0.18759834539749123,-0.06772899167326418,0.028285726473555813,0.006601095496604619,0.12387399731573584,0.13495594429160193,0.10923643997723882,0.2278075003293472,-0.4159696892736606,1
Allen Crabbe,0.016,0.5,9.0,0.045,0.37,27.0,0.017,0.708,17.0,0.353,0.63,329.0,0.0,0.0,0.0,0.166,0.644,161.0,0.096,0.414,65.0,0.051,0.719,55.0,0.22,0.493,160.0,0.0279999999999999,0.25,12.0,2016-17,-2.84193710979776,0.5154684783724638,-4.083382048725857,-0.25326757896216934,-0.7931858482280576,-0.3936365460963531,-0.5838145537832329,0.01026278272347628,1.1465340274893872,1.2550102433710721,-0.12341612510707153,-0.8426838253469346,0.5367521116277433,-0.15667300166074788,-0.17699173269938775,-0.7327570298809751,0.28591130515786245,-0.6791439966051881,1.1798280653773843,0.14916808526241354,-0.7388644062079811,0.03251475902260408,0.3794661358448037,0.17509995847128124,0.7260048161186038,11
Amir Johnson,0.026,0.444,10.0,0.0,0.0,0.0,0.166,0.591,88.0,0.128,0.636,72.0,0.067,0.414,27.0,0.0929999999999999,0.597,49.0,0.0,0.0,0.0,0.285,0.701,194.0,0.0,0.0,0.0,0.103,0.667,9.0,2016-17,4.028629997052858,1.31485397964595,-0.3663533427405339,-0.8973772405706926,1.3018420313260528,1.2178431994228363,0.06251321687184093,0.7789772666749074,0.8443448780908032,0.41212160730178893,-0.7635576777232908,-1.2419354514488659,0.34467688236437793,-0.5201811102220816,-0.7780187941674915,1.469233613816263,-0.5147715017808174,-0.4133476090132899,0.2752415548886197,-0.01167603659596918,0.2815567681338132,0.34134540716991124,-0.38351710069699346,-0.06845193557505584,0.49210835244134954,1
