GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,20900003,2,200746,LaMarcus Aldridge,1610612757,Portland Trail Blazers,1,11,42,Missed Shot,Step Back Jump shot,,Mid-Range,Left Side(L),16-24 ft.,21,-175,123,1,0,20091027,0,POR,HOU
Shot Chart Detail,20900003,7,200746,LaMarcus Aldridge,1610612757,Portland Trail Blazers,1,11,9,Made Shot,Turnaround Fadeaway shot,,Mid-Range,Left Side(L),8-16 ft.,10,-97,47,1,1,20091027,0,POR,HOU
Shot Chart Detail,20900003,14,200746,LaMarcus Aldridge,1610612757,Portland Trail Blazers,1,10,5,Made Shot,Turnaround Fadeaway shot,,Mid-Range,Right Side Center(RC),16-24 ft.,17,89,149,1,1,20091027,0,POR,HOU
Shot Chart Detail,20900003,18,200746,LaMarcus Aldridge,1610612757,Portland Trail Blazers,1,9,32,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091027,0,POR,HOU
Shot Chart Detail,20900003,202,200746,LaMarcus Aldridge,1610612757,Portland Trail Blazers,2,6,26,Made Shot,Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091027,1,POR,HOU
Shot Chart Detail,20900003,216,200746,LaMarcus Aldridge,1610612757,Portland Trail Blazers,2,4,52,Missed Shot,Jump Shot,,Mid-Range,Center(C),16-24 ft.,18,48,176,1,0,20091027,0,POR,HOU
Shot Chart Detail,20900003,415,200746,LaMarcus Aldridge,1610612757,Portland Trail Blazers,4,8,53,Made Shot,Jump Shot,,Mid-Range,Right Side(R),16-24 ft.,18,181,9,1,1,20091027,1,POR,HOU
Shot Chart Detail,20900003,431,200746,LaMarcus Aldridge,1610612757,Portland Trail Blazers,4,7,17,Missed Shot,Jump Shot,,Mid-Range,Right Side(R),8-16 ft.,14,143,6,1,0,20091027,0,POR,HOU
Shot Chart Detail,20900003,451,200746,LaMarcus Aldridge,1610612757,Portland Trail Blazers,4,5,13,Missed Shot,Jump Bank Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-38,17,1,0,20091027,0,POR,HOU
Shot Chart Detail,20900003,518,200746,LaMarcus Aldridge,1610612757,Portland Trail Blazers,4,0,59,Missed Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20091027,0,POR,HOU
Shot Chart Detail,20900018,12,200746,LaMarcus Aldridge,1610612757,Portland Trail Blazers,1,10,24,Missed Shot,Jump Shot,,Mid-Range,Left Side(L),16-24 ft.,18,-182,6,1,0,20091029,0,POR,DEN
Shot Chart Detail,20900018,29,200746,LaMarcus Aldridge,1610612757,Portland Trail Blazers,1,8,30,Made Shot,Jump Shot,,Mid-Range,Left Side Center(LC),16-24 ft.,20,-95,181,1,1,20091029,1,POR,DEN
Shot Chart Detail,20900018,33,200746,LaMarcus Aldridge,1610612757,Portland Trail Blazers,1,7,55,Missed Shot,Turnaround Jump Shot,,Mid-Range,Right Side(R),8-16 ft.,10,102,6,1,0,20091029,0,POR,DEN
Shot Chart Detail,20900018,82,200746,LaMarcus Aldridge,1610612757,Portland Trail Blazers,1,3,29,Missed Shot,Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,53,19,1,0,20091029,0,POR,DEN
Shot Chart Detail,20900018,85,200746,LaMarcus Aldridge,1610612757,Portland Trail Blazers,1,3,26,Missed Shot,Tip Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20091029,0,POR,DEN
Shot Chart Detail,20900018,252,200746,LaMarcus Aldridge,1610612757,Portland Trail Blazers,2,2,31,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-141,157,1,0,20091029,0,POR,DEN
Shot Chart Detail,20900018,267,200746,LaMarcus Aldridge,1610612757,Portland Trail Blazers,2,1,1,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,105,53,1,1,20091029,0,POR,DEN
Shot Chart Detail,20900018,293,200746,LaMarcus Aldridge,1610612757,Portland Trail Blazers,3,11,11,Made Shot,Turnaround Fadeaway shot,,Mid-Range,Right Side(R),16-24 ft.,17,176,36,1,1,20091029,0,POR,DEN
Shot Chart Detail,20900018,296,200746,LaMarcus Aldridge,1610612757,Portland Trail Blazers,3,10,31,Missed Shot,Jump Shot,,Mid-Range,Center(C),16-24 ft.,19,-18,194,1,0,20091029,0,POR,DEN
Shot Chart Detail,20900018,303,200746,LaMarcus Aldridge,1610612757,Portland Trail Blazers,3,9,58,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091029,1,POR,DEN
Shot Chart Detail,20900018,327,200746,LaMarcus Aldridge,1610612757,Portland Trail Blazers,3,7,15,Missed Shot,Jump Shot,,Mid-Range,Center(C),16-24 ft.,19,23,198,1,0,20091029,0,POR,DEN
