GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,20300006,140,1714,Robert Traylor,1610612740,New Orleans Hornets,2,10,26,Made Shot,Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-20,71,1,1,20031029,0,NOH,ATL
Shot Chart Detail,20300006,147,1714,Robert Traylor,1610612740,New Orleans Hornets,2,9,35,Missed Shot,Jump Shot,,Mid-Range,Left Side(L),16-24 ft.,21,-189,99,1,0,20031029,0,NOH,ATL
Shot Chart Detail,20300006,167,1714,Robert Traylor,1610612740,New Orleans Hornets,2,7,45,Missed Shot,Jump Shot,,Mid-Range,Left Side Center(LC),16-24 ft.,17,-118,125,1,0,20031029,0,NOH,ATL
Shot Chart Detail,20300016,252,1714,Robert Traylor,1610612740,New Orleans Hornets,2,0,0,Missed Shot,Jump Shot,,Backcourt,Back Court(BC),Back Court Shot,83,-104,831,1,0,20031030,0,ORL,NOH
Shot Chart Detail,20300042,78,1714,Robert Traylor,1610612740,New Orleans Hornets,1,2,40,Made Shot,Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-23,56,1,1,20031103,1,ATL,NOH
Shot Chart Detail,20300042,83,1714,Robert Traylor,1610612740,New Orleans Hornets,1,2,5,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20031103,0,ATL,NOH
Shot Chart Detail,20300042,90,1714,Robert Traylor,1610612740,New Orleans Hornets,1,1,0,Made Shot,Jump Shot,,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,75,56,1,1,20031103,1,ATL,NOH
Shot Chart Detail,20300042,105,1714,Robert Traylor,1610612740,New Orleans Hornets,1,0,0,Made Shot,Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,61,3,1,1,20031103,1,ATL,NOH
Shot Chart Detail,20300042,142,1714,Robert Traylor,1610612740,New Orleans Hornets,2,8,21,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-56,23,1,1,20031103,0,ATL,NOH
Shot Chart Detail,20300042,319,1714,Robert Traylor,1610612740,New Orleans Hornets,3,2,23,Missed Shot,Jump Shot,,Mid-Range,Right Side(R),8-16 ft.,15,121,91,1,0,20031103,0,ATL,NOH
Shot Chart Detail,20300042,327,1714,Robert Traylor,1610612740,New Orleans Hornets,3,1,53,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20031103,1,ATL,NOH
Shot Chart Detail,20300042,349,1714,Robert Traylor,1610612740,New Orleans Hornets,3,0,11,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20031103,1,ATL,NOH
Shot Chart Detail,20300042,366,1714,Robert Traylor,1610612740,New Orleans Hornets,4,10,22,Made Shot,Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,41,28,1,1,20031103,1,ATL,NOH
Shot Chart Detail,20300042,369,1714,Robert Traylor,1610612740,New Orleans Hornets,4,9,53,Made Shot,Alley Oop Layup shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20031103,1,ATL,NOH
Shot Chart Detail,20300042,395,1714,Robert Traylor,1610612740,New Orleans Hornets,4,7,35,Missed Shot,Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-3,71,1,0,20031103,0,ATL,NOH
Shot Chart Detail,20300042,406,1714,Robert Traylor,1610612740,New Orleans Hornets,4,6,20,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20031103,0,ATL,NOH
Shot Chart Detail,20300052,127,1714,Robert Traylor,1610612740,New Orleans Hornets,2,10,43,Made Shot,Driving Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20031105,1,PHI,NOH
Shot Chart Detail,20300052,135,1714,Robert Traylor,1610612740,New Orleans Hornets,2,9,28,Made Shot,Jump Shot,,In The Paint (Non-RA),Center(C),8-16 ft.,12,-11,120,1,1,20031105,1,PHI,NOH
Shot Chart Detail,20300052,210,1714,Robert Traylor,1610612740,New Orleans Hornets,2,2,23,Made Shot,Fadeaway Jump Shot,,In The Paint (Non-RA),Center(C),8-16 ft.,9,1,94,1,1,20031105,1,PHI,NOH
Shot Chart Detail,20300052,213,1714,Robert Traylor,1610612740,New Orleans Hornets,2,1,30,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20031105,0,PHI,NOH
