index,SHOT_DISTANCE,FGA,FGM
360,0,3342,1983
361,1,399,247
362,2,295,147
363,3,180,76
364,4,265,113
365,5,394,166
366,6,353,138
367,7,286,117
368,8,287,110
369,9,280,90
370,10,230,91
371,11,245,98
372,12,272,93
373,13,314,103
374,14,381,155
375,15,446,160
376,16,540,187
377,17,593,238
378,18,587,239
379,19,490,164
380,20,394,157
381,21,249,97
382,22,405,158
383,23,580,222
384,24,1081,399
385,25,627,224
386,26,273,97
387,27,103,26
388,28,27,2
389,29,8,1
390,30,4,1
391,31,2,0
392,32,3,2
393,33,1,0
394,34,4,0
395,35,3,0
396,36,4,1
397,37,1,0
398,38,3,1
399,39,5,0
400,40,8,0
401,41,3,0
402,42,4,0
403,43,3,0
404,44,2,0
405,45,2,1
406,47,1,0
407,48,1,0
408,49,1,0
409,50,1,0
410,54,3,0
411,55,1,0
412,56,2,0
413,58,1,0
414,59,4,0
415,61,1,0
416,62,2,0
417,64,1,0
418,65,1,0
419,67,1,0
420,68,2,0
421,70,1,0
422,71,1,0
423,75,1,0
424,80,1,0
