index,SHOT_DISTANCE,FGA,FGM
425,0,3213,1862
426,1,302,180
427,2,235,119
428,3,155,56
429,4,211,88
430,5,300,116
431,6,271,98
432,7,264,98
433,8,275,93
434,9,232,69
435,10,225,79
436,11,233,88
437,12,233,102
438,13,262,100
439,14,387,129
440,15,409,160
441,16,491,184
442,17,545,192
443,18,587,220
444,19,502,183
445,20,347,123
446,21,223,89
447,22,297,102
448,23,469,166
449,24,932,322
450,25,616,195
451,26,253,77
452,27,76,13
453,28,8,4
454,29,3,0
455,30,5,1
456,31,3,0
457,32,1,0
458,33,3,0
459,34,1,0
460,35,1,0
461,36,2,0
462,37,3,0
463,38,2,0
464,39,3,0
465,40,4,0
466,41,3,0
467,42,2,1
468,43,2,0
469,44,2,0
470,45,1,0
471,48,2,0
472,49,2,0
473,50,1,0
474,51,1,0
475,52,2,0
476,54,1,0
477,55,3,0
478,56,1,0
479,57,1,0
480,62,2,0
481,64,2,0
482,65,1,0
483,69,1,0
484,71,1,0
485,74,1,0
486,75,1,0
