year,mode,SHOT_ZONE_RANGE,SHOT_DISTANCE,FGA,FGM
2025,playoffs,16-24 ft.,16,41,14
2025,playoffs,16-24 ft.,17,32,10
2025,playoffs,16-24 ft.,18,27,7
2025,playoffs,16-24 ft.,19,23,13
2025,playoffs,16-24 ft.,20,16,6
2025,playoffs,16-24 ft.,21,22,13
2025,playoffs,16-24 ft.,22,8,3
2025,playoffs,16-24 ft.,23,3,1
2025,playoffs,24+ ft.,22,63,32
2025,playoffs,24+ ft.,23,153,46
2025,playoffs,24+ ft.,24,148,55
2025,playoffs,24+ ft.,25,285,110
2025,playoffs,24+ ft.,26,236,85
2025,playoffs,24+ ft.,27,114,32
2025,playoffs,24+ ft.,28,47,15
2025,playoffs,24+ ft.,29,29,13
2025,playoffs,24+ ft.,30,20,5
2025,playoffs,24+ ft.,31,10,3
2025,playoffs,24+ ft.,32,2,1
2025,playoffs,24+ ft.,34,1,1
2025,playoffs,24+ ft.,37,1,0
2025,playoffs,24+ ft.,39,1,0
2025,playoffs,8-16 ft.,8,62,29
2025,playoffs,8-16 ft.,9,51,22
2025,playoffs,8-16 ft.,10,66,38
2025,playoffs,8-16 ft.,11,54,27
2025,playoffs,8-16 ft.,12,75,32
2025,playoffs,8-16 ft.,13,49,17
2025,playoffs,8-16 ft.,14,41,17
2025,playoffs,8-16 ft.,15,35,19
2025,playoffs,Back Court Shot,41,1,1
2025,playoffs,Back Court Shot,43,1,0
2025,playoffs,Back Court Shot,45,1,0
2025,playoffs,Back Court Shot,46,1,0
2025,playoffs,Back Court Shot,47,1,1
2025,playoffs,Back Court Shot,48,1,0
2025,playoffs,Back Court Shot,56,1,0
2025,playoffs,Back Court Shot,62,1,0
2025,playoffs,Back Court Shot,64,1,0
2025,playoffs,Back Court Shot,69,1,0
2025,playoffs,Back Court Shot,70,1,0
2025,playoffs,Less Than 8 ft.,0,126,94
2025,playoffs,Less Than 8 ft.,1,185,130
2025,playoffs,Less Than 8 ft.,2,195,130
2025,playoffs,Less Than 8 ft.,3,142,58
2025,playoffs,Less Than 8 ft.,4,94,43
2025,playoffs,Less Than 8 ft.,5,98,44
2025,playoffs,Less Than 8 ft.,6,76,36
2025,playoffs,Less Than 8 ft.,7,73,41
