index,SHOT_DISTANCE,FGA,FGM
1286,0,14273,10438
1287,1,18618,11897
1288,2,13317,6967
1289,3,5891,2210
1290,4,4446,1586
1291,5,4080,1582
1292,6,3673,1362
1293,7,3412,1314
1294,8,3119,1214
1295,9,2625,1019
1296,10,2405,917
1297,11,2473,929
1298,12,2443,906
1299,13,2685,1031
1300,14,3550,1408
1301,15,4238,1719
1302,16,5467,2266
1303,17,6148,2410
1304,18,6391,2478
1305,19,6128,2414
1306,20,4829,1807
1307,21,2933,1040
1308,22,4043,1522
1309,23,6281,2374
1310,24,11215,4105
1311,25,9993,3434
1312,26,4058,1327
1313,27,1192,368
1314,28,347,82
1315,29,165,27
1316,30,70,14
1317,31,38,6
1318,32,36,3
1319,33,27,7
1320,34,26,3
1321,35,27,2
1322,36,27,1
1323,37,25,0
1324,38,28,2
1325,39,36,2
1326,40,43,2
1327,41,30,2
1328,42,13,0
1329,43,21,0
1330,44,19,2
1331,45,27,1
1332,46,18,1
1333,47,17,0
1334,48,13,2
1335,49,17,2
1336,50,15,0
1337,51,15,0
1338,52,17,0
1339,53,14,0
1340,54,10,0
1341,55,13,0
1342,56,10,1
1343,57,9,0
1344,58,6,0
1345,59,11,1
1346,60,9,0
1347,61,7,0
1348,62,9,0
1349,63,6,0
1350,64,6,0
1351,65,5,0
1352,66,5,0
1353,67,3,0
1354,68,2,0
1355,69,7,0
1356,70,3,0
1357,71,4,0
1358,72,3,0
1359,73,4,0
1360,74,4,0
1361,75,2,0
1362,77,1,0
1363,78,1,0
1364,79,1,0
1365,80,2,0
1366,81,4,0
1367,89,1,0
