index,SHOT_DISTANCE,FGA,FGM
1459,0,917,625
1460,1,1263,896
1461,2,1166,726
1462,3,622,286
1463,4,320,116
1464,5,257,96
1465,6,222,93
1466,7,228,91
1467,8,219,105
1468,9,245,112
1469,10,258,107
1470,11,278,114
1471,12,262,120
1472,13,255,124
1473,14,224,98
1474,15,200,94
1475,16,188,74
1476,17,193,81
1477,18,201,85
1478,19,170,82
1479,20,163,69
1480,21,134,47
1481,22,630,246
1482,23,916,364
1483,24,738,282
1484,25,1638,566
1485,26,1214,426
1486,27,547,201
1487,28,211,67
1488,29,98,33
1489,30,43,7
1490,31,16,5
1491,32,8,5
1492,33,3,0
1493,34,6,0
1494,35,4,2
1495,36,3,0
1496,38,1,0
1497,39,2,0
1498,40,3,0
1499,41,2,0
1500,42,2,0
1501,43,3,0
1502,44,2,0
1503,45,2,0
1504,48,2,0
1505,49,1,0
1506,51,1,1
1507,52,2,1
1508,53,2,0
1509,55,4,0
1510,57,2,0
1511,60,1,0
1512,61,4,0
1513,63,2,0
1514,64,1,0
1515,65,2,0
1516,66,2,0
1517,67,1,0
1518,68,1,0
1519,70,1,0
1520,78,1,0
