index,SHOT_DISTANCE,FGA,FGM
1030,0,54195,32699
1031,1,4878,3127
1032,2,3520,1872
1033,3,2559,1120
1034,4,2930,1236
1035,5,3599,1545
1036,6,4081,1690
1037,7,4250,1764
1038,8,3984,1598
1039,9,3362,1247
1040,10,3165,1178
1041,11,3090,1202
1042,12,3119,1227
1043,13,3331,1320
1044,14,4165,1676
1045,15,5166,2100
1046,16,6858,2870
1047,17,8010,3261
1048,18,8447,3515
1049,19,8241,3362
1050,20,6565,2580
1051,21,4252,1683
1052,22,6025,2431
1053,23,8049,3191
1054,24,12474,4753
1055,25,11792,4292
1056,26,5127,1841
1057,27,1819,599
1058,28,685,205
1059,29,243,60
1060,30,80,15
1061,31,37,5
1062,32,48,7
1063,33,19,2
1064,34,21,1
1065,35,35,0
1066,36,35,1
1067,37,22,4
1068,38,34,1
1069,39,44,1
1070,40,68,2
1071,41,48,2
1072,42,40,4
1073,43,40,2
1074,44,27,1
1075,45,25,2
1076,46,22,0
1077,47,20,1
1078,48,25,1
1079,49,28,1
1080,50,28,0
1081,51,12,0
1082,52,19,1
1083,53,18,0
1084,54,12,0
1085,55,24,0
1086,56,16,1
1087,57,14,0
1088,58,13,0
1089,59,14,0
1090,60,8,0
1091,61,17,1
1092,62,20,0
1093,63,5,0
1094,64,8,0
1095,65,9,1
1096,66,8,0
1097,67,8,0
1098,68,8,0
1099,69,10,0
1100,70,15,1
1101,71,7,0
1102,72,3,0
1103,73,6,0
1104,74,1,0
1105,77,1,0
1106,78,4,0
1107,79,3,0
1108,80,5,0
1109,81,5,0
1110,82,1,0
1111,83,4,0
1112,84,2,0
1113,86,1,0
1114,87,2,0
