index,SHOT_DISTANCE,FGA,FGM
1001,0,1125,809
1002,1,1689,1065
1003,2,961,459
1004,3,410,155
1005,4,347,142
1006,5,307,129
1007,6,308,120
1008,7,272,120
1009,8,264,99
1010,9,269,100
1011,10,225,81
1012,11,240,94
1013,12,254,108
1014,13,226,88
1015,14,272,107
1016,15,351,143
1017,16,419,165
1018,17,490,185
1019,18,512,213
1020,19,478,162
1021,20,301,103
1022,21,163,56
1023,22,363,149
1024,23,624,225
1025,24,957,341
1026,25,944,335
1027,26,437,122
1028,27,144,55
1029,28,50,12
1030,29,16,6
1031,30,9,2
1032,31,4,1
1033,33,1,0
1034,34,4,1
1035,35,1,0
1036,36,1,1
1037,37,2,0
1038,38,1,0
1039,39,2,0
1040,40,3,0
1041,41,2,0
1042,42,3,0
1043,43,2,0
1044,44,5,0
1045,45,4,0
1046,46,2,0
1047,47,2,0
1048,48,4,0
1049,49,3,0
1050,50,1,0
1051,51,3,0
1052,52,1,0
1053,54,2,0
1054,57,2,0
1055,58,1,0
1056,59,2,0
1057,62,1,0
1058,65,1,0
1059,69,1,0
1060,70,1,0
1061,76,1,0
1062,80,1,0
1063,81,1,0
1064,82,1,0
