year,mode,SHOT_ZONE_RANGE,SHOT_DISTANCE,FGA,FGM
2026,regular,16-24 ft.,16,301,127
2026,regular,16-24 ft.,17,265,109
2026,regular,16-24 ft.,18,215,72
2026,regular,16-24 ft.,19,190,82
2026,regular,16-24 ft.,20,167,63
2026,regular,16-24 ft.,21,97,26
2026,regular,16-24 ft.,22,59,22
2026,regular,16-24 ft.,23,26,9
2026,regular,24+ ft.,22,866,317
2026,regular,24+ ft.,23,1392,550
2026,regular,24+ ft.,24,1481,541
2026,regular,24+ ft.,25,2956,1070
2026,regular,24+ ft.,26,2288,771
2026,regular,24+ ft.,27,1061,366
2026,regular,24+ ft.,28,437,148
2026,regular,24+ ft.,29,210,71
2026,regular,24+ ft.,30,85,28
2026,regular,24+ ft.,31,36,17
2026,regular,24+ ft.,32,19,4
2026,regular,24+ ft.,33,15,4
2026,regular,24+ ft.,34,8,1
2026,regular,24+ ft.,35,10,2
2026,regular,24+ ft.,37,1,0
2026,regular,24+ ft.,38,1,1
2026,regular,24+ ft.,39,2,0
2026,regular,24+ ft.,40,1,0
2026,regular,24+ ft.,42,1,0
2026,regular,8-16 ft.,8,498,243
2026,regular,8-16 ft.,9,465,194
2026,regular,8-16 ft.,10,482,192
2026,regular,8-16 ft.,11,483,225
2026,regular,8-16 ft.,12,421,190
2026,regular,8-16 ft.,13,385,177
2026,regular,8-16 ft.,14,352,145
2026,regular,8-16 ft.,15,316,118
2026,regular,Back Court Shot,46,1,0
2026,regular,Back Court Shot,47,1,1
2026,regular,Back Court Shot,48,1,0
2026,regular,Back Court Shot,55,1,1
2026,regular,Back Court Shot,63,1,1
2026,regular,Less Than 8 ft.,0,1735,1338
2026,regular,Less Than 8 ft.,1,2493,1848
2026,regular,Less Than 8 ft.,2,1918,1156
2026,regular,Less Than 8 ft.,3,1415,739
2026,regular,Less Than 8 ft.,4,1005,452
2026,regular,Less Than 8 ft.,5,794,316
2026,regular,Less Than 8 ft.,6,648,269
2026,regular,Less Than 8 ft.,7,529,227
2026,regular,Less Than 8 ft.,8,2,2
