index,SHOT_DISTANCE,FGA,FGM
1392,0,1051,767
1393,1,1553,1074
1394,2,1101,582
1395,3,534,201
1396,4,363,128
1397,5,365,140
1398,6,281,92
1399,7,274,94
1400,8,259,88
1401,9,237,106
1402,10,242,100
1403,11,277,122
1404,12,280,109
1405,13,270,119
1406,14,252,99
1407,15,255,109
1408,16,274,126
1409,17,245,94
1410,18,229,87
1411,19,204,87
1412,20,161,65
1413,21,99,40
1414,22,437,170
1415,23,689,243
1416,24,781,265
1417,25,1308,463
1418,26,1096,382
1419,27,609,211
1420,28,247,79
1421,29,124,43
1422,30,47,14
1423,31,23,5
1424,32,12,5
1425,33,14,1
1426,34,2,0
1427,35,5,0
1428,36,2,1
1429,37,2,0
1430,39,1,0
1431,40,2,1
1432,41,3,0
1433,42,1,0
1434,44,2,0
1435,45,3,0
1436,46,3,0
1437,47,6,0
1438,49,2,0
1439,50,2,0
1440,51,3,0
1441,52,1,0
1442,54,2,0
1443,55,4,0
1444,56,1,0
1445,57,2,0
1446,59,2,0
1447,61,1,0
1448,62,2,0
1449,63,1,0
1450,64,1,0
1451,65,2,0
1452,69,1,0
1453,70,1,0
1454,71,1,0
1455,73,1,0
1456,77,2,0
1457,79,1,0
1458,81,1,0
