index,SHOT_ZONE_RANGE,SHOT_DISTANCE,FGA,FGM
1456,16-24 ft.,16,256,116
1457,16-24 ft.,17,265,98
1458,16-24 ft.,18,243,81
1459,16-24 ft.,19,209,87
1460,16-24 ft.,20,193,77
1461,16-24 ft.,21,146,54
1462,16-24 ft.,22,68,27
1463,16-24 ft.,23,29,5
1464,24+ ft.,22,338,149
1465,24+ ft.,23,646,255
1466,24+ ft.,24,621,218
1467,24+ ft.,25,1248,450
1468,24+ ft.,26,1072,365
1469,24+ ft.,27,530,176
1470,24+ ft.,28,212,56
1471,24+ ft.,29,83,22
1472,24+ ft.,30,46,18
1473,24+ ft.,31,23,4
1474,24+ ft.,32,11,3
1475,24+ ft.,33,6,1
1476,24+ ft.,34,5,1
1477,24+ ft.,35,3,1
1478,24+ ft.,36,3,0
1479,24+ ft.,37,3,1
1480,24+ ft.,38,1,0
1481,24+ ft.,39,1,0
1482,24+ ft.,43,1,0
1483,24+ ft.,44,1,0
1484,8-16 ft.,8,246,100
1485,8-16 ft.,9,226,100
1486,8-16 ft.,10,234,106
1487,8-16 ft.,11,252,106
1488,8-16 ft.,12,277,111
1489,8-16 ft.,13,242,88
1490,8-16 ft.,14,240,91
1491,8-16 ft.,15,264,102
1492,Back Court Shot,40,1,0
1493,Back Court Shot,41,1,0
1494,Back Court Shot,42,4,0
1495,Back Court Shot,44,2,0
1496,Back Court Shot,46,3,0
1497,Back Court Shot,47,1,0
1498,Back Court Shot,48,2,0
1499,Back Court Shot,49,3,0
1500,Back Court Shot,50,1,0
1501,Back Court Shot,51,2,0
1502,Back Court Shot,52,3,0
1503,Back Court Shot,53,1,0
1504,Back Court Shot,54,2,0
1505,Back Court Shot,56,1,0
1506,Back Court Shot,57,3,0
1507,Back Court Shot,58,2,0
1508,Back Court Shot,60,1,1
1509,Back Court Shot,62,4,0
1510,Back Court Shot,63,1,0
1511,Back Court Shot,64,1,0
1512,Back Court Shot,66,1,0
1513,Back Court Shot,67,1,0
1514,Back Court Shot,68,1,0
1515,Back Court Shot,70,1,0
1516,Back Court Shot,71,1,0
1517,Back Court Shot,72,1,1
1518,Less Than 8 ft.,0,1152,862
1519,Less Than 8 ft.,1,1674,1165
1520,Less Than 8 ft.,2,1076,620
1521,Less Than 8 ft.,3,535,188
1522,Less Than 8 ft.,4,331,108
1523,Less Than 8 ft.,5,279,103
1524,Less Than 8 ft.,6,243,89
1525,Less Than 8 ft.,7,236,88
1526,Less Than 8 ft.,8,1,0
