index,SHOT_DISTANCE,FGA,FGM
1583,0,826,643
1584,1,1102,819
1585,2,887,541
1586,3,662,327
1587,4,561,264
1588,5,498,235
1589,6,419,171
1590,7,336,146
1591,8,361,140
1592,9,294,125
1593,10,294,120
1594,11,284,115
1595,12,255,114
1596,13,223,99
1597,14,205,88
1598,15,224,105
1599,16,235,97
1600,17,210,91
1601,18,220,86
1602,19,191,82
1603,20,126,41
1604,21,86,27
1605,22,505,200
1606,23,874,331
1607,24,784,276
1608,25,1499,540
1609,26,1302,462
1610,27,585,205
1611,28,257,79
1612,29,111,35
1613,30,57,15
1614,31,25,12
1615,32,12,2
1616,33,6,1
1617,34,3,1
1618,35,5,0
1619,36,3,0
1620,37,1,0
1621,38,5,3
1622,39,1,0
1623,40,3,0
1624,41,2,0
1625,44,2,0
1626,46,1,0
1627,47,4,1
1628,48,1,0
1629,50,2,0
1630,51,1,0
1631,52,4,0
1632,53,1,0
1633,54,1,0
1634,57,4,0
1635,59,2,0
1636,60,1,0
1637,63,2,0
1638,64,1,0
1639,68,1,0
1640,69,2,0
1641,75,1,0
1642,90,1,0
