index,SHOT_DISTANCE,FGA,FGM
1627,0,21696,16703
1628,1,22685,13256
1629,2,16482,8158
1630,3,6580,2517
1631,4,5294,1968
1632,5,4969,1984
1633,6,4860,1906
1634,7,4213,1697
1635,8,3754,1556
1636,9,3299,1345
1637,10,3149,1223
1638,11,3049,1212
1639,12,3337,1367
1640,13,3277,1340
1641,14,3828,1586
1642,15,4726,1909
1643,16,5656,2352
1644,17,6279,2499
1645,18,6735,2704
1646,19,6143,2428
1647,20,4621,1842
1648,21,2737,1026
1649,22,4730,1832
1650,23,9549,3562
1651,24,19676,7145
1652,25,15727,5562
1653,26,6572,2218
1654,27,2229,729
1655,28,735,220
1656,29,276,78
1657,30,147,27
1658,31,66,15
1659,32,40,6
1660,33,37,5
1661,34,30,3
1662,35,36,3
1663,36,25,1
1664,37,30,6
1665,38,30,0
1666,39,28,2
1667,40,53,6
1668,41,26,1
1669,42,16,0
1670,43,25,1
1671,44,19,3
1672,45,17,0
1673,46,18,1
1674,47,30,1
1675,48,28,3
1676,49,22,1
1677,50,23,1
1678,51,23,1
1679,52,14,0
1680,53,15,1
1681,54,17,1
1682,55,17,0
1683,56,9,0
1684,57,12,0
1685,58,18,0
1686,59,13,0
1687,60,10,0
1688,61,13,0
1689,62,11,0
1690,63,10,0
1691,64,7,1
1692,65,4,0
1693,66,9,1
1694,67,9,0
1695,68,9,0
1696,69,12,0
1697,70,2,0
1698,71,7,1
1699,72,4,0
1700,73,6,0
1701,74,3,0
1702,75,2,0
1703,76,7,0
1704,77,5,0
1705,78,3,0
1706,79,1,0
1707,80,3,0
1708,81,2,0
1709,82,2,1
1710,83,1,0
1711,84,1,0
1712,85,1,0
1713,86,1,0
1714,87,1,0
