index,SHOT_ZONE_RANGE,SHOT_DISTANCE,FGA,FGM
0,16-24 ft.,16,414,168
1,16-24 ft.,17,353,149
2,16-24 ft.,18,272,102
3,16-24 ft.,19,259,102
4,16-24 ft.,20,207,81
5,16-24 ft.,21,148,61
6,16-24 ft.,22,82,30
7,16-24 ft.,23,41,15
8,24+ ft.,22,1313,498
9,24+ ft.,23,2034,747
10,24+ ft.,24,2048,759
11,24+ ft.,25,4252,1523
12,24+ ft.,26,3004,1075
13,24+ ft.,27,1315,460
14,24+ ft.,28,572,186
15,24+ ft.,29,233,84
16,24+ ft.,30,135,42
17,24+ ft.,31,72,16
18,24+ ft.,32,23,10
19,24+ ft.,33,13,3
20,24+ ft.,34,16,3
21,24+ ft.,35,5,1
22,24+ ft.,36,10,0
23,24+ ft.,37,2,0
24,24+ ft.,38,6,2
25,24+ ft.,39,3,0
26,24+ ft.,41,1,0
27,24+ ft.,42,1,0
28,24+ ft.,43,2,0
29,24+ ft.,44,1,0
30,8-16 ft.,8,719,307
31,8-16 ft.,9,631,258
32,8-16 ft.,10,586,247
33,8-16 ft.,11,565,258
34,8-16 ft.,12,575,223
35,8-16 ft.,13,518,238
36,8-16 ft.,14,416,192
37,8-16 ft.,15,417,178
38,8-16 ft.,16,1,0
39,Back Court Shot,40,1,0
40,Back Court Shot,41,1,0
41,Back Court Shot,42,2,0
42,Back Court Shot,43,2,0
43,Back Court Shot,44,5,0
44,Back Court Shot,45,4,0
45,Back Court Shot,46,4,0
46,Back Court Shot,47,4,0
47,Back Court Shot,48,3,0
48,Back Court Shot,49,7,0
49,Back Court Shot,50,5,0
50,Back Court Shot,51,9,0
51,Back Court Shot,52,5,1
52,Back Court Shot,53,7,0
53,Back Court Shot,54,6,0
54,Back Court Shot,55,1,0
55,Back Court Shot,56,3,0
56,Back Court Shot,57,2,0
57,Back Court Shot,58,5,0
58,Back Court Shot,59,3,0
59,Back Court Shot,60,2,0
60,Back Court Shot,63,1,0
61,Back Court Shot,64,1,0
62,Back Court Shot,67,1,0
63,Back Court Shot,68,2,0
64,Back Court Shot,69,2,0
65,Back Court Shot,70,1,0
66,Back Court Shot,71,3,0
67,Back Court Shot,72,1,0
68,Back Court Shot,74,1,0
69,Back Court Shot,75,1,0
70,Back Court Shot,77,1,0
71,Back Court Shot,82,1,0
72,Back Court Shot,85,1,0
73,Less Than 8 ft.,0,2603,1991
74,Less Than 8 ft.,1,3467,2486
75,Less Than 8 ft.,2,2656,1519
76,Less Than 8 ft.,3,1864,951
77,Less Than 8 ft.,4,1297,567
78,Less Than 8 ft.,5,1088,454
79,Less Than 8 ft.,6,920,375
80,Less Than 8 ft.,7,772,315
81,Less Than 8 ft.,8,4,2
