index,SHOT_DISTANCE,FGA,FGM
1065,0,1085,803
1066,1,1749,1113
1067,2,1107,595
1068,3,447,189
1069,4,384,138
1070,5,311,151
1071,6,333,123
1072,7,321,137
1073,8,261,104
1074,9,216,93
1075,10,190,74
1076,11,210,74
1077,12,238,106
1078,13,241,87
1079,14,307,119
1080,15,382,145
1081,16,423,172
1082,17,462,178
1083,18,502,200
1084,19,537,225
1085,20,299,127
1086,21,160,55
1087,22,366,147
1088,23,656,244
1089,24,1162,436
1090,25,1072,373
1091,26,498,177
1092,27,155,57
1093,28,59,16
1094,29,19,5
1095,30,10,1
1096,31,7,2
1097,32,4,1
1098,33,3,0
1099,34,3,0
1100,35,2,1
1101,36,2,1
1102,37,1,0
1103,38,3,0
1104,39,3,0
1105,40,4,0
1106,42,3,0
1107,43,1,0
1108,44,1,0
1109,45,3,0
1110,46,1,0
1111,47,1,1
1112,48,1,0
1113,49,2,1
1114,50,4,0
1115,51,3,0
1116,52,1,0
1117,53,3,0
1118,54,1,0
1119,56,2,0
1120,57,1,0
1121,58,1,0
1122,59,2,0
1123,60,2,0
1124,61,1,0
1125,62,1,0
1126,63,1,0
1127,67,1,0
1128,69,1,0
1129,71,1,0
1130,72,1,0
1131,74,1,0
1132,80,1,0
