index,SHOT_ZONE_RANGE,SHOT_DISTANCE,FGA,FGM
1310,16-24 ft.,16,414,150
1311,16-24 ft.,17,419,170
1312,16-24 ft.,18,386,153
1313,16-24 ft.,19,350,134
1314,16-24 ft.,20,200,79
1315,16-24 ft.,21,141,57
1316,16-24 ft.,22,54,24
1317,16-24 ft.,23,12,4
1318,24+ ft.,22,324,132
1319,24+ ft.,23,736,283
1320,24+ ft.,24,1358,485
1321,24+ ft.,25,1069,388
1322,24+ ft.,26,534,182
1323,24+ ft.,27,197,62
1324,24+ ft.,28,77,22
1325,24+ ft.,29,26,7
1326,24+ ft.,30,20,3
1327,24+ ft.,31,9,3
1328,24+ ft.,32,7,0
1329,24+ ft.,33,6,0
1330,24+ ft.,34,4,0
1331,24+ ft.,35,2,0
1332,24+ ft.,36,1,0
1333,24+ ft.,37,1,0
1334,24+ ft.,39,3,1
1335,24+ ft.,40,2,0
1336,24+ ft.,41,2,0
1337,24+ ft.,42,2,0
1338,24+ ft.,43,1,0
1339,8-16 ft.,8,245,121
1340,8-16 ft.,9,217,84
1341,8-16 ft.,10,222,89
1342,8-16 ft.,11,210,84
1343,8-16 ft.,12,295,109
1344,8-16 ft.,13,289,116
1345,8-16 ft.,14,288,124
1346,8-16 ft.,15,391,151
1347,Back Court Shot,40,2,1
1348,Back Court Shot,43,1,0
1349,Back Court Shot,44,1,0
1350,Back Court Shot,45,3,0
1351,Back Court Shot,46,2,0
1352,Back Court Shot,47,2,0
1353,Back Court Shot,48,1,0
1354,Back Court Shot,49,1,0
1355,Back Court Shot,50,3,0
1356,Back Court Shot,51,1,0
1357,Back Court Shot,53,3,0
1358,Back Court Shot,54,1,0
1359,Back Court Shot,55,1,0
1360,Back Court Shot,56,3,0
1361,Back Court Shot,57,2,0
1362,Back Court Shot,58,1,0
1363,Back Court Shot,59,1,0
1364,Back Court Shot,60,1,0
1365,Back Court Shot,61,1,0
1366,Back Court Shot,62,1,0
1367,Back Court Shot,67,1,0
1368,Back Court Shot,69,1,0
1369,Back Court Shot,70,1,0
1370,Back Court Shot,73,1,0
1371,Back Court Shot,77,1,0
1372,Back Court Shot,79,1,0
1373,Back Court Shot,82,1,0
1374,Back Court Shot,83,1,0
1375,Back Court Shot,85,1,0
1376,Back Court Shot,87,1,0
1377,Less Than 8 ft.,0,1532,1160
1378,Less Than 8 ft.,1,1489,817
1379,Less Than 8 ft.,2,1044,478
1380,Less Than 8 ft.,3,405,156
1381,Less Than 8 ft.,4,346,118
1382,Less Than 8 ft.,5,332,123
1383,Less Than 8 ft.,6,289,100
1384,Less Than 8 ft.,7,291,114
1385,Less Than 8 ft.,8,1,0
