year,mode,SHOT_ZONE_RANGE,SHOT_DISTANCE,FGA,FGM
2026,playoffs,16-24 ft.,16,18,10
2026,playoffs,16-24 ft.,17,11,6
2026,playoffs,16-24 ft.,18,11,4
2026,playoffs,16-24 ft.,19,10,3
2026,playoffs,16-24 ft.,20,8,2
2026,playoffs,16-24 ft.,21,6,4
2026,playoffs,16-24 ft.,22,4,1
2026,playoffs,16-24 ft.,23,1,0
2026,playoffs,24+ ft.,22,29,7
2026,playoffs,24+ ft.,23,85,29
2026,playoffs,24+ ft.,24,57,23
2026,playoffs,24+ ft.,25,166,60
2026,playoffs,24+ ft.,26,117,42
2026,playoffs,24+ ft.,27,46,21
2026,playoffs,24+ ft.,28,13,3
2026,playoffs,24+ ft.,29,6,2
2026,playoffs,24+ ft.,30,7,2
2026,playoffs,24+ ft.,31,2,0
2026,playoffs,24+ ft.,33,1,0
2026,playoffs,24+ ft.,35,1,0
2026,playoffs,8-16 ft.,8,24,10
2026,playoffs,8-16 ft.,9,31,14
2026,playoffs,8-16 ft.,10,30,7
2026,playoffs,8-16 ft.,11,32,14
2026,playoffs,8-16 ft.,12,27,13
2026,playoffs,8-16 ft.,13,27,14
2026,playoffs,8-16 ft.,14,23,15
2026,playoffs,8-16 ft.,15,22,7
2026,playoffs,Back Court Shot,43,1,0
2026,playoffs,Back Court Shot,54,1,0
2026,playoffs,Less Than 8 ft.,0,89,73
2026,playoffs,Less Than 8 ft.,1,120,97
2026,playoffs,Less Than 8 ft.,2,105,53
2026,playoffs,Less Than 8 ft.,3,61,28
2026,playoffs,Less Than 8 ft.,4,55,19
2026,playoffs,Less Than 8 ft.,5,37,14
2026,playoffs,Less Than 8 ft.,6,37,11
2026,playoffs,Less Than 8 ft.,7,29,7
