PLAYER_NAME,PLAYER_ID,shot_description,shot_type,shot_count,shot_makes,shot_group
Al Harrington,1733,Driving Dunk Shot,2PT Field Goal,1,1,DUNKS
Al Harrington,1733,Driving Finger Roll Layup Shot,2PT Field Goal,5,2,LAYUPS
Al Harrington,1733,Driving Hook Shot,2PT Field Goal,1,0,POST_MOVES
Al Harrington,1733,Driving Jump shot,2PT Field Goal,2,0,JUMP_SHOTS
Al Harrington,1733,Driving Layup Shot,2PT Field Goal,45,28,LAYUPS
Al Harrington,1733,Driving Reverse Layup Shot,2PT Field Goal,5,5,LAYUPS
Al Harrington,1733,Dunk Shot,2PT Field Goal,11,11,DUNKS
Al Harrington,1733,Fadeaway Bank shot,2PT Field Goal,1,1,JUMP_SHOTS
Al Harrington,1733,Fadeaway Jump Shot,2PT Field Goal,16,7,JUMP_SHOTS
Al Harrington,1733,Fadeaway Jump Shot,3PT Field Goal,1,0,JUMP_SHOTS
Al Harrington,1733,Finger Roll Layup Shot,2PT Field Goal,3,1,LAYUPS
Al Harrington,1733,Jump Bank Shot,2PT Field Goal,2,1,JUMP_SHOTS
Al Harrington,1733,Jump Hook Shot,2PT Field Goal,2,2,POST_MOVES
Al Harrington,1733,Jump Shot,2PT Field Goal,56,15,JUMP_SHOTS
Al Harrington,1733,Jump Shot,3PT Field Goal,175,58,JUMP_SHOTS
Al Harrington,1733,Layup Shot,2PT Field Goal,85,48,LAYUPS
Al Harrington,1733,Putback Layup Shot,2PT Field Goal,3,2,LAYUPS
Al Harrington,1733,Reverse Layup Shot,2PT Field Goal,11,9,LAYUPS
Al Harrington,1733,Running Bank shot,2PT Field Goal,1,1,JUMP_SHOTS
Al Harrington,1733,Running Jump Shot,2PT Field Goal,3,1,JUMP_SHOTS
Al Harrington,1733,Running Slam Dunk Shot,2PT Field Goal,2,2,DUNKS
Al Harrington,1733,Slam Dunk Shot,2PT Field Goal,1,1,DUNKS
Al Harrington,1733,Step Back Jump shot,2PT Field Goal,3,2,JUMP_SHOTS
Al Harrington,1733,Step Back Jump shot,3PT Field Goal,2,0,JUMP_SHOTS
Al Harrington,1733,Tip Shot,2PT Field Goal,7,3,SPECIALTY_SHOTS
Al Harrington,1733,Turnaround Bank shot,2PT Field Goal,1,0,JUMP_SHOTS
Al Harrington,1733,Turnaround Fadeaway shot,2PT Field Goal,4,3,JUMP_SHOTS
Al Harrington,1733,Turnaround Hook Shot,2PT Field Goal,1,1,POST_MOVES
Al Harrington,1733,Turnaround Jump Shot,2PT Field Goal,3,1,JUMP_SHOTS
Al-Farouq Aminu,202329,Dunk Shot,2PT Field Goal,1,1,DUNKS
Al-Farouq Aminu,202329,Jump Bank Shot,2PT Field Goal,1,0,JUMP_SHOTS
Al-Farouq Aminu,202329,Jump Shot,2PT Field Goal,9,5,JUMP_SHOTS
Al-Farouq Aminu,202329,Jump Shot,3PT Field Goal,1,1,JUMP_SHOTS
Al-Farouq Aminu,202329,Layup Shot,2PT Field Goal,3,3,LAYUPS
Al-Farouq Aminu,202329,Running Jump Shot,2PT Field Goal,1,0,JUMP_SHOTS
Al-Farouq Aminu,202329,Tip Shot,2PT Field Goal,1,1,SPECIALTY_SHOTS
Andray Blatche,101154,Driving Dunk Shot,2PT Field Goal,1,1,DUNKS
Andray Blatche,101154,Driving Hook Shot,2PT Field Goal,1,1,POST_MOVES
Andray Blatche,101154,Driving Layup Shot,2PT Field Goal,2,2,LAYUPS
Andray Blatche,101154,Dunk Shot,2PT Field Goal,2,2,DUNKS
Andray Blatche,101154,Fadeaway Jump Shot,2PT Field Goal,4,3,JUMP_SHOTS
Andray Blatche,101154,Finger Roll Layup Shot,2PT Field Goal,2,2,LAYUPS
Andray Blatche,101154,Jump Shot,2PT Field Goal,70,18,JUMP_SHOTS
Andray Blatche,101154,Jump Shot,3PT Field Goal,4,0,JUMP_SHOTS
Andray Blatche,101154,Layup Shot,2PT Field Goal,17,11,LAYUPS
Andray Blatche,101154,Reverse Layup Shot,2PT Field Goal,1,1,LAYUPS
Andray Blatche,101154,Slam Dunk Shot,2PT Field Goal,1,1,DUNKS
Andray Blatche,101154,Tip Shot,2PT Field Goal,2,1,SPECIALTY_SHOTS
Andray Blatche,101154,Turnaround Fadeaway shot,2PT Field Goal,2,2,JUMP_SHOTS
Andre Miller,1889,Driving Bank shot,2PT Field Goal,1,1,JUMP_SHOTS
Andre Miller,1889,Driving Jump shot,2PT Field Goal,1,1,JUMP_SHOTS
Andre Miller,1889,Driving Layup Shot,2PT Field Goal,10,7,LAYUPS
Andre Miller,1889,Driving Reverse Layup Shot,2PT Field Goal,2,1,LAYUPS
Andre Miller,1889,Fadeaway Jump Shot,2PT Field Goal,1,1,JUMP_SHOTS
Andre Miller,1889,Finger Roll Layup Shot,2PT Field Goal,1,0,LAYUPS
Andre Miller,1889,Jump Bank Shot,2PT Field Goal,4,1,JUMP_SHOTS
Andre Miller,1889,Jump Shot,2PT Field Goal,32,10,JUMP_SHOTS
Andre Miller,1889,Jump Shot,3PT Field Goal,17,5,JUMP_SHOTS
Andre Miller,1889,Layup Shot,2PT Field Goal,17,12,LAYUPS
Andre Miller,1889,Pullup Bank shot,2PT Field Goal,1,0,JUMP_SHOTS
Andre Miller,1889,Pullup Jump shot,2PT Field Goal,3,3,JUMP_SHOTS
Andre Miller,1889,Reverse Layup Shot,2PT Field Goal,2,1,LAYUPS
Andre Miller,1889,Running Bank shot,2PT Field Goal,1,1,JUMP_SHOTS
Andre Miller,1889,Running Jump Shot,2PT Field Goal,2,0,JUMP_SHOTS
Andre Miller,1889,Running Layup Shot,2PT Field Goal,1,1,LAYUPS
Andre Miller,1889,Step Back Jump shot,2PT Field Goal,1,1,JUMP_SHOTS
Andre Miller,1889,Turnaround Fadeaway shot,2PT Field Goal,2,1,JUMP_SHOTS
Andre Miller,1889,Turnaround Jump Shot,2PT Field Goal,1,0,JUMP_SHOTS
Andrew Bogut,101106,Alley Oop Dunk Shot,2PT Field Goal,1,1,DUNKS
Andrew Bogut,101106,Alley Oop Layup shot,2PT Field Goal,1,1,LAYUPS
Andrew Bogut,101106,Driving Dunk Shot,2PT Field Goal,1,1,DUNKS
Andrew Bogut,101106,Driving Layup Shot,2PT Field Goal,1,0,LAYUPS
Andrew Bogut,101106,Dunk Shot,2PT Field Goal,4,4,DUNKS
Andrew Bogut,101106,Hook Shot,2PT Field Goal,39,7,POST_MOVES
Andrew Bogut,101106,Jump Bank Hook Shot,2PT Field Goal,1,1,POST_MOVES
Andrew Bogut,101106,Jump Hook Shot,2PT Field Goal,1,1,POST_MOVES
Andrew Bogut,101106,Jump Shot,2PT Field Goal,28,9,JUMP_SHOTS
Andrew Bogut,101106,Jump Shot,3PT Field Goal,1,0,JUMP_SHOTS
Andrew Bogut,101106,Layup Shot,2PT Field Goal,12,9,LAYUPS
Andrew Bogut,101106,Putback Dunk Shot,2PT Field Goal,1,1,DUNKS
Andrew Bogut,101106,Putback Layup Shot,2PT Field Goal,1,1,LAYUPS
Andrew Bogut,101106,Reverse Layup Shot,2PT Field Goal,1,1,LAYUPS
Andrew Bogut,101106,Running Hook Shot,2PT Field Goal,2,2,POST_MOVES
Andrew Bogut,101106,Running Jump Shot,2PT Field Goal,1,1,JUMP_SHOTS
Andrew Bogut,101106,Running Layup Shot,2PT Field Goal,1,1,LAYUPS
Andrew Bogut,101106,Tip Shot,2PT Field Goal,2,2,SPECIALTY_SHOTS
Andrew Bogut,101106,Turnaround Hook Shot,2PT Field Goal,4,4,POST_MOVES
Andrew Bogut,101106,Turnaround Jump Shot,2PT Field Goal,2,0,JUMP_SHOTS
Andrew Bynum,101115,Alley Oop Dunk Shot,2PT Field Goal,38,38,DUNKS
Andrew Bynum,101115,Alley Oop Layup shot,2PT Field Goal,16,14,LAYUPS
Andrew Bynum,101115,Driving Dunk Shot,2PT Field Goal,4,4,DUNKS
Andrew Bynum,101115,Driving Layup Shot,2PT Field Goal,1,1,LAYUPS
