PLAYER_NAME,PLAYER_ID,shot_description,shot_type,shot_count,shot_makes,shot_group
Aaron Williams,1425,Dunk Shot,2PT Field Goal,1,1,DUNKS
Aaron Williams,1425,Layup Shot,2PT Field Goal,3,0,LAYUPS
Adonal Foyle,1502,Dunk Shot,2PT Field Goal,1,1,DUNKS
Adonal Foyle,1502,Hook Shot,2PT Field Goal,2,1,POST_MOVES
Adonal Foyle,1502,Jump Shot,2PT Field Goal,4,1,JUMP_SHOTS
Adonal Foyle,1502,Layup Shot,2PT Field Goal,6,4,LAYUPS
Adonal Foyle,1502,Slam Dunk Shot,2PT Field Goal,3,3,DUNKS
Al Harrington,1733,Jump Shot,2PT Field Goal,2,0,JUMP_SHOTS
Al Harrington,1733,Layup Shot,2PT Field Goal,1,0,LAYUPS
Al Harrington,1733,Running Jump Shot,2PT Field Goal,2,2,JUMP_SHOTS
Al Harrington,1733,Tip Shot,2PT Field Goal,1,0,SPECIALTY_SHOTS
Allan Houston,275,Driving Layup Shot,2PT Field Goal,2,0,LAYUPS
Allan Houston,275,Jump Shot,2PT Field Goal,3,2,JUMP_SHOTS
Allan Houston,275,Jump Shot,3PT Field Goal,1,0,JUMP_SHOTS
Allan Houston,275,Layup Shot,2PT Field Goal,1,1,LAYUPS
Alonzo Mourning,297,Dunk Shot,2PT Field Goal,1,1,DUNKS
Alvin Sims,1591,Driving Layup Shot,2PT Field Goal,1,1,LAYUPS
Alvin Sims,1591,Hook Shot,2PT Field Goal,1,1,POST_MOVES
Alvin Sims,1591,Jump Shot,2PT Field Goal,5,1,JUMP_SHOTS
Alvin Sims,1591,Jump Shot,3PT Field Goal,1,1,JUMP_SHOTS
Alvin Sims,1591,Layup Shot,2PT Field Goal,2,0,LAYUPS
Andrae Patterson,1754,Hook Shot,2PT Field Goal,1,0,POST_MOVES
Andrae Patterson,1754,Jump Shot,2PT Field Goal,2,0,JUMP_SHOTS
Andrae Patterson,1754,Jump Shot,3PT Field Goal,1,0,JUMP_SHOTS
Andrae Patterson,1754,Layup Shot,2PT Field Goal,2,2,LAYUPS
Anfernee Hardaway,358,Jump Shot,2PT Field Goal,1,0,JUMP_SHOTS
